Date,CSGP,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.12007391231311942,-0.5391567277003192,-0.06558037964051738,-0.0,-0.0,-0.6531160759281034,-0.0,-0.08389047539055937,-0.35057953972786826,-0.0,-0.0,-0.0,-0.02294641357298841,-0.0,-0.0,-0.5243070720645052,-0.0,-0.0
2019-01-03,1.0,-0.12115610821710637,-0.5372542429843724,-0.0686607292891951,-0.0,-0.0,-0.6535036128381786,-0.0,-0.08408670811628298,-0.3479751302302134,-0.0,-0.0,-0.0,-0.02265165518400269,-0.0,-0.0,-0.5255251218282643,-0.0,-0.0
2019-01-04,1.0,-0.09074098977945132,-0.5594741796664874,-0.07850322754168908,-0.0,-0.0,-0.6577124798278645,-0.0,-0.06387842926304466,-0.377487896718666,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5342590102205487,-0.0,-0.0
2019-01-07,1.0,-0.06038678694269583,-0.521675644104095,-0.15487701992342137,-0.0,-0.0,-0.7010188850671686,-0.0,-0.013239016159387372,-0.3161464079434097,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.47751314167045233,-0.0,-0.0
2019-01-08,1.0,-0.05936576974260769,-0.5115063780064267,-0.15635041708591646,-0.0,-0.0,-0.7046966795416925,-0.0,-0.016975559089876337,-0.3173098769839982,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4795676588009997,-0.0,-0.0
2019-01-09,1.0,-0.07352137136976168,-0.48747306467693696,-0.16026115202778762,-0.0,-0.0,-0.7299713761939987,-0.0,-0.018332100472775226,-0.2954041102498955,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4511948026887081,-0.0,-0.0
2019-01-10,1.0,-0.06295266425245732,-0.5253168649767201,-0.15380884635281947,-0.0,-0.0,-0.7375517330574237,-0.0,-0.007824624935333677,-0.27454086911536474,-0.0,-0.0,-0.0,-0.019787894464562854,-0.0,-0.0,-0.45153259182617694,-0.0,-0.0
2019-01-11,1.0,-0.06347817633906873,-0.5267489711934157,-0.149671105926574,-0.0,-0.0,-0.7414212112374843,-0.0,-0.009558990311396261,-0.27478046725640776,-0.0,-0.0,-0.0,-0.01992806454748712,-0.0,-0.0,-0.45478111532354754,-0.0,-0.0
2019-01-14,1.0,-0.06226512893611507,-0.5280549436309446,-0.15164571724763506,-0.0,-0.0,-0.7425489179733057,-0.0,-0.008746922379162888,-0.27277439419463523,-0.0,-0.0,-0.0,-0.019988337436827784,-0.0,-0.0,-0.4535441233640016,-0.0,-0.0
2019-01-15,1.0,-0.06936230393417331,-0.5070069426587811,-0.1416816662381075,-0.0,-0.0,-0.7917202365646696,-0.0,-0.008710465415273849,-0.2836847518642325,-0.0,-0.0,-0.0,-0.008517613782463358,-0.0,-0.0,-0.40354204165595264,-0.0,-0.0
2019-01-16,1.0,-0.050134460238186705,-0.5060186963759764,-0.13705339992316556,-0.0,-0.0,-0.7912344730439237,-0.0,-0.043923677807657824,-0.26792803175822766,-0.0,-0.0,-0.0,-0.015655013446023817,-0.0,-0.0,-0.38948648994749646,-0.0,-0.0
2019-01-17,1.0,-0.05037589153762128,-0.5267943198612093,-0.12780312279123565,-0.0,-0.0,-0.784167576945319,-0.0,-0.047484418171303736,-0.2576302769388935,-0.0,-0.0,-0.0,-0.020047548673135,-0.0,-0.0,-0.3984771573604061,-0.0,-0.0
2019-01-18,1.0,-0.0485676707407051,-0.52657748692779,-0.12712924646328552,-0.0,-0.0,-0.7846533859429635,-0.0,-0.041317807076636834,-0.25971193019600297,-0.0,-0.0,-0.0,-0.022711962275045714,-0.0,-0.0,-0.3972347865139704,-0.0,-0.0
2019-01-22,1.0,-0.04795423135023944,-0.5271429948895959,-0.12203901905955708,-0.0,-0.0,-0.7982515347282486,-0.0,-0.04287596824478514,-0.2582200366406325,-0.0,-0.0,-0.0,-0.02346286118342815,-0.0,-0.0,-0.3941117860701315,-0.0,-0.0
2019-01-23,1.0,-0.0288347301159169,-0.5258324503098609,-0.14722409530231514,-0.0,-0.0,-0.8029091609671516,-0.0,-0.04029798028449411,-0.24332915904055488,-0.0,-0.0,-0.0,-0.024564107504094018,-0.0,-0.0,-0.3978422117329737,-0.0,-0.0
2019-01-24,1.0,-0.034409365023057824,-0.53097487826115,-0.13844367764197493,-0.0,-0.0,-0.787739043503499,-0.0,-0.0662065851849463,-0.2676642265148828,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3992066819310523,-0.0,-0.0
2019-01-25,1.0,-0.03584449104694305,-0.5415066946281658,-0.12240683981287305,-0.0,-0.0,-0.7756734957251169,-0.0,-0.05997741571221164,-0.27014034521697045,-0.0,-0.0,-0.0,-0.013131150185513791,-0.0,-0.0,-0.40767865784804,-0.0,-0.0
2019-01-28,1.0,-0.04050378812406916,-0.5470115910121089,-0.09331088519070127,-0.0,-0.0,-0.7958622029398432,-0.0,-0.07877355436119925,-0.27303632713850934,-0.0,-0.0,-0.0,-0.01745127242116169,-0.0,-0.0,-0.39176325843424203,-0.0,-0.0
2019-01-29,1.0,-0.033540734979583896,-0.5491930779700563,-0.09261779765376887,-0.0,-0.0,-0.8082182902326787,-0.0,-0.08231252835569382,-0.27360814051461535,-0.0,-0.0,-0.0,-0.013545920020740163,-0.0,-0.0,-0.3876142329379739,-0.0,-0.0
2019-01-30,1.0,-0.03189147186427507,-0.5494722528006216,-0.08887521854561936,-0.0,-0.0,-0.8036650909797318,-0.0,-0.0741112478145438,-0.2803535582464547,-0.0,-0.0,-0.0,-0.020268082626432687,-0.0,-0.0,-0.38914071100174835,-0.0,-0.0
2019-01-31,1.0,-0.0028539923461114356,-0.5613284037101901,-0.09035480313939158,-0.0,-0.0,-0.8238632678212362,-0.001135110592203412,-0.07478757216060193,-0.2964908866835312,-0.0,-0.008561977038334306,-0.0,-0.0,-0.0,-0.0,-0.38379710708957643,-0.0,-0.0
2019-02-01,1.0,-0.004107566908414094,-0.558147744047237,-0.09620691868301136,-0.0,-0.0,-0.8252679545600411,-0.0,-0.10249663051152044,-0.22504974006803155,-0.0,-0.010750272768115013,-0.0,-0.03176946280726526,-0.0,-0.0,-0.35520826647840315,-0.0,-0.0
2019-02-04,1.0,-0.0,-0.557952867141848,-0.09400886149104219,-0.0,-0.0,-0.8324985551916779,-0.0,-0.10270981827521992,-0.22002825402940984,-0.0,-0.013163809156874078,-0.0,-0.03814293970333269,-0.0,-0.0,-0.3521800552237847,-0.0,-0.0
2019-02-05,1.0,-0.0,-0.5520505744175598,-0.1064437455875746,-0.0,-0.0,-0.8262306655542005,-0.0012515242924074192,-0.10718182401643027,-0.21994737179898596,-0.0,-0.013542134651177715,-0.0,-0.029619408253642256,-0.0,-0.0,-0.3528335793594763,-0.0,-0.0
2019-02-06,1.0,-0.0,-0.5530672484599589,-0.1093108316221766,-0.0,-0.0,-0.825397843942505,-0.002662987679671458,-0.10526822381930184,-0.21762705338809035,-0.0,-0.014790811088295688,-0.0,-0.027881160164271047,-0.0,-0.0,-0.3524127310061601,-0.0,-0.0
2019-02-07,1.0,-0.0,-0.5481962574754036,-0.10504147643238376,-0.0,-0.0,-0.8290785158510705,-0.0,-0.10976786058774354,-0.2323323258954408,-0.0,-0.015626004758536427,-0.0,-0.021091891196707607,-0.0,-0.0,-0.35412513664716094,-0.0,-0.0
2019-02-08,1.0,-0.0,-0.5537502422637121,-0.12500807545707085,-0.0,-0.0,-0.8262807674914401,-0.0,-0.10320434136572129,-0.231022675883455,-0.0,-0.013728277020479358,-0.0,-0.0054267071516247815,-0.0,-0.0,-0.37176174171458104,-0.0,-0.0
2019-02-11,1.0,-0.0,-0.5532940719647943,-0.12218483044266115,-0.0,-0.0,-0.8340344292001035,-0.0,-0.10312580895676937,-0.23443567175770127,-0.0,-0.008639658296660626,-0.0,-0.006601087237898008,-0.0,-0.0,-0.37354387781516957,-0.0,-0.0
2019-02-12,1.0,-0.0,-0.5125831268744295,-0.115236667101317,-0.0,-0.0,-0.858488720824097,-0.0,-0.11122701786412831,-0.2701460425088017,-0.0,-0.011148780805841701,-0.0,-0.0,-0.0,-0.0,-0.38078628243578044,-0.0,-0.0
