Date,IWF,IWM,KBR,MTUM,SPY,VLUE,VXX
2018-09-24,-0.49114965926188164,-1.12930347818391,1.0,-0.12771041685104878,-0.851712540932826,-0.8252942738295425,0.0
2018-09-25,-0.4925907904631309,-1.1274384040341487,1.0,-0.1303578537621091,-0.8501349139647012,-0.8228424824169505,0.0
2018-09-26,-0.4923990604086336,-1.1287062890573063,1.0,-0.12635731064131545,-0.8536542126490272,-0.8309178743961353,0.0
2018-09-27,-0.4933569530558016,-1.1244464127546503,1.0,-0.1274579273693534,-0.8531443755535872,-0.8302922940655447,0.0
2018-09-28,-0.49348981399468556,-1.124136403897254,1.0,-0.1279450841452613,-0.8529672276350753,-0.8301594331266607,0.0
2018-10-01,-0.4932327490570224,-1.1289549589527403,1.0,-0.12908808520079876,-0.853916130463723,-0.8323496782782338,0.0
2018-10-02,-0.4969341508930951,-1.108593264018484,1.0,-0.13716342308717674,-0.8608815426997245,-0.8397316271216564,0.0
2018-10-03,-0.4991082575352238,-1.0937221330479756,1.0,-0.13443017656500802,-0.8736400927412163,-0.8577670768682004,0.0
2018-10-04,-0.5053091817613992,-1.0857499776925135,1.0,-0.1355849022932096,-0.8817257071473186,-0.853172124565004,0.0
2018-10-05,-0.4899773323258812,-1.0788479487977243,1.0,-0.11893861949419975,-0.8916396284279302,-0.8651940086226054,0.0
2018-10-08,-0.4879109178829688,-1.0757730358014286,1.0,-0.11592209751120182,-0.8927288052881416,-0.863981189831862,0.0
2018-10-09,-0.485132672563225,-1.079336859415974,1.0,-0.10582692564113962,-0.900351126716743,-0.8739499533312591,0.0
2018-10-10,-0.48805976786587807,-1.0780006225819363,1.0,-0.10872948814870814,-0.902565926980033,-0.8696580246364567,0.0
2018-10-11,-0.43781073018892397,-1.0712463793177986,1.0,-0.04383727465306299,-0.8900177251307769,-0.8802905192166357,0.0
2018-10-12,-0.43717389444872123,-1.0648361987853905,1.0,-0.03464203233256351,-0.8763578821315542,-0.8637841074330682,0.0
2018-10-15,-0.4191854508196721,-1.0945611338797814,1.0,-0.00819672131147541,-0.877774931693989,-0.8694074453551912,0.0
2018-10-16,-0.416388960095702,-1.1073229086559004,1.0,-0.0,-0.8787917627958644,-0.8699051525249937,0.0
2018-10-17,-0.3963391542183884,-1.0716600042078688,1.0,-0.0,-0.8694298337891858,-0.8704397222806648,0.0
2018-10-18,-0.3970018527876032,-1.0741536129358262,1.0,-0.0,-0.86870473303015,-0.8709786087249453,0.0
2018-10-19,-0.3777740627742717,-1.061980189743804,1.0,-0.0,-0.8698123458854014,-0.8697705520959584,0.0
2018-10-22,-0.3796827257126114,-1.0686869532459922,1.0,-0.0,-0.8685278975346364,-0.8687790381315139,0.0
2018-10-23,-0.38238125130780504,-1.068675455116133,1.0,-0.0,-0.8663737183511195,-0.8675455116133083,0.0
2018-10-24,-0.3817220099911842,-1.0774526678141136,1.0,-0.0,-0.8696108475714706,-0.8691910499139415,0.0
2018-10-25,-0.3386932627722369,-1.0245878282108691,1.0,-0.0,-0.8744962344799512,-0.833055159780175,0.0
2018-10-26,-0.31841257050765515,-1.0089041095890412,1.0,-0.0,-0.8793714746172442,-0.82232070910556,0.0
2018-10-29,-0.2882173284037936,-1.0269651181482076,1.0,-0.0,-0.8691126828484166,-0.8343915769168944,0.0
2018-10-30,-0.2973429951690821,-1.0288244766505636,1.0,-0.0,-0.8706119162640902,-0.8289855072463768,0.0
2018-10-31,-0.3003449408672799,-1.0664832457293036,1.0,-0.0,-0.8897421156373194,-0.849868593955322,0.0
2018-11-01,-0.2751980950034898,-1.0883113683951224,1.0,-0.0,-0.8901753089460935,-0.8519111549041343,0.0
2018-11-02,-0.2817424675430718,-1.0540948803788683,1.0,-0.0,-0.9005470727525109,-0.8462480607495714,0.0
2018-11-05,-0.27948257569574797,-1.0595364400554965,1.0,-0.0,-0.9004733534644577,-0.8411817514078185,0.0
2018-11-06,-0.2774214632950692,-1.0580089055925486,1.0,-0.0,-0.9038767923526289,-0.8458678867600801,0.0
2018-11-07,-0.27728071250561753,-1.0581770641827022,1.0,-0.0,-0.9040323569064836,-0.8459370020835887,0.0
2018-11-08,-0.25981983444246065,-1.056037980847265,1.0,-0.0,-0.89616133744522,-0.8457636747281286,0.0
2018-11-09,-0.2584361134855701,-1.0601620059429315,1.0,-0.0,-0.9031627793381365,-0.8487401799161477,0.0
2018-11-12,-0.2568613937649491,-1.0447561519438926,1.0,-0.0,-0.9073255766813962,-0.8450561478898934,0.0
2018-11-13,-0.25391134289439377,-1.0546773142112125,1.0,-0.0,-0.9148875488917863,-0.8508393089960886,0.0
2018-11-14,-0.2524212332965551,-1.0602345633607126,1.0,-0.0,-0.9185157942053859,-0.8552572432675412,0.0
2018-11-15,-0.25089781260202415,-1.0604391119817174,1.0,-0.0,-0.9197682011100228,-0.8498612471433235,0.0
2018-11-16,-0.252051104126699,-1.0604106290052655,1.0,-0.0,-0.919588554634883,-0.8497489693456876,0.0
2018-11-19,-0.25411207705807926,-1.0597118484959798,1.0,-0.0,-0.9183706787478061,-0.8492714583078241,0.0
2018-11-20,-0.2268832487309645,-1.054253807106599,1.0,-0.0,-0.9200812182741117,-0.8596954314720813,0.0
2018-11-21,-0.22267715258634668,-1.0545240797794713,1.0,-0.0,-0.9204637587157452,-0.856169936760175,0.0
2018-11-23,-0.22304169874782187,-1.0523969688373789,1.0,-0.0,-0.920816955059367,-0.8561008226283584,0.0
2018-11-26,-0.2245802333617921,-1.0501280643980972,1.0,-0.0,-0.9279993495141684,-0.8628288002601944,0.0
2018-11-27,-0.2198337051308051,-1.0503346177245996,1.0,-0.0,-0.9256945852768201,-0.8601500709795175,0.0
2018-11-28,-0.21955375253549697,-1.053793103448276,1.0,-0.0,-0.9240973630831643,-0.8593509127789046,0.0
