Date,IWF,IWM,LNG,MTUM,SPY,VLUE,VXX
2018-09-24,-0.41148940730949235,-0.914329605944768,1.0,-0.05244542888785681,-0.6284877281983494,-0.5657890036083028,0.0
2018-09-25,-0.4174479353038002,-0.9128676733700709,1.0,-0.05979388821298218,-0.626816002290131,-0.561404136549059,0.0
2018-09-26,-0.4189910129256329,-0.9150345518994595,1.0,-0.06273049518421712,-0.6265172401446525,-0.5572344158401661,0.0
2018-09-27,-0.42330409880078756,-0.9057454805799178,1.0,-0.06558081260068015,-0.6274207982817255,-0.5576516914265259,0.0
2018-09-28,-0.4241469440366644,-0.9051165455261557,1.0,-0.0659171470514519,-0.6275555873822909,-0.5578072970747253,0.0
2018-10-01,-0.4247350329418505,-0.9042896018332857,1.0,-0.06599112002291607,-0.6278287023775423,-0.5577556574047551,0.0
2018-10-02,-0.42753207655365205,-0.8853128807970755,1.0,-0.07307719876711347,-0.6337896924951616,-0.5642606264783887,0.0
2018-10-03,-0.428345891639756,-0.8902045209903121,1.0,-0.07402224614280588,-0.6330821672048799,-0.56243272335845,0.0
2018-10-04,-0.4321638685607691,-0.883735112641699,1.0,-0.07479552303056393,-0.6380398909456162,-0.558544984933276,0.0
2018-10-05,-0.4267363223243998,-0.8829212437828747,1.0,-0.0664829856514116,-0.6411063799334454,-0.5609546641857802,0.0
2018-10-08,-0.4257630995782401,-0.8815497891200229,1.0,-0.06487239974265495,-0.641754235470727,-0.560261634141111,0.0
2018-10-09,-0.4247417521535547,-0.8820459663294848,1.0,-0.06205097044000429,-0.6432426636165421,-0.5622475604961218,0.0
2018-10-10,-0.4244136155606408,-0.8831521739130436,1.0,-0.06099828375286041,-0.643521167048055,-0.563429633867277,0.0
2018-10-11,-0.38684348281277264,-0.8836852207293665,1.0,-0.007607747339033327,-0.6355958820450183,-0.5760600244285464,0.0
2018-10-12,-0.4022813688212928,-0.8824403733148981,1.0,-0.0033529208434151404,-0.6166954718285517,-0.5518492913930175,0.0
2018-10-15,-0.38939670932358317,-0.8947949363595598,1.0,-0.0,-0.6138801697078403,-0.5512745334759063,0.0
