Date,ARD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5104788793571505,-0.7476019835668005,-0.018170630180620408,-0.7463713034350453,-0.5969884533246461,0.0
2018-09-25,1.0,-0.5152745062511326,-0.7462221416923356,-0.024352237724225408,-0.7447726037325604,-0.5931871715890561,0.0
2018-09-26,1.0,-0.515020680647268,-0.74668021188593,-0.02184166606196938,-0.7467164937232422,-0.5978883970684276,0.0
2018-09-27,1.0,-0.5170151850106911,-0.7398978001667089,-0.023737904541006778,-0.7462399884028558,-0.5972529264668576,0.0
2018-09-28,1.0,-0.5182566445483883,-0.7394756880234963,-0.02407628993074441,-0.7465100257442258,-0.5975923710069256,0.0
2018-10-01,1.0,-0.518819348756255,-0.7387410254550728,-0.02422220610631663,-0.7467546595112046,-0.5975777793893683,0.0
2018-10-02,1.0,-0.5225711662075299,-0.7863360881542699,-0.013810835629017448,-0.7505601469237833,-0.5998163452708908,0.0
2018-10-03,1.0,-0.5229337551035421,-0.7745981535292603,-0.011733549122742487,-0.7578989958436018,-0.6110641115238901,0.0
2018-10-04,1.0,-0.5222951061320755,-0.779296875,-0.012197818396226415,-0.7570754716981133,-0.6143130896226415,0.0
2018-10-05,1.0,-0.503850830968788,-0.7715664959280687,-0.0,-0.7752515016398276,-0.6343000331650515,0.0
2018-10-08,1.0,-0.5008493980353054,-0.7702193662752049,-0.0,-0.7852869488145358,-0.6366792229854494,0.0
2018-10-09,1.0,-0.4978207874713748,-0.7700746103272513,-0.0,-0.7866587870281452,-0.639026372165177,0.0
2018-10-10,1.0,-0.4989846778659775,-0.7689496031013477,-0.0,-0.7872992431235002,-0.6368100424589256,0.0
2018-10-11,1.0,-0.4542259834331409,-0.7438232868361602,-0.0,-0.7626492630975006,-0.6251658478861117,0.0
2018-10-12,1.0,-0.4634930732258976,-0.7322943172179814,-0.0,-0.7409881255301103,-0.597257562906418,0.0
2018-10-15,1.0,-0.4486294130082446,-0.7424776266647874,-0.0,-0.7369811852582622,-0.5952716510464378,0.0
2018-10-16,1.0,-0.4478968505601353,-0.7434298597900373,-0.0,-0.7365955048263229,-0.5949411681814979,0.0
2018-10-17,1.0,-0.4221267454350161,-0.6975156785974153,-0.0,-0.7351096635598212,-0.6101659679151797,0.0
2018-10-18,1.0,-0.4216178763208037,-0.6965529187597436,-0.0,-0.736047115884289,-0.6101853455742249,0.0
2018-10-19,1.0,-0.40751673245237685,-0.681963274412219,-0.0,-0.7363995194782907,-0.6064183971168697,0.0
2018-10-22,1.0,-0.40882990062923363,-0.6882371144654954,-0.0,-0.735412440257195,-0.6059553691159785,0.0
2018-10-23,1.0,-0.4056197207378039,-0.6910187898638166,-0.0,-0.7410101706602311,-0.6100327529736252,0.0
2018-10-24,1.0,-0.4048506175395018,-0.6929207203477541,-0.0,-0.7421858828399917,-0.6099841302697854,0.0
2018-10-25,1.0,-0.3857407096014797,-0.6586177904825962,-0.0,-0.7338826298974273,-0.5847990583487472,0.0
2018-10-26,1.0,-0.3540474528960223,-0.6964759246336357,-0.0,-0.8173063503140264,-0.6213886950453593,0.0
2018-10-29,1.0,-0.3316561990353586,-0.7045352024705923,-0.0,-0.8074881154793713,-0.6262882126374961,0.0
2018-10-30,1.0,-0.3102920190734746,-0.7093731509519334,-0.0,-0.8125717865719954,-0.6482893042358429,0.0
2018-10-31,1.0,-0.3140589960324306,-0.6870450232879076,-0.0,-0.8079351388649302,-0.6410212178713127,0.0
2018-11-01,1.0,-0.283012987012987,-0.7193073593073592,-0.0,-0.8131948051948051,-0.6476883116883116,0.0
2018-11-02,1.0,-0.2830930993663394,-0.7313557551702529,-0.0,-0.8144279646264188,-0.6527400598844092,0.0
2018-11-05,1.0,-0.27979815555942233,-0.7401426831390291,-0.0,-0.8148599269183923,-0.6452409953018966,0.0
2018-11-06,1.0,-0.2906367825722665,-0.7524437927663735,-0.0,-0.8110599078341014,-0.6369571288926128,0.0
2018-11-07,1.0,-0.2906266364112411,-0.7524175248734509,-0.0,-0.8110315936463607,-0.6369348926514227,0.0
2018-11-08,1.0,-0.2751782376964076,-0.7481137952516094,-0.0,-0.8022080708797675,-0.6354260400083063,0.0
2018-11-09,1.0,-0.27473440149496486,-0.7479669169810015,-0.0,-0.8026784787348167,-0.6351870436377478,0.0
2018-11-12,1.0,-0.27373357701989726,-0.7393703231145901,-0.0,-0.803234594296355,-0.6320562778026828,0.0
2018-11-13,1.0,-0.2773712453829535,-0.7516203219736567,-0.0,-0.8148651473970311,-0.6407066694543173,0.0
2018-11-14,1.0,-0.28116144831205175,-0.7538919013468602,-0.0,-0.8198705614832955,-0.6434143781703691,0.0
2018-11-15,1.0,-0.28025589037264914,-0.7536880374746557,-0.0,-0.8203873313290918,-0.6414388589806335,0.0
