Date,IWF,IWM,MTUM,SPY,TG,VLUE,VXX
2018-09-24,-0.7019265502709211,-1.7301625526791091,-0.0468994581577363,-1.2857916917519567,1.0,-1.255689343768814,0.0
2018-09-25,-0.7040184533203836,-1.749969649144106,-0.03915260410343572,-1.3024159281291732,1.0,-1.2746752458419328,0.0
2018-09-26,-0.7049538610976201,-1.751092763477416,-0.04110004856726566,-1.3020276833414277,1.0,-1.2717945604662457,0.0
2018-09-27,-0.7060286268801552,-1.7449053857350802,-0.04251576904415332,-1.3009461426491995,1.0,-1.2705604075691412,0.0
2018-09-28,-0.7023230357577231,-1.7554731208951593,-0.04445390415957188,-1.3044879591340306,1.0,-1.2745074191194357,0.0
2018-10-01,-0.7021716649431231,-1.7563720420950177,-0.04544072023845733,-1.3042764158403795,1.0,-1.2748342356591034,0.0
2018-10-02,-0.7028822131497166,-1.7714947291450853,-0.042898056181829264,-1.302967521784169,1.0,-1.2732313692035828,0.0
2018-10-03,-0.7062996941896024,-1.7540672782874616,-0.04024464831804281,-1.3193883792048928,1.0,-1.2961467889908256,0.0
2018-10-04,-0.7125382262996942,-1.7442201834862383,-0.0418960244648318,-1.3270948012232415,1.0,-1.2904587155963303,0.0
2018-10-05,-0.6913572732805843,-1.7362142422398052,-0.016798539257455874,-1.3381010346926354,1.0,-1.3039561777236763,0.0
2018-10-08,-0.687591063623118,-1.731058766391452,-0.011595434677027684,-1.3391209324915008,1.0,-1.3015420106847984,0.0
2018-10-09,-0.6851087088546095,-1.732600510142111,-0.0046155714806267465,-1.343374225677153,1.0,-1.3073606218875258,0.0
2018-10-10,-0.6854853396466947,-1.7315607357494083,-0.004917137133491167,-1.3437139561707037,1.0,-1.304983913069872,0.0
2018-10-11,-0.5448883666274971,-1.7149823736780259,-0.0,-1.2983548766157462,1.0,-1.3172150411280847,0.0
2018-10-12,-0.5429034311172828,-1.701556442747208,-0.0,-1.2636695018226003,1.0,-1.277961002140832,0.0
2018-10-15,-0.4923593424403797,-1.756251447094235,-0.0,-1.2568302847881454,1.0,-1.2829358647835147,0.0
2018-10-16,-0.4872952480175956,-1.7645424552873763,-0.0,-1.2550211263529547,1.0,-1.2811830757654685,0.0
2018-10-17,-0.4460003401553376,-1.6961845909632067,-0.0,-1.2400929757922785,1.0,-1.286977719825387,0.0
2018-10-18,-0.44653089011176034,-1.6990979746979065,-0.0,-1.2396323821410336,1.0,-1.2877971294037556,0.0
2018-10-19,-0.41635290812025855,-1.6826636695701038,-0.0,-1.237257656645125,1.0,-1.2832818207361618,0.0
2018-10-22,-0.4166947533984945,-1.6708796764408491,-0.0,-1.2421076283563643,1.0,-1.287664307381193,0.0
2018-10-23,-0.4248046325968404,-1.6729071794006858,-0.0,-1.2382076797661212,1.0,-1.2861640523978186,0.0
2018-10-24,-0.42005952715224354,-1.6708036165552873,-0.0,-1.2380524512832032,1.0,-1.2869096422755095,0.0
2018-10-25,-0.35047361299052776,-1.5898240866035183,-0.0,-1.241894451962111,1.0,-1.2305277401894452,0.0
2018-10-26,-0.32254273504273506,-1.564155982905983,-0.0,-1.2430021367521367,1.0,-1.212179487179487,0.0
2018-10-29,-0.2834264432029795,-1.5843043362596434,-0.0,-1.2285182229316307,1.0,-1.2242617717478053,0.0
2018-10-30,-0.2786257512099133,-1.5838430037759932,-0.0,-1.2282082646386214,1.0,-1.2275700686060735,0.0
2018-10-31,-0.2822648671446647,-1.5510860396457193,-0.0,-1.2216891606916913,1.0,-1.2169443272880642,0.0
2018-11-01,-0.24242263951335627,-1.593758265009257,-0.0,-1.22787622322137,1.0,-1.2255487966146523,0.0
2018-11-02,-0.2437957742768323,-1.5784287897149483,-0.0,-1.2267769640128565,1.0,-1.2199799778702778,0.0
2018-11-05,-0.23813286971181705,-1.5952268057531216,-0.0,-1.2279648069121754,1.0,-1.207101838680786,0.0
2018-11-06,-0.24387674479852517,-1.599157229391625,-0.0,-1.2236502501975244,1.0,-1.2006847511193048,0.0
2018-11-07,-0.24257425742574257,-1.6008531704234255,-0.0,-1.2220876342953444,1.0,-1.200916368232568,0.0
2018-11-08,-0.20732596915381407,-1.59691538140892,-0.0,-1.2056586077532305,1.0,-1.2005523134639433,0.0
2018-11-09,-0.2101471969934231,-1.5993840693183006,-0.0,-1.206806556007934,1.0,-1.20330932247625,0.0
2018-11-12,-0.25829067438237263,-1.735699977743156,-0.0,-1.2766525706654797,1.0,-1.2935677720899177,0.0
2018-11-13,-0.2188377857339576,-1.7312586064445057,-0.0,-1.2729275681630405,1.0,-1.285100523271826,0.0
