Date,IWF,IWM,MNRO,MTUM,SPY,VLUE,VXX
2018-09-24,-0.5672054818589124,-1.2117631555828867,1.0,-0.0673811824650795,-0.7721602389528244,-0.7740050953175789,0.0
2018-09-25,-0.5663038208981535,-1.2185888678330614,1.0,-0.0627120884932352,-0.7781499272839452,-0.7813229914944251,0.0
2018-09-26,-0.5684354461647039,-1.2215605840059989,1.0,-0.06647258612324115,-0.7780424330642671,-0.7764103921309162,0.0
2018-09-27,-0.5768568020147572,-1.2091636106570054,1.0,-0.07122343480758184,-0.7819113683559403,-0.7791278222065126,0.0
2018-09-28,-0.574396632785564,-1.2387050552993328,1.0,-0.07347870863744235,-0.7972059284466932,-0.7938924461559128,0.0
2018-10-01,-0.5740964664785705,-1.2392404496394824,1.0,-0.07402928926508129,-0.7970800304536702,-0.7940794482511532,0.0
2018-10-02,-0.574186036096556,-1.2384791078866049,1.0,-0.07496977025392988,-0.7968561064087062,-0.7939898786331677,0.0
2018-10-03,-0.5753105241917402,-1.2441594547329715,1.0,-0.0761849244428501,-0.7963320030491906,-0.7921169454284561,0.0
2018-10-04,-0.5767869146314138,-1.2398386735379792,1.0,-0.07703338561505714,-0.7979834192247368,-0.789603405780865,0.0
2018-10-05,-0.5645614818120954,-1.235617049765677,1.0,-0.061593394331622406,-0.8040615933943317,-0.7975005579111806,0.0
2018-10-08,-0.5649213956196533,-1.2372015944820172,1.0,-0.05217897612755856,-0.8207103506964661,-0.8038697541093743,0.0
2018-10-09,-0.5621580410799174,-1.2400215265943135,1.0,-0.042784106197865275,-0.8272939277065207,-0.812449547044578,0.0
2018-10-10,-0.5636461462583509,-1.2386674438416356,1.0,-0.04434381024974218,-0.8280500381114648,-0.8090391427162265,0.0
2018-10-11,-0.5173151666011616,-1.2311017948382026,1.0,-0.0,-0.8075898510852003,-0.8109961133673959,0.0
2018-10-12,-0.5361659736659736,-1.2323284823284824,1.0,-0.0,-0.7823544698544699,-0.7804054054054055,0.0
2018-10-15,-0.5202869118091864,-1.2448256492243877,1.0,-0.0,-0.7773408806118481,-0.7785075400769131,0.0
2018-10-16,-0.5146315106980766,-1.254765506807867,1.0,-0.0,-0.7759239247892803,-0.7771342122325481,0.0
2018-10-17,-0.48360690684289065,-1.2036665956086123,1.0,-0.0,-0.7769345555318695,-0.7992752078448092,0.0
2018-10-18,-0.488716320576626,-1.218208340483954,1.0,-0.0,-0.7780590355242836,-0.8053458040157885,0.0
2018-10-19,-0.4650149508756941,-1.20666381888082,1.0,-0.0,-0.7882528833831696,-0.8117471166168304,0.0
2018-10-22,-0.46508445584776564,-1.1929441949967927,1.0,-0.0,-0.7978191148171906,-0.8204404532820184,0.0
2018-10-23,-0.4773000343288706,-1.1985925163062137,1.0,-0.0,-0.7945846206659801,-0.8206316512186749,0.0
2018-10-24,-0.47611478649368505,-1.193401494973795,1.0,-0.0,-0.7986510868631326,-0.8277773004553657,0.0
2018-10-25,-0.43241221691252857,-1.1356326615416579,1.0,-0.0,-0.8008726366091835,-0.786453355495533,0.0
2018-10-26,-0.47829299030898265,-1.1924731650080396,1.0,-0.0,-0.8371648342097258,-0.8377732388857503,0.0
2018-10-29,-0.4381326352530541,-1.2301919720767889,1.0,-0.0,-0.8298865619546247,-0.8647469458987783,0.0
2018-10-30,-0.4397364286961075,-1.2303630651073485,1.0,-0.0,-0.8300314190958282,-0.8636760342119044,0.0
2018-10-31,-0.44710829792768575,-1.2010318217289517,1.0,-0.0,-0.8292291684730773,-0.8579727737795889,0.0
