Date,CMP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.30387124548796235,-0.7686856310229493,-0.0,-0.6109878464748153,-0.6280094049077722,0.0
2018-09-25,1.0,-0.3006981271396926,-0.786534201517084,-0.0,-0.6247902262200443,-0.6443914882191045,0.0
2018-09-26,1.0,-0.3003155209452202,-0.7863520408163265,-0.0,-0.6248657357679913,-0.6450725026852846,0.0
2018-09-27,1.0,-0.2995225927918236,-0.7908485745024206,-0.0,-0.6257060247444863,-0.645945400753093,0.0
2018-09-28,1.0,-0.3000907837665176,-0.7905921118993982,-0.0,-0.6257355166268787,-0.6459433105813523,0.0
2018-10-01,1.0,-0.3000573529907898,-0.7971390978711919,-0.0,-0.627509193347053,-0.6489659593131136,0.0
2018-10-02,1.0,-0.30209809080483035,-0.7897524117924847,-0.0,-0.6298994805370033,-0.6513863590366322,0.0
2018-10-03,1.0,-0.30147653721682843,-0.7834412081984897,-0.0,-0.6315062028047465,-0.6546655879180151,0.0
2018-10-04,1.0,-0.3012113236832338,-0.7858757634038532,-0.0,-0.6307318554509566,-0.6563417349934203,0.0
2018-10-05,1.0,-0.29548134919297775,-0.7860295852006606,-0.0,-0.6310610910806349,-0.6570745021397042,0.0
2018-10-08,1.0,-0.29196662854067146,-0.7820426562605126,-0.0,-0.6340240866581444,-0.6560250285944963,0.0
2018-10-09,1.0,-0.29266897688658616,-0.7824243851562762,-0.0,-0.6338525720822259,-0.6554183628839619,0.0
2018-10-10,1.0,-0.29164983164983166,-0.783973063973064,-0.0,-0.6339730639730641,-0.6574074074074074,0.0
2018-10-11,1.0,-0.22012558048269998,-0.7720256393485513,-0.0,-0.610209954869514,-0.6679311923605207,0.0
2018-10-12,1.0,-0.2327374012177743,-0.7696916699054283,-0.0,-0.590717709547869,-0.6456147169322451,0.0
2018-10-15,1.0,-0.23304494345614205,-0.7690936781050517,-0.0,-0.5918473153818736,-0.6463497618353262,0.0
2018-10-16,1.0,-0.22319596025411306,-0.7942661671281968,-0.0,-0.5931584948688712,-0.647206385404789,0.0
2018-10-17,1.0,-0.20786264441591784,-0.7649871630295251,-0.0,-0.586617458279846,-0.6497432605905007,0.0
2018-10-18,1.0,-0.21010946555054733,-0.7717321313586607,-0.0,-0.5858338699291694,-0.6518995492594978,0.0
2018-10-19,1.0,-0.19277223926380369,-0.7602249488752556,-0.0,-0.5888611963190185,-0.6534381390593046,0.0
2018-10-22,1.0,-0.19286903085392396,-0.7483996927410063,-0.0,-0.5978747919600563,-0.6615030085776469,0.0
2018-10-23,1.0,-0.19410578861476432,-0.7482640555502224,-0.0,-0.5967169050590381,-0.660842853028703,0.0
