Date,BIG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5102917487023447,-1.102693753356005,-0.0,-0.8970825129765526,-0.9646053338106318,0.0
2018-09-25,1.0,-0.5151894769808958,-1.1011587848418416,-0.0,-0.8961120307816205,-0.9616571965460159,0.0
2018-09-26,1.0,-0.5179762704275801,-1.1042310275352585,-0.0,-0.8967987463622118,-0.9582269979852249,0.0
2018-09-27,1.0,-0.5300512083370765,-1.0940167100889406,-0.0,-0.9040966669661306,-0.9637498877010151,0.0
2018-09-28,1.0,-0.5271991001124859,-1.100562429696288,-0.0,-0.9059617547806524,-0.9657142857142856,0.0
2018-10-01,1.0,-0.5271548230208052,-1.1030352157074663,-0.0,-0.9063766549581194,-0.9667207061154642,0.0
2018-10-02,1.0,-0.5280504277352543,-1.10027014858172,-0.0,-0.9069338135974786,-0.9672219720846467,0.0
2018-10-03,1.0,-0.5271492194880562,-1.092446803724864,-0.0,-0.9084079355796483,-0.9706689459714787,0.0
2018-10-04,1.0,-0.5326825318277926,-1.0846641774258852,-0.0,-0.915335822574115,-0.9659903729362546,0.0
2018-10-05,1.0,-0.5052952791240352,-1.072069646383055,-0.0,-0.9269879734338539,-0.9831269071979896,0.0
2018-10-08,1.0,-0.5029983317552641,-1.073763469949051,-0.0,-0.9430091528022003,-0.9889986022814374,0.0
2018-10-09,1.0,-0.495004995004995,-1.0825084006902188,-0.0,-0.956634274816093,-1.0068113704477342,0.0
2018-10-10,1.0,-0.49422989550204455,-1.0837800999545661,-0.0,-0.9570195365742844,-1.0083598364379829,0.0
2018-10-11,1.0,-0.37041679724224374,-1.0991180552446613,-0.0,-0.9443971885212875,-1.0629448896449836,0.0
2018-10-12,1.0,-0.369676994067238,-1.0800263678312458,-0.0,-0.9133816743572841,-1.0315535047242363,0.0
2018-10-15,1.0,-0.35662312615060926,-1.0864819847462084,-0.0,-0.9095292364337687,-1.0305952485316034,0.0
2018-10-16,1.0,-0.34637290829617207,-1.1207558832619542,-0.0,-0.9138151794781226,-1.0342178462625282,0.0
2018-10-17,1.0,-0.31399861997584955,-1.0600310505433845,-0.0,-0.8998619975849578,-1.0386838019665345,0.0
2018-10-18,1.0,-0.31560528817074224,-1.0648924220167633,-0.0,-0.8995506783029465,-1.0403957487254818,0.0
2018-10-19,1.0,-0.32395787626151823,-1.0931548924967092,-0.0,-0.914304519526108,-1.0564721369021501,0.0
2018-10-22,1.0,-0.3254159898142864,-1.0954032576722132,-0.0,-0.9137726654080871,-1.0558019054309171,0.0
2018-10-23,1.0,-0.3543465616750929,-1.1247371482260302,-0.0,-0.9240302447317793,-1.0710482752449555,0.0
2018-10-24,1.0,-0.35174080372326144,-1.118902711894746,-0.0,-0.9270562964288912,-1.07737402667144,0.0
2018-10-25,1.0,-0.29260491852876347,-1.0481047672559105,-0.0,-0.9468816181873191,-1.0345334313005143,0.0
