Date,ESI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.39888947249943724,-0.8790800630299392,-0.048172882119006534,-0.704547159900953,-0.7210925189464996,0.0
2018-09-25,1.0,-0.3994223772551667,-0.8782491279396871,-0.049247965192603424,-0.7037995574059487,-0.7200405086080792,0.0
2018-09-26,1.0,-0.3994449028580001,-0.8783662140874653,-0.04932113119795964,-0.7037731603030529,-0.719750956417373,0.0
2018-09-27,1.0,-0.40029237574031035,-0.875103081190494,-0.050266136891820974,-0.7033885598620586,-0.7193192893020466,0.0
2018-09-28,1.0,-0.39892799580194155,-0.8760823119307319,-0.05090145807564001,-0.7031372989992128,-0.7192173619700888,0.0
2018-10-01,1.0,-0.4011329106801216,-0.8750046891998351,-0.050643358217353794,-0.7048805191882058,-0.7197359042652962,0.0
2018-10-02,1.0,-0.4053149902270335,-0.8519771462937904,-0.05965268380694632,-0.7133513757329725,-0.728574650428507,0.0
2018-10-03,1.0,-0.40942261882255077,-0.8717056755019473,-0.06204862555299279,-0.7135024766514161,-0.7244678035315915,0.0
2018-10-04,1.0,-0.40981437374768437,-0.8706665154436505,-0.06264413443726136,-0.7136214131790858,-0.7238289667687421,0.0
2018-10-05,1.0,-0.39956298975286314,-0.8659584086799277,-0.05074593128390596,-0.7196353224834237,-0.7313893911995177,0.0
2018-10-08,1.0,-0.3975627186218829,-0.8626772482792343,-0.04645127317862113,-0.7234738782111558,-0.731109188701245,0.0
2018-10-09,1.0,-0.39875084656482807,-0.8631198735796523,-0.048724508992399725,-0.7225148619158702,-0.7294002558507036,0.0
2018-10-10,1.0,-0.4002738475581926,-0.8810284497185457,-0.04149551194279629,-0.7317434961204929,-0.7488970028906131,0.0
2018-10-11,1.0,-0.36815827713402133,-0.8765974887290883,-0.0,-0.723611162860017,-0.7575543053019859,0.0
2018-10-12,1.0,-0.3794260843906757,-0.8720492770728828,-0.0,-0.7030466214222484,-0.7338447919740335,0.0
2018-10-15,1.0,-0.3593244038857816,-0.8886517515454813,-0.0,-0.6982631733882838,-0.7335148660582866,0.0
2018-10-16,1.0,-0.3600397467981746,-0.8878257029294863,-0.0,-0.6985867805093477,-0.7338068600029442,0.0
2018-10-17,1.0,-0.3451195581074206,-0.8601642561232649,-0.0,-0.6924558470819101,-0.7362453666690894,0.0
