Date,IWF,IWM,MTUM,QDEL,SPY,VLUE,VXX
2018-09-24,-0.6845135825400511,-1.3106106338518688,-0.1270489900162526,1.0,-0.8451358254005107,-0.6762944044578593,0.0
2018-09-25,-0.6844378395950402,-1.3107323642780848,-0.1270143500673385,1.0,-0.8453072028978776,-0.6765429805414945,0.0
2018-09-26,-0.6845918083031485,-1.310950125383115,-0.1273799572768645,1.0,-0.8451286337884276,-0.6757221138664438,0.0
2018-09-27,-0.6844574507617986,-1.3117800074321813,-0.12746191007060573,1.0,-0.8453177257525084,-0.676049795615013,0.0
2018-09-28,-0.6899329484075246,-1.3115570869808157,-0.12767740733842428,1.0,-0.8483423356304711,-0.6788042466008567,0.0
2018-10-01,-0.6895957526080477,-1.3120808494783904,-0.12821348733233978,1.0,-0.8482209388971683,-0.6791169895678093,0.0
2018-10-02,-0.689526475390716,-1.3255423372988102,-0.12530907394448332,1.0,-0.8469792395614648,-0.6779099603452297,0.0
2018-10-03,-0.6895569767984688,-1.311656785397507,-0.12305681340740394,1.0,-0.8544419028056579,-0.6896503431212362,0.0
2018-10-04,-0.691841209124411,-1.3055931333675421,-0.1239912301161543,1.0,-0.8571628492792834,-0.686196762606708,0.0
2018-10-05,-0.6865636921931703,-1.3064110914673863,-0.11300828138085046,1.0,-0.8597748208802456,-0.6867497906392481,0.0
2018-10-08,-0.6866834639790966,-1.3074841358715938,-0.1036300858529302,1.0,-0.8756532288167226,-0.6924692049272115,0.0
2018-10-09,-0.6853623256030984,-1.3082917269376138,-0.09971536559189959,1.0,-0.8777005272735756,-0.6951145536839157,0.0
2018-10-10,-0.6878850102669405,-1.3067948478626097,-0.10220272540601083,1.0,-0.8793167817808475,-0.6905917491133097,0.0
2018-10-11,-0.6228942469236707,-1.3218907505789401,-0.0,1.0,-0.8732688552876537,-0.7226535894292331,0.0
2018-10-12,-0.6362576769623886,-1.31640292284933,-0.0,1.0,-0.8443089613125925,-0.6859281839781235,0.0
2018-10-15,-0.6096634336030036,-1.3397398650158674,-0.0,1.0,-0.8370357126894024,-0.6832789523085863,0.0
2018-10-16,-0.6066943736872682,-1.3440586316306924,-0.0,1.0,-0.8359029360504089,-0.6822183491978371,0.0
2018-10-17,-0.5922398589065255,-1.3135802469135802,-0.0,1.0,-0.8249559082892416,-0.6784391534391535,0.0
2018-10-18,-0.5913840998280347,-1.311830327615856,-0.0,1.0,-0.8273292473213104,-0.678821817540456,0.0
2018-10-19,-0.5700721942682125,-1.2984904834828264,-0.0,1.0,-0.8306278713629403,-0.6761758914898273,0.0
2018-10-22,-0.575662682485776,-1.3247033916993782,-0.0,1.0,-0.831694085476117,-0.6784721915935253,0.0
2018-10-23,-0.5766822471117382,-1.3244995149484082,-0.0,1.0,-0.8306288032454361,-0.67779345621307,0.0
2018-10-24,-0.5755195693420995,-1.3195075674006087,-0.0,1.0,-0.8340466840224153,-0.6833605436173499,0.0
2018-10-25,-0.5300984109402292,-1.2580411536659142,-0.0,1.0,-0.836279981255059,-0.6357943168747072,0.0
2018-10-26,-0.503499451893077,-1.2405767771312928,-0.0,1.0,-0.8469938443376339,-0.6250948646597521,0.0
2018-10-29,-0.48456764237188626,-1.2478822444015767,-0.0,1.0,-0.8361989432189885,-0.6249266124297577,0.0
2018-10-30,-0.4762323943661972,-1.2477783366867874,-0.0,1.0,-0.8363095238095238,-0.6314553990610329,0.0
2018-10-31,-0.477894912288012,-1.2325513563065127,-0.0,1.0,-0.8312846368598692,-0.6251093795574815,0.0
2018-11-01,-0.45309181761399125,-1.2530501769727254,-0.0,1.0,-0.8312721215906725,-0.6266500104101603,0.0
