Date,DRQ,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4092546411748406,-1.0953568459802874,-0.12389660768713137,-0.6703875232553537,-0.6595020385544076,0.0
2018-09-25,1.0,-0.42124542124542125,-1.0973881191272494,-0.13565058130275523,-0.6715241280458673,-0.6557174709348622,0.0
2018-09-26,1.0,-0.42613454777884313,-1.1047059763502718,-0.14217801214445508,-0.6731383828699266,-0.6486896772131672,0.0
2018-09-27,1.0,-0.42712283923509925,-1.1009221925026949,-0.1431993293145435,-0.6727214659267835,-0.6482095093616511,0.0
2018-09-28,1.0,-0.4244348590142983,-1.1038022206246505,-0.14398114865404585,-0.6729770748462338,-0.648733924434859,0.0
2018-10-01,1.0,-0.42416010865657333,-1.104342268205968,-0.14440937961890304,-0.6728318619422362,-0.648943394718971,0.0
2018-10-02,1.0,-0.4241915497461726,-1.1104448974697205,-0.14306271735220052,-0.6717831874325458,-0.6477994963424871,0.0
2018-10-03,1.0,-0.42384397106430605,-1.1000359697853803,-0.14156108868550418,-0.6761120658646737,-0.6550897246313098,0.0
2018-10-04,1.0,-0.4238717671983051,-1.1001718831194787,-0.14206339689011474,-0.675780469280889,-0.6554742774913058,0.0
2018-10-05,1.0,-0.4128659629555866,-1.0974706233817964,-0.1304919338777136,-0.680780720971918,-0.6616610237004581,0.0
2018-10-08,1.0,-0.41111906466237175,-1.0950847053209258,-0.1279726397836634,-0.6819374850870913,-0.6606219677085818,0.0
2018-10-09,1.0,-0.41408551636276775,-1.0965443108527748,-0.13333067919420336,-0.6801496934469304,-0.6571383071900629,0.0
2018-10-10,1.0,-0.4197166234284574,-1.0964278587108363,-0.1378966274196767,-0.685292356815007,-0.6519656755138695,0.0
2018-10-11,1.0,-0.3890607258917035,-1.0965506440624877,-0.10070083395325162,-0.6742492463098547,-0.6546728789005911,0.0
2018-10-12,1.0,-0.39127233267449524,-1.094020075185056,-0.09549277215827617,-0.65852807813045,-0.6362050924311127,0.0
2018-10-15,1.0,-0.3766394552559292,-1.1186984949897476,-0.07478624211707355,-0.6588772391380044,-0.6398808372344954,0.0
2018-10-16,1.0,-0.3739103483011119,-1.1345550346751385,-0.06384874665840146,-0.6609197628917902,-0.6410832590755879,0.0
2018-10-17,1.0,-0.3573829348407303,-1.0973951569780767,-0.04659689863264839,-0.6621724849132992,-0.6558704453441296,0.0
2018-10-18,1.0,-0.35915573739150386,-1.1012120980384659,-0.044813214545176464,-0.6615684625090812,-0.6569418422360723,0.0
2018-10-19,1.0,-0.3494905717761557,-1.0973236009732361,-0.03482360097323601,-0.663625304136253,-0.6564400851581508,0.0
2018-10-22,1.0,-0.3528897338403042,-1.0892015209125474,-0.026159695817490492,-0.6711406844106463,-0.6628897338403041,0.0
