Date,IWF,IWM,MTUM,NXST,SPY,VLUE,VXX
2018-09-24,-0.3715532414197712,-0.9649823995306541,-0.0,1.0,-0.6626576708712232,-0.6675711352302728,0.0
2018-09-25,-0.3748258925298732,-0.9636023751924346,-0.0,1.0,-0.6617183490946411,-0.6653104611098893,0.0
2018-09-26,-0.37658575933123123,-0.9653882818801789,-0.0,1.0,-0.6619124440859426,-0.6626457431986508,0.0
2018-09-27,-0.37592272944287347,-0.9699952256785047,-0.0,1.0,-0.6628961768702487,-0.6637041389694811,0.0
2018-09-28,-0.3735989122046231,-0.9733931130792693,-0.0,1.0,-0.6635184300466722,-0.6645106758296278,0.0
2018-10-01,-0.37340050007354025,-0.9748860126489189,-0.0,1.0,-0.6636270039711722,-0.6650978085012503,0.0
2018-10-02,-0.37251722740170246,-0.9880605814939012,-0.0,1.0,-0.6616059254891845,-0.6628219773740649,0.0
2018-10-03,-0.37252511820330964,-0.9741799645390071,-0.0,1.0,-0.6706560283687942,-0.6764923167848699,0.0
2018-10-04,-0.3730516362561868,-0.973480091600798,-0.0,1.0,-0.6708281007608776,-0.6762576641796558,0.0
2018-10-05,-0.3543642914920214,-0.9649238914626076,-0.0,1.0,-0.6745348922714905,-0.6829178616074711,0.0
2018-10-08,-0.355427898070408,-0.9675946383856237,-0.0,1.0,-0.6750994255413167,-0.6842686699072028,0.0
2018-10-09,-0.3490757480721691,-0.9691916024056378,-0.0,1.0,-0.6798140427258975,-0.6915839574954802,0.0
2018-10-10,-0.34856088560885606,-0.9696678966789668,-0.0,1.0,-0.6798523985239852,-0.6919557195571955,0.0
2018-10-11,-0.2852388620504563,-0.952943281445697,-0.0,1.0,-0.6505636070853462,-0.6897119341563787,0.0
2018-10-12,-0.28064012490241996,-0.9493293591654247,-0.0,1.0,-0.6397700659995741,-0.6786601376765311,0.0
2018-10-15,-0.25708724119624843,-0.9695275172535834,-0.0,1.0,-0.6342594231109537,-0.678322420810476,0.0
2018-10-16,-0.2483221476510067,-0.9899506409573522,-0.0,1.0,-0.6344590035865203,-0.6782429601221547,0.0
2018-10-17,-0.23071278825995808,-0.9566736547868623,-0.0,1.0,-0.6263801537386443,-0.6802935010482181,0.0
2018-10-18,-0.23019144773616548,-0.9558761878144215,-0.0,1.0,-0.6271310788149804,-0.6803381777529346,0.0
