Date,CYBR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.536754130223518,-1.0353741496598639,-0.21593780369290577,-0.6436151603498542,-0.4555879494655005,0.0
2018-09-25,1.0,-0.5389547309112104,-1.0331843792500486,-0.21958422381970077,-0.6416164756168641,-0.4524577423741985,0.0
2018-09-26,1.0,-0.5388023160921773,-1.0331480977732872,-0.21909610228111762,-0.6418606458632884,-0.4531146776512649,0.0
2018-09-27,1.0,-0.5429614667495338,-1.0235783095090119,-0.22195463020509634,-0.6425186451211933,-0.4533871970167806,0.0
2018-09-28,1.0,-0.5856494611457743,-1.0637306539178348,-0.21813467304108256,-0.6888825865002836,-0.49513815736164,0.0
2018-10-01,1.0,-0.5851443399286409,-1.0656422315926046,-0.218658773921505,-0.6890204346415829,-0.4960671423937723,0.0
2018-10-02,1.0,-0.5887202625102543,-1.1146841673502872,-0.20738310090237902,-0.6925758818703855,-0.49835931091058244,0.0
2018-10-03,1.0,-0.5964250165892502,-1.145653616456536,-0.21055905773059058,-0.6971632382216324,-0.4974701393497014,0.0
2018-10-04,1.0,-0.5970068816847691,-1.1433131581129259,-0.2111350634275765,-0.6977447972804908,-0.49643478981842304,0.0
2018-10-05,1.0,-0.5863420672580978,-1.138642459253146,-0.19917474726635032,-0.7022075510625129,-0.49989684340829377,0.0
2018-10-08,1.0,-0.5843395837626211,-1.1352565423449412,-0.19348856377498452,-0.7082217185246239,-0.4998145477024521,0.0
2018-10-09,1.0,-0.6118785113842775,-1.1660541545220293,-0.2200819499007308,-0.722088455202129,-0.5040763739281038,0.0
2018-10-10,1.0,-0.6132083438898741,-1.1646398108267884,-0.22156067899670637,-0.7226163330799764,-0.500633392449962,0.0
2018-10-11,1.0,-0.5606518542721778,-1.1615340630615911,-0.15254860316941676,-0.7031530795621631,-0.5063715079235419,0.0
2018-10-12,1.0,-0.5731830078518221,-1.1553050130863702,-0.14950674451379103,-0.6766659955707671,-0.47187437084759415,0.0
2018-10-15,1.0,-0.5711756658887905,-1.1605777742013357,-0.14444355033395026,-0.6767119980687213,-0.4706284702663555,0.0
2018-10-16,1.0,-0.5688343064223879,-1.172337427018321,-0.13613851419367828,-0.6779544996980068,-0.47131065029192676,0.0
2018-10-17,1.0,-0.5494757665677548,-1.1265281899109794,-0.11647873392680516,-0.6777052423343225,-0.4862908011869437,0.0
2018-10-18,1.0,-0.5506810262907824,-1.129117833386126,-0.11529933481152993,-0.6773835920177383,-0.4869733924611973,0.0
2018-10-19,1.0,-0.5393977464567548,-1.1192336382552708,-0.1032939421302658,-0.6805779121353697,-0.48349102901338775,0.0
