Date,IWF,IWM,MTUM,PAYC,SPY,VLUE,VXX
2018-09-24,-0.8371427208092762,-1.1728300806413132,-0.5030300138378585,1.0,-0.7166579185952188,-0.5420146013265257,0.0
2018-09-25,-0.8398053620837707,-1.1703558820723212,-0.507394332601851,1.0,-0.7145310561969278,-0.538450529529625,0.0
2018-09-26,-0.8437559762860967,-1.1762287244214953,-0.5131478294128896,1.0,-0.7156244023713904,-0.5323197552113215,0.0
2018-09-27,-0.8429605483917358,-1.185609510569963,-0.511528689899813,1.0,-0.7183260629883516,-0.535209242126456,0.0
2018-09-28,-0.840548444316602,-1.187497003691452,-0.512057145596625,1.0,-0.7183469965003116,-0.5356440864854499,0.0
2018-10-01,-0.8409799127474951,-1.1866340668296658,-0.512057145596625,1.0,-0.7186825830576729,-0.5357399683589817,0.0
2018-10-02,-0.8416461857259891,-1.2199412076526432,-0.5037829502192666,1.0,-0.7186159703146836,-0.5350585513951135,0.0
2018-10-03,-0.8428902403706922,-1.2273868133989767,-0.5050197895549764,1.0,-0.718216044019693,-0.5332078385944589,0.0
2018-10-04,-0.8457308248914616,-1.2208393632416787,-0.5055957549445248,1.0,-0.7221418234442836,-0.5296189097925711,0.0
2018-10-05,-0.8479613992762365,-1.2271652593486129,-0.5024366706875755,1.0,-0.7216405307599518,-0.5258383594692401,0.0
2018-10-08,-0.8459908499879605,-1.2235010835540574,-0.498916445942692,1.0,-0.7234288466169034,-0.5240067421141343,0.0
2018-10-09,-0.853036378569013,-1.2277887820667663,-0.5097347697956424,1.0,-0.7217256872312672,-0.5188656456833663,0.0
2018-10-10,-0.8539070800734087,-1.226745870762098,-0.510769825171448,1.0,-0.7217714672075727,-0.5163237708876655,0.0
2018-10-11,-0.8039455143259746,-1.2292625645843118,-0.43884452794739315,1.0,-0.7011742602160639,-0.5237670267731329,0.0
2018-10-12,-0.8166001670223624,-1.222882063654078,-0.43741300918622994,1.0,-0.6735640716340354,-0.4891435464414957,0.0
2018-10-15,-0.8119064164929349,-1.233171183692379,-0.4285846652768126,1.0,-0.6719481121148947,-0.48723650683344916,0.0
2018-10-16,-0.8111450806003335,-1.2353159162497682,-0.4267648693718733,1.0,-0.6718547341115435,-0.48712247544932374,0.0
2018-10-17,-0.7946542601715016,-1.1961320926838168,-0.41219667943805877,1.0,-0.6659368728334245,-0.49233716475095785,0.0
2018-10-18,-0.7936145952109463,-1.1943443557582667,-0.4131812998859749,1.0,-0.6675484606613454,-0.4923147092360319,0.0
2018-10-19,-0.7839869577031067,-1.1847658726564625,-0.4022733448057242,1.0,-0.6694140023548593,-0.4881804184403587,0.0
2018-10-22,-0.783439778955474,-1.185170086515378,-0.40404040404040403,1.0,-0.6687955791094805,-0.48815509353625947,0.0
2018-10-23,-0.788399619064895,-1.1858872613486917,-0.4132238900730126,1.0,-0.6623282390821278,-0.48510271643009384,0.0
2018-10-24,-0.7894689142649992,-1.1853362334602138,-0.4095976073953236,1.0,-0.6624071053108574,-0.48463839042958134,0.0
2018-10-25,-0.7603207472353174,-1.1381680398290523,-0.40622108648720096,1.0,-0.6566947173635281,-0.4445080847689121,0.0
2018-10-26,-0.7463012263780388,-1.1256491947802556,-0.3874656308645747,1.0,-0.6670012656570505,-0.43796098284816476,0.0
