Date,IWF,IWM,MTUM,PGC,SPY,VLUE,VXX
2018-09-24,-0.20490718048395729,-0.7429505056480463,-0.02991633567142736,1.0,-0.42071607650919746,-0.41851883151638075,0.0
2018-09-25,-0.20476217666876037,-0.7600068520527608,-0.019728201907154685,1.0,-0.43536230228972755,-0.4351624507508708,0.0
2018-09-26,-0.2042927777301438,-0.7600674497699278,-0.01731972905770385,1.0,-0.43690874274772074,-0.439423818914516,0.0
2018-09-27,-0.20467986628953458,-0.7586068969458015,-0.017770920830833405,1.0,-0.4367303791320248,-0.4392445930116282,0.0
2018-09-28,-0.2054066411384809,-0.7580442361547695,-0.018003086243356007,1.0,-0.436846316511402,-0.4393324569926273,0.0
2018-10-01,-0.20532754087115582,-0.7583171373042186,-0.018263404595861437,1.0,-0.43674974276894934,-0.43943637818680686,0.0
2018-10-02,-0.20535561023058876,-0.7646907363964067,-0.016707672941580362,1.0,-0.4358299479315672,-0.4383189334553985,0.0
2018-10-03,-0.20548180361638818,-0.7645342183566034,-0.016937514305333027,1.0,-0.43579766536964987,-0.4383154039826047,0.0
2018-10-04,-0.20469981372689497,-0.7683049147442328,-0.017051153460381146,1.0,-0.43464679753546354,-0.4410373979080098,0.0
2018-10-05,-0.19044075558099602,-0.7644819690898684,-0.002432741843159702,1.0,-0.4478820835718374,-0.4568116771608472,0.0
2018-10-08,-0.19036441187415912,-0.7652076832794207,-0.0021755932785618185,1.0,-0.4479145793375891,-0.4570177196347293,0.0
2018-10-09,-0.1906329621253328,-0.7654805187369386,-0.0028914145028771008,1.0,-0.4474821791531877,-0.45629956199364463,0.0
2018-10-10,-0.19326093808200337,-0.7645339675080944,-0.00535801266439357,1.0,-0.4495859717486605,-0.4524798716369159,0.0
2018-10-11,-0.13624434641800212,-0.7622145290077614,-0.0,1.0,-0.4316265564799821,-0.46183483164889166,0.0
2018-10-12,-0.13313584895213312,-0.7609700728108303,-0.0,1.0,-0.42227513081033197,-0.4520915810747211,0.0
2018-10-15,-0.11433385818071325,-0.7778514405679401,-0.0,1.0,-0.4181099969614099,-0.4520317118311649,0.0
2018-10-16,-0.10617236024844719,-0.7965283939662822,-0.0,1.0,-0.41825643300798576,-0.4518910825199645,0.0
2018-10-17,-0.08604389882991259,-0.7642561587153701,-0.0,1.0,-0.42095744389334944,-0.46899405365412544,0.0
2018-10-18,-0.08556867687755158,-0.7635696084609693,-0.0,1.0,-0.42173329314738195,-0.46907965038222316,0.0
2018-10-19,-0.07110603340405854,-0.7565420814971981,-0.0,1.0,-0.42326315216799953,-0.4692889396659594,0.0
2018-10-22,-0.07185807961254863,-0.7568361766386418,-0.0,1.0,-0.42309471335673277,-0.4691045628928251,0.0
2018-10-23,-0.066610109192414,-0.7615555129854137,-0.0,1.0,-0.43258257847349546,-0.47590377931638433,0.0
2018-10-24,-0.0645831624422388,-0.7583463210565171,-0.0,1.0,-0.43324310283542505,-0.4780849260383343,0.0
2018-10-25,-0.0546822154279066,-0.7495062095835926,-0.0,1.0,-0.43126166833518226,-0.4702508184745259,0.0
2018-10-26,-0.05806731577662662,-0.7506441376691709,-0.0,1.0,-0.4316671638957446,-0.4717799896937973,0.0
2018-10-29,-0.0532860161456358,-0.7530476242076176,-0.0,1.0,-0.4307037980170125,-0.4719347672969605,0.0
2018-10-30,-0.048016249153689905,-0.7530670277589708,-0.0,1.0,-0.43087339201083275,-0.47623561272850373,0.0
2018-10-31,-0.05288526267603738,-0.7358968144976707,-0.0,1.0,-0.4307563885074185,-0.47319384979939144,0.0
2018-11-01,-0.030332443581654937,-0.7567472835611636,-0.0,1.0,-0.4329046347973793,-0.47623284531801885,0.0
2018-11-02,-0.03412749517063748,-0.7380070830650354,-0.0,1.0,-0.43810367031551833,-0.47274093153037133,0.0
2018-11-05,-0.02800118352744977,-0.7593673507813972,-0.0,1.0,-0.44255857115958797,-0.4598811092880007,0.0
2018-11-06,-0.03671257985390442,-0.7679721825386129,-0.0,1.0,-0.438583250222378,-0.45222243187147904,0.0
2018-11-07,-0.037037037037037035,-0.7683094602249738,-0.0,1.0,-0.43948099592673523,-0.4526988751315044,0.0
2018-11-08,-0.021188824301518847,-0.769039136374595,-0.0,1.0,-0.43331279633548525,-0.455198092737939,0.0
2018-11-09,-0.01983200493787403,-0.7705767114832407,-0.0,1.0,-0.43702868797466654,-0.4561897861149129,0.0
2018-11-12,-0.019171635605230088,-0.7589240354020161,-0.0,1.0,-0.44172304072301405,-0.4540495735180085,0.0
2018-11-13,-0.0,-0.7592902488910138,-0.0,1.0,-0.44476319494249206,-0.452200706563604,0.0
2018-11-14,-0.0,-0.7616977004748439,-0.0,1.0,-0.4507015952622312,-0.45526329829803125,0.0
2018-11-15,-0.0,-0.7667984189723319,-0.0,1.0,-0.45328170794009304,-0.46874243768653706,0.0
2018-11-16,-0.0,-0.7651690224109206,-0.0,1.0,-0.4528672005159349,-0.4691245230289676,0.0
2018-11-19,-0.003177424132267012,-0.766001561784743,-0.0,1.0,-0.45299835743328754,-0.4705549721302205,0.0
2018-11-20,-0.0,-0.7539780337530136,-0.0,1.0,-0.4446557728368604,-0.48015001339405305,0.0
2018-11-21,-0.0,-0.7517945445844633,-0.0,1.0,-0.4435582495879194,-0.4632317754027756,0.0
2018-11-23,-0.0,-0.7481204006269759,-0.0,1.0,-0.44502005791557075,-0.4635636672777025,0.0
2018-11-26,-0.0,-0.7542526047203911,-0.0,1.0,-0.44264299383372313,-0.46100893046991276,0.0
2018-11-27,-0.0,-0.7547444482676479,-0.0,1.0,-0.43638336730102434,-0.45573171700060877,0.0
2018-11-28,-0.0,-0.7595540136126486,-0.0,1.0,-0.43425408511877966,-0.4545936068222146,0.0
2018-11-29,-0.0,-0.7475187733025259,-0.0,1.0,-0.4252218663025784,-0.452896077298745,0.0
2018-11-30,-0.0,-0.7507367645510999,-0.0,1.0,-0.4304810019997895,-0.45008420166298285,0.0
2018-12-03,-0.0,-0.7510069764380677,-0.0,1.0,-0.43103856785573247,-0.4505989206265631,0.0
2018-12-04,-0.0,-0.7605719260294932,-0.0,1.0,-0.4268340939668135,-0.4506555517450603,0.0
2018-12-06,-0.0,-0.7416813975252158,-0.0,1.0,-0.4202194031402724,-0.43766247270458564,0.0
2018-12-07,-0.0,-0.7418885191347754,-0.0,1.0,-0.4198211314475874,-0.4381239600665558,0.0
2018-12-10,-0.0,-0.7414496796858855,-0.0,1.0,-0.41341186195494933,-0.4282909692085141,0.0
2018-12-11,-0.0,-0.7414487961144983,-0.0,1.0,-0.4127570528056216,-0.429239433708794,0.0
2018-12-12,-0.0,-0.7430102516309413,-0.0,1.0,-0.41262814538676607,-0.43315729522626073,0.0
2018-12-13,-0.0,-0.746128505097144,-0.0,1.0,-0.41231096469611683,-0.4355269642810822,0.0
2018-12-14,-0.0,-0.7433417183164337,-0.0,1.0,-0.4142008765332849,-0.435751147532481,0.0
2018-12-17,-0.0,-0.7414207763324627,-0.0,1.0,-0.3960795469238925,-0.4485505185031938,0.0
2018-12-18,-0.0,-0.7380234505862646,-0.0,1.0,-0.3917794098698621,-0.4472104110295065,0.0
2018-12-19,-0.0,-0.7380099476844575,-0.0,1.0,-0.3919026879364998,-0.4472334613303095,0.0
2018-12-20,-0.0,-0.7401564638145155,-0.0,1.0,-0.39273450207843846,-0.448994345614624,0.0
2018-12-21,-0.0,-0.7444524532770427,-0.0,1.0,-0.3979560315090357,-0.4318333933995778,0.0
2018-12-24,-0.0,-0.7246313741552324,-0.0,1.0,-0.38818349375383987,-0.4470868318656564,0.0
2018-12-26,-0.0,-0.7361947599806866,-0.0,1.0,-0.3683006785088053,-0.43673604228609186,0.0
2018-12-27,-0.0,-0.7092911286141084,-0.0,1.0,-0.32135009012123156,-0.4384336189229896,0.0
2018-12-28,-0.0,-0.7117230488316431,-0.0,1.0,-0.31968810916179335,-0.4360796506033015,0.0
2018-12-31,-0.0,-0.7155419424958008,-0.0,1.0,-0.31926193063926495,-0.43530777591147124,0.0
2019-01-02,-0.0,-0.7149415074781579,-0.0,1.0,-0.3174638432301693,-0.43560886519571546,0.0
2019-01-03,-0.0,-0.7165792598456362,-0.0,1.0,-0.3123392044330101,-0.44485948941223036,0.0
