Date,ARVN,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-05-28,1.0,-0.0,-0.9789139225880994,-0.7331985364914307,-3.8477758521086076,-3.0686501059118045,0.0
2019-05-29,1.0,-0.0,-0.9827536648462201,-0.7291367251125802,-3.8383635144198527,-3.03113921624988,0.0
2019-05-30,1.0,-0.0,-0.9697409126063418,-0.7351121423047177,-3.8757733952049493,-3.086813611755607,0.0
2019-05-31,1.0,-0.0,-0.9853753026634383,-0.7173849878934625,-3.876416464891041,-3.106053268765133,0.0
2019-06-03,1.0,-0.0,-0.9817868098159509,-0.7555598159509203,-3.8440375766871164,-3.0045053680981595,0.0
2019-06-04,1.0,-0.0,-0.972149946998169,-0.8018695191288426,-3.9070058783848896,-2.9557675628794446,0.0
2019-06-05,1.0,-0.0,-0.9276340457442821,-0.8140232470941132,-3.850393700787402,-2.7818710161229845,0.0
2019-06-06,1.0,-0.0,-0.9706270005648654,-0.7420448126529844,-3.8434381472415744,-2.858312935417059,0.0
2019-06-07,1.0,-0.0,-1.0279614585301342,-0.7258643491403741,-3.8368600037785754,-2.8556584167768753,0.0
2019-06-10,1.0,-0.0,-1.0487340567294878,-0.6935084713497048,-3.8598895869027223,-2.916333523700742,0.0
2019-06-11,1.0,-0.0,-1.0457180876342553,-0.7015492823876057,-3.856002281151982,-2.901530272787758,0.0
2019-06-12,1.0,-0.0,-1.0654681791963083,-0.7270717169775044,-3.9070371082484137,-2.9140549894251104,0.0
2019-06-13,1.0,-0.0,-1.092897232436617,-0.7556609251016064,-3.9338107218889102,-2.894426166053803,0.0
2019-06-14,1.0,-0.0,-1.0610501795593517,-0.7920993885276134,-3.971367562845773,-2.8813937688052027,0.0
2019-06-17,1.0,-0.0,-1.0211406096361848,-0.8086529006882989,-4.083087512291052,-2.919960668633235,0.0
2019-06-18,1.0,-0.0,-1.0543746910528917,-0.7980227385071675,-4.112605042016807,-2.921304992585269,0.0
2019-06-19,1.0,-0.0,-1.0524603096341585,-0.8331525490582782,-4.110442757124543,-2.8649048417315846,0.0
2019-06-20,1.0,-0.0,-1.0515524889107934,-0.8284869393790044,-4.111779201577132,-2.865253819615574,0.0
2019-06-21,1.0,-0.0,-1.072836585846639,-0.8160851567120048,-4.08929627439385,-2.877882909520994,0.0
2019-06-24,1.0,-0.0,-1.0676980685849429,-0.8124753646038628,-4.093811588490342,-2.880271974773354,0.0
2019-06-25,1.0,-0.0,-1.048768472906404,-0.8218719211822659,-4.09911330049261,-2.8825615763546795,0.0
2019-06-26,1.0,-0.0,-1.0573065902578798,-0.7940914929354806,-4.078845963837566,-2.9503013536211835,0.0
2019-06-27,1.0,-0.0,-1.0486379395740466,-0.7801882119861318,-4.0896483407627535,-2.9874195146111937,0.0
2019-06-28,1.0,-0.0,-0.9952508162659544,-0.7968734540417532,-4.114870881567231,-2.9872365687147524,0.0
2019-07-01,1.0,-0.0,-0.9467676767676767,-0.858080808080808,-4.2856565656565655,-3.0104040404040404,0.0
