Date,IWF,IWM,MTUM,ROCK,SPY,VLUE,VXX
2018-09-24,-0.4149809564113415,-1.1989843419382142,-0.014938637325433771,1.0,-0.7818874312314854,-0.8211595429538722,0.0
2018-09-25,-0.41533384107641536,-1.1983159854446983,-0.015697723618515697,1.0,-0.7813742912752814,-0.8204281966658205,0.0
2018-09-26,-0.4151398468243558,-1.1982820632166884,-0.015148309567130706,1.0,-0.7816189226928447,-0.8211822451656581,0.0
2018-09-27,-0.41821333446074493,-1.1897010949985203,-0.017629898955735003,1.0,-0.7815499091024395,-0.8207415549824547,0.0
2018-09-28,-0.41643766118462777,-1.1910117109880354,-0.018433179723502304,1.0,-0.7812962414915655,-0.8206992770473089,0.0
2018-10-01,-0.41776969594451724,-1.1897492282319109,-0.01843785681058908,1.0,-0.7821288112656997,-0.8207383600456717,0.0
2018-10-02,-0.4179325519400837,-1.1947700249650912,-0.017771759827360047,1.0,-0.7811957855540981,-0.8196589514661701,0.0
2018-10-03,-0.41779112558690407,-1.1921661520240259,-0.017892644135188866,1.0,-0.7815236242121738,-0.8205659659066875,0.0
2018-10-04,-0.4186715149465139,-1.1896325736755318,-0.01868842755063211,1.0,-0.7821233774470424,-0.8190774174453511,0.0
2018-10-05,-0.40597102913929595,-1.1859946100724272,-0.004337207343776318,1.0,-0.7877716018191006,-0.8268485767222503,0.0
2018-10-08,-0.40780141843971635,-1.1906028368794326,-0.0051080715974332995,1.0,-0.7887537993920972,-0.8292384329618372,0.0
2018-10-09,-0.4084614085458538,-1.191141699037325,-0.006333389630130046,1.0,-0.7881692281709171,-0.8281118054382706,0.0
2018-10-10,-0.40806130657521483,-1.1971294296964308,-0.0030907320377662048,1.0,-0.7905499809475421,-0.835048054532368,0.0
2018-10-11,-0.30944142362827487,-1.1940187839841818,-0.0,1.0,-0.7614104465315538,-0.8543829296424452,0.0
2018-10-12,-0.30821138211382115,-1.1869105691056911,-0.0,1.0,-0.7386991869918699,-0.8312195121951219,0.0
2018-10-15,-0.27002641739483846,-1.226905100589311,-0.0,1.0,-0.7328185328185328,-0.8344645397276976,0.0
