Date,CNST,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-03-18,1.0,-0.0,-2.544413494274219,-0.0,-5.7288765088207985,-6.201949860724235,0.0
2019-03-19,1.0,-0.0,-2.5305491105955142,-0.0,-5.7407579273008515,-6.196597061098221,0.0
2019-03-20,1.0,-0.0,-2.5276309466602593,-0.0,-6.011532916866892,-6.478616049975973,0.0
2019-03-21,1.0,-0.0,-2.5211695158971077,-0.0,-6.07157692922192,-6.384246684773925,0.0
2019-03-22,1.0,-0.0,-2.4933417882054534,-0.0,-6.071655041217502,-6.287888395688015,0.0
2019-03-25,1.0,-0.0,-2.071683475562452,-0.0,-6.179053529868115,-6.265011636927851,0.0
2019-03-26,1.0,-0.0,-2.1207058088694564,-0.0,-6.227826358525921,-6.266708307307932,0.0
2019-03-27,1.0,-0.0,-2.0889995332192313,-0.0,-6.22934495098802,-6.241014470203829,0.0
2019-03-28,1.0,-0.0,-2.1107807854795806,-0.0,-6.260053199812236,-6.276169613519012,0.0
2019-03-29,1.0,-0.0,-2.104486978349545,-0.0,-6.286633197364292,-6.297458424850956,0.0
2019-04-01,1.0,-0.0,-2.135274776890559,-0.0,-6.27775168310631,-6.243619852826054,0.0
2019-04-02,1.0,-0.0,-2.179044060407909,-0.0,-6.3011054024599105,-6.08889926825471,0.0
2019-04-03,1.0,-0.0,-2.178504672897197,-0.0,-6.303271028037384,-6.094548286604362,0.0
2019-04-04,1.0,-0.0,-2.1729299859660065,-0.0,-6.344144706065803,-6.07625136441603,0.0
2019-04-05,1.0,-0.0,-2.1700733343735377,-0.0,-6.370104540489937,-6.062880324543611,0.0
2019-04-08,1.0,-0.0,-2.140632300264756,-0.0,-6.374396511446815,-6.058869334994549,0.0
2019-04-09,1.0,-0.0,-2.146463072608289,-0.0,-6.375818011841695,-6.059052664381427,0.0
2019-04-10,1.0,-0.0,-2.1029776674937968,-0.0,-6.39423076923077,-6.011321339950372,0.0
2019-04-11,1.0,-0.0,-2.037255510710959,-0.0,-6.457156162682397,-6.028717789506364,0.0
2019-04-12,1.0,-0.0,-2.0432550178932627,-0.0,-6.477672319900421,-6.0384316166173955,0.0
2019-04-15,1.0,-0.0,-2.052885363198009,-0.0,-6.452792036086483,-6.04884118836522,0.0
2019-04-16,1.0,-0.0,-2.051541575833074,-0.0,-6.4680784802242295,-6.0518530052943005,0.0
2019-04-17,1.0,-0.0,-2.054449284380834,-0.0,-6.478064716863721,-6.024579962663347,0.0
2019-04-18,1.0,-0.0,-2.0602991586163912,-0.0,-6.4933000934870675,-6.027578684948582,0.0
2019-04-22,1.0,-0.0,-2.0690246182611403,-0.0,-6.488781551885322,-6.023371766905577,0.0
2019-04-23,1.0,-0.0,-2.066875,-0.0,-6.53,-6.02828125,0.0
2019-04-24,1.0,-0.0,-1.99002959962611,-0.0,-6.525159682193489,-6.063561302383549,0.0
2019-04-25,1.0,-0.0,-2.00420298879203,-0.0,-6.516967621419676,-6.045454545454545,0.0
2019-04-26,1.0,-0.0,-1.9872552067143303,-0.0,-6.550823748834318,-6.004351880634132,0.0
2019-04-29,1.0,-0.0,-1.9526921879863057,-0.0,-6.559290382819794,-6.049642079053844,0.0
2019-04-30,1.0,-0.0,-1.9553221508073364,-0.0,-6.61545696817683,-6.1056591942310705,0.0
2019-05-01,1.0,-0.0,-1.955792443956733,-0.0,-6.614516381878037,-6.105972722997335,0.0
2019-05-02,1.0,-0.0,-1.9286717652567504,-0.0,-6.578117683783362,-6.101139378804433,0.0
2019-05-03,1.0,-0.0,-1.9452076178582576,-0.0,-6.569622229160162,-6.09553543552919,0.0
2019-05-06,1.0,-0.0,-1.83271375464684,-0.0,-6.5679987608426265,-6.088754646840148,0.0
2019-05-07,1.0,-0.0,-1.842382057231245,-0.0,-6.551740139211137,-6.073936581593194,0.0
2019-05-08,1.0,-0.0,-1.8689402049243002,-0.0,-6.411683743691696,-6.012387215170515,0.0
2019-05-09,1.0,-0.0,-1.8661369193154036,-0.0,-6.410146699266504,-6.004889975550122,0.0
