Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WRE
2018-09-24,-0.24615077483592446,-0.5656676565268386,-0.0,-0.3989968307838196,-0.2846305492476231,0.0,1.0
2018-09-25,-0.24467048209331968,-0.5674405818109115,-0.0,-0.4003448879114288,-0.28673181216104765,0.0,1.0
2018-09-26,-0.24458939371220073,-0.5674014095066726,-0.0,-0.4003598740440846,-0.28679962013295346,0.0,1.0
2018-09-27,-0.2429493457896984,-0.5769105201034682,-0.0,-0.40244606845978054,-0.28903287375373565,0.0,1.0
2018-09-28,-0.24247218664456666,-0.5773374519701651,-0.0,-0.40239584118134564,-0.2891835555890404,0.0,1.0
2018-10-01,-0.24274693309725562,-0.5868470975085368,-0.0,-0.40571645377513593,-0.294093840900468,0.0,1.0
2018-10-02,-0.24181698419132547,-0.5951053911633563,-0.0,-0.40405857316578836,-0.2924858127280097,0.0,1.0
2018-10-03,-0.2412098490221907,-0.5879521734724896,-0.0,-0.4067281386158679,-0.29729455871922184,0.0,1.0
2018-10-04,-0.24817054578717349,-0.5820205305417218,-0.0,-0.41658196971236916,-0.2941355828844395,0.0,1.0
2018-10-05,-0.24302687913257162,-0.5805487295113115,-0.0,-0.4167405568363185,-0.29308641349783393,0.0,1.0
2018-10-08,-0.24456411298516564,-0.5838244259296891,-0.0,-0.41719162771794355,-0.2945539524486893,0.0,1.0
2018-10-09,-0.23812558957754376,-0.5860337047140708,-0.0,-0.42268566912270855,-0.3026795502638758,0.0,1.0
2018-10-10,-0.23831370749859815,-0.5857674466024366,-0.0,-0.42282204210633634,-0.3019065096599888,0.0,1.0
2018-10-11,-0.20175504014716483,-0.5777462898053546,-0.0,-0.4077360976458597,-0.2986551321251895,0.0,1.0
2018-10-12,-0.19871271196930312,-0.5781161034781532,-0.0,-0.4053471964352024,-0.29337789330362674,0.0,1.0
2018-10-15,-0.17202516595660358,-0.6071782423461805,-0.0,-0.40211037352620627,-0.2956504508074903,0.0,1.0
2018-10-16,-0.16763750836576355,-0.6151005131001661,-0.0,-0.40123441489229855,-0.2947723272934586,0.0,1.0
2018-10-17,-0.15890370660913905,-0.5986713080996274,-0.0,-0.3977985879584232,-0.296111982741714,0.0,1.0
2018-10-18,-0.15911821681665483,-0.5995439052499939,-0.0,-0.3973173781908242,-0.2961428116034428,0.0,1.0
2018-10-19,-0.14865753024512549,-0.5929991967089409,-0.0,-0.3985540760935712,-0.2940288697938219,0.0,1.0
2018-10-22,-0.14853052180476758,-0.585624193430568,-0.0,-0.4027368574837468,-0.2980350142443205,0.0,1.0
2018-10-23,-0.1460904346129457,-0.5867274767084533,-0.0,-0.40590702892541825,-0.30015608994683185,0.0,1.0
2018-10-24,-0.14666896195558615,-0.5854462287583306,-0.0,-0.4150456188672749,-0.31207731844674524,0.0,1.0
2018-10-25,-0.116477478128841,-0.5567445111223579,-0.0,-0.4420504663437206,-0.294772612247849,0.0,1.0
2018-10-26,-0.10500167200114652,-0.548153633019634,-0.0,-0.4460660201595567,-0.28935174126976543,0.0,1.0
2018-10-29,-0.11486584481508338,-0.5515349286922892,-0.0,-0.46006768189509306,-0.290766255740875,0.0,1.0
2018-10-30,-0.09953742946404785,-0.5539463805671938,-0.0,-0.4628369378314887,-0.3055387372550919,0.0,1.0
2018-10-31,-0.10430762562904818,-0.5377188124533481,-0.0,-0.46300353952469236,-0.30280994919457754,0.0,1.0
2018-11-01,-0.08028315334251408,-0.5616438356164384,-0.0,-0.4666473387934575,-0.30743398323307,0.0,1.0
2018-11-02,-0.08558926768283888,-0.5386834639611483,-0.0,-0.4754531903639948,-0.3044910323604367,0.0,1.0
2018-11-05,-0.08351558557042948,-0.5442812852988536,-0.0,-0.47581052176211874,-0.2997188108341945,0.0,1.0
2018-11-06,-0.07746853823814133,-0.5431994191674734,-0.0,-0.4864714424007744,-0.31302032913843175,0.0,1.0
2018-11-07,-0.07713145483129763,-0.5430886443342605,-0.0,-0.48571774096021286,-0.3127101221429435,0.0,1.0
2018-11-08,-0.06506544974180377,-0.5424282454665547,-0.0,-0.48086946079020054,-0.31346223129578477,0.0,1.0
