Date,IWF,IWM,MTUM,PTON,SPY,VLUE,VXX
2020-05-26,-1.0773754663155586,-0.0,-1.1361421988150098,1.0,-1.1753346499890278,-0.0,0.0
2020-05-27,-1.1045853571587718,-0.0,-1.1920146161044518,1.0,-1.1595294327347265,-0.0,0.0
2020-05-28,-1.1110318380451263,-0.0,-1.1982074377954162,1.0,-1.149870685811112,-0.0,0.0
2020-05-29,-1.1145461043602574,-0.0,-1.202957469621158,1.0,-1.1499731951393855,-0.0,0.0
2020-06-01,-1.1184675220170772,-0.0,-1.1925432518217176,1.0,-1.1594617551075148,-0.0,0.0
2020-06-02,-1.1354194888467444,-0.0,-1.2052289352479002,1.0,-1.1748848550528312,-0.0,0.0
2020-06-03,-1.1454917101975925,-0.0,-1.20467862820804,1.0,-1.1921871451283217,-0.0,0.0
2020-06-04,-1.145495905368517,-0.0,-1.22238398544131,1.0,-1.1817561419472247,-0.0,0.0
2020-06-05,-1.1411486517211586,-0.0,-1.2185894229457506,1.0,-1.187576735937429,-0.0,0.0
2020-06-08,-1.138844485042247,-0.0,-1.2595113039506738,1.0,-1.1688970084494177,-0.0,0.0
2020-06-09,-1.1455177778794674,-0.0,-1.2647233789411065,1.0,-1.165743833798563,-0.0,0.0
2020-06-10,-1.1591013718810423,-0.0,-1.2850105883436147,1.0,-1.1594696620937297,-0.0,0.0
2020-06-11,-1.1597622229390352,-0.0,-1.2741348324961983,1.0,-1.1741394405787753,-0.0,0.0
2020-06-12,-1.1143371595768625,-0.0,-1.2820166554130092,1.0,-1.105109160477155,-0.0,0.0
2020-06-15,-1.1133960311389102,-0.0,-1.2830850920217791,1.0,-1.1033613823516177,-0.0,0.0
2020-06-16,-1.1151782896812874,-0.0,-1.2875625478970383,1.0,-1.10526078528603,-0.0,0.0
2020-06-17,-1.1104509856872806,-0.0,-1.2878296876406519,1.0,-1.1025294806013144,-0.0,0.0
2020-06-18,-1.1110610700774637,-0.0,-1.2866150243199423,1.0,-1.1059718969555037,-0.0,0.0
2020-06-19,-1.1148413880240062,-0.0,-1.2883895131086143,1.0,-1.109200848337169,-0.0,0.0
2020-06-22,-1.115624153804495,-0.0,-1.2868038631645455,1.0,-1.1106146764148388,-0.0,0.0
2020-06-23,-1.117373436300411,-0.0,-1.287675563383462,1.0,-1.111005735446868,-0.0,0.0
2020-06-24,-1.1204285520546087,-0.0,-1.2871027530400976,1.0,-1.1130599882464627,-0.0,0.0
2020-06-25,-1.1103196429376494,-0.0,-1.2978675442946668,1.0,-1.100175826157522,-0.0,0.0
2020-06-26,-1.1106150793650793,-0.0,-1.2982052669552668,1.0,-1.1005140692640691,-0.0,0.0
2020-06-29,-1.100791224599892,-0.0,-1.3035425283222442,1.0,-1.0913055205898219,-0.0,0.0
2020-06-30,-1.1054337550083284,-0.0,-1.3133300319632648,1.0,-1.0831044883626706,-0.0,0.0
2020-07-01,-1.1016225448334758,-0.0,-1.304103555215965,1.0,-1.088902872039193,-0.0,0.0
2020-07-02,-1.1016179775280899,-0.0,-1.3038202247191013,1.0,-1.088943820224719,-0.0,0.0
2020-07-06,-1.1064308536969534,-0.0,-1.3025516403402186,1.0,-1.0912650195760767,-0.0,0.0
2020-07-07,-1.099425442140228,-0.0,-1.295987072448155,1.0,-1.0933207648801508,-0.0,0.0
2020-07-08,-1.0979450825556354,-0.0,-1.2994885139985644,1.0,-1.0893305814788228,-0.0,0.0
2020-07-09,-1.0957761635727736,-0.0,-1.2983588915792306,1.0,-1.0897677338355305,-0.0,0.0
2020-07-10,-1.0991338688686443,-0.0,-1.30359466858143,1.0,-1.084997531750662,-0.0,0.0
2020-07-13,-1.098063063063063,-0.0,-1.3083783783783784,1.0,-1.0980180180180181,-0.0,0.0
2020-07-14,-1.1176016352486942,-0.0,-1.3269134680899386,1.0,-1.097796956620486,-0.0,0.0
2020-07-15,-1.1177458142383956,-0.0,-1.3247425019283996,1.0,-1.0949226371432461,-0.0,0.0
2020-07-16,-1.1185971598384827,-0.0,-1.326437094505694,1.0,-1.0919649743659543,-0.0,0.0
2020-07-17,-1.1211405739193607,-0.0,-1.3270977115873592,1.0,-1.0922629858336361,-0.0,0.0
2020-07-20,-1.130553781589271,-0.0,-1.3285740352157651,1.0,-1.1024997719186205,-0.0,0.0
2020-07-21,-1.148141349242772,-0.0,-1.3422670949977054,1.0,-1.0988526847177604,-0.0,0.0
2020-07-22,-1.1500849364124697,-0.0,-1.3439236031403516,1.0,-1.0971488912354803,-0.0,0.0
2020-07-23,-1.1500780460931044,-0.0,-1.3437700853916077,1.0,-1.0971444311817096,-0.0,0.0
2020-07-24,-1.139102564102564,-0.0,-1.3383241758241757,1.0,-1.1013278388278387,-0.0,0.0
2020-07-27,-1.1396604585182812,-0.0,-1.335056971582849,1.0,-1.1013590811330252,-0.0,0.0
2020-07-28,-1.1369330651060716,-0.0,-1.3317940746159473,1.0,-1.1033284564740307,-0.0,0.0
2020-07-29,-1.1339122486288848,-0.0,-1.3303016453382084,1.0,-1.1061700182815357,-0.0,0.0
2020-07-30,-1.1331658291457285,-0.0,-1.3298309730470534,1.0,-1.1052992233896757,-0.0,0.0
2020-07-31,-1.1316475376103161,-0.0,-1.3311536878686725,1.0,-1.1098815675156615,-0.0,0.0
2020-08-03,-1.13535898961241,-0.0,-1.3300690980643388,1.0,-1.1106484235574063,-0.0,0.0
2020-08-04,-1.1406945272718931,-0.0,-1.33464837836598,1.0,-1.1120234873159318,-0.0,0.0
2020-08-05,-1.1472482974415608,-0.0,-1.3375667218847782,1.0,-1.1167402908153874,-0.0,0.0
2020-08-06,-1.1472482974415608,-0.0,-1.3374746916988771,1.0,-1.1167863059083378,-0.0,0.0
2020-08-07,-1.1447792830153902,-0.0,-1.3442539858077596,1.0,-1.1188369735508248,-0.0,0.0
2020-08-10,-1.1448714404202378,-0.0,-1.3441157497004885,1.0,-1.1188830522532487,-0.0,0.0
2020-08-11,-1.1457277168402618,-0.0,-1.345054843764402,1.0,-1.1179371370633238,-0.0,0.0
2020-08-12,-1.142857142857143,-0.0,-1.3396539027982328,1.0,-1.1197993372606774,-0.0,0.0
2020-08-13,-1.1429097436369495,-0.0,-1.3190960555990243,1.0,-1.1405624338380818,-0.0,0.0
