Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WIA
2018-09-24,-0.1122140404230237,-0.2321846542857631,-0.0,-0.19943277921101638,-0.16464779347696093,0.0,1.0
2018-09-25,-0.11384405158425143,-0.23159962422068492,-0.0,-0.19902638995644376,-0.16361772995131948,0.0,1.0
2018-09-26,-0.11550692426055735,-0.23340742007180715,-0.0,-0.1994016071123269,-0.16137801333561294,0.0,1.0
2018-09-27,-0.1158382332831943,-0.23268494461917133,-0.0,-0.19938807602898947,-0.16137358129358675,0.0,1.0
2018-09-28,-0.11534713555468178,-0.2332928726514284,-0.0,-0.19945976441625496,-0.16150650505188657,0.0,1.0
2018-10-01,-0.11642593099671412,-0.23276629244249727,-0.0,-0.20040388828039432,-0.1617949069003286,0.0,1.0
2018-10-02,-0.11883715352725528,-0.2246719429883167,-0.0,-0.20406345290711617,-0.16551889539863637,0.0,1.0
2018-10-03,-0.11925582990397804,-0.2267489711934156,-0.0,-0.20384087791495198,-0.16483196159122082,0.0,1.0
2018-10-04,-0.11965225741182119,-0.22622130009087946,-0.0,-0.20427304994941614,-0.16454328777928293,0.0,1.0
2018-10-05,-0.11624375010665347,-0.22313612395692903,-0.0,-0.20342656268664355,-0.16366614904182522,0.0,1.0
2018-10-08,-0.1157997033399826,-0.22251206246909788,-0.0,-0.20336555674901538,-0.16328235554873577,0.0,1.0
2018-10-09,-0.11601861479978862,-0.22249117842592434,-0.0,-0.20319451783918313,-0.16296473075021736,0.0,1.0
2018-10-10,-0.11602821893531455,-0.2222581964419603,-0.0,-0.20313884534114918,-0.16261672687615022,0.0,1.0
2018-10-11,-0.09693123099672687,-0.21258743582501205,-0.0,-0.1924501968863708,-0.1595028826823068,0.0,1.0
2018-10-12,-0.09684525473047395,-0.20789426096105473,-0.0,-0.18657219418369528,-0.15264101004455113,0.0,1.0
2018-10-15,-0.09921404847249168,-0.2053668321878391,-0.0,-0.18724719655365185,-0.1524219803347693,0.0,1.0
2018-10-16,-0.10045571952684139,-0.2038892453482059,-0.0,-0.1878321241136502,-0.15301975881414212,0.0,1.0
2018-10-17,-0.09411229085705924,-0.19108632379961302,-0.0,-0.18576933708394988,-0.15502186956309655,0.0,1.0
