Date,IWF,IWM,MTUM,PRGO,SPY,VLUE,VXX
2018-09-24,-0.37820190858864894,-0.8065939585276602,-0.0,1.0,-0.7340173638516181,-0.6687594173782019,0.0
2018-09-25,-0.3771139276866181,-0.8079781695450793,-0.0,1.0,-0.7350543966105347,-0.6703888549782773,0.0
2018-09-26,-0.37745942840729574,-0.8083441045526354,-0.0,1.0,-0.7350280051701853,-0.6695748958782134,0.0
2018-09-27,-0.380134160777702,-0.8023818918821967,-0.0,1.0,-0.7351938874340854,-0.6694766294794992,0.0
2018-09-28,-0.3791878900925461,-0.8033574861898272,-0.0,1.0,-0.7350240332878973,-0.6694884855441567,0.0
2018-10-01,-0.3823899371069182,-0.8027672955974843,-0.0,1.0,-0.737969451931716,-0.670763701707098,0.0
2018-10-02,-0.38566601969664294,-0.7911005678959097,-0.0,1.0,-0.7422543311048809,-0.675256990870534,0.0
2018-10-03,-0.3850469306289783,-0.7794080627180207,-0.0,1.0,-0.7476175063832848,-0.684180242385011,0.0
2018-10-04,-0.38623292595255215,-0.7770309130122214,-0.0,1.0,-0.7485621854780733,-0.6827102803738317,0.0
2018-10-05,-0.36797823207189145,-0.7670330457198096,-0.0,1.0,-0.7545737710787297,-0.690666284773191,0.0
2018-10-08,-0.3642512077294687,-0.7633208087314368,-0.0,1.0,-0.7603149042762569,-0.6906065485775631,0.0
2018-10-09,-0.3577984940839011,-0.7647543922552887,-0.0,1.0,-0.7650412334169954,-0.6979562567228398,0.0
2018-10-10,-0.3564015083497935,-0.7676063925300773,-0.0,1.0,-0.7656670856527205,-0.7016340456096247,0.0
2018-10-11,-0.25845891384702874,-0.7841199886266705,-0.0,1.0,-0.7616932044355985,-0.7499289166903611,0.0
2018-10-12,-0.252636777311369,-0.7786518042964478,-0.0,1.0,-0.7547003421637447,-0.7414370877279621,0.0
2018-10-15,-0.23187335092348282,-0.794617414248021,-0.0,1.0,-0.7503957783641161,-0.7411433597185576,0.0
2018-10-16,-0.22108843537414966,-0.8257865646258503,-0.0,1.0,-0.7529407596371882,-0.7432681405895691,0.0
2018-10-17,-0.19838366948827812,-0.785139513010764,-0.0,1.0,-0.7479708781830215,-0.7519768697530219,0.0
2018-10-18,-0.19754768392370572,-0.7840424788653672,-0.0,1.0,-0.7561657234681758,-0.7555718577516942,0.0
2018-10-19,-0.18221544010543111,-0.7739127419019214,-0.0,1.0,-0.7572310466810016,-0.7547339945897206,0.0
2018-10-22,-0.18258397753665892,-0.7694387631296148,-0.0,1.0,-0.7585537490900266,-0.7559538253544563,0.0
2018-10-23,-0.1825493118868513,-0.7694387631296148,-0.0,1.0,-0.7585884147398343,-0.7559884910042638,0.0
2018-10-24,-0.18046260013177515,-0.7641918368762354,-0.0,1.0,-0.7617643999029025,-0.7613829455213788,0.0
2018-10-25,-0.14703015227402602,-0.7188813069346869,-0.0,1.0,-0.7637567649332752,-0.7318229184174259,0.0
2018-10-26,-0.1273925634965547,-0.7061349489031656,-0.0,1.0,-0.7721114476881594,-0.7231450351186711,0.0
2018-10-29,-0.11565889415901025,-0.7078841752628612,-0.0,1.0,-0.7686490430860062,-0.7247006534213407,0.0
2018-10-30,-0.10300899047871813,-0.7088212852071791,-0.0,1.0,-0.7698636499353084,-0.735825896559732,0.0
2018-10-31,-0.10492116894254237,-0.6957912791081206,-0.0,1.0,-0.7665083448776305,-0.7311827956989246,0.0
2018-11-01,-0.09598155467720686,-0.7018115942028986,-0.0,1.0,-0.7653491436100133,-0.73066534914361,0.0
2018-11-02,-0.09681557997236662,-0.6981709322981776,-0.0,1.0,-0.7652806105664847,-0.7294229883544971,0.0
2018-11-05,-0.09770947146712301,-0.6963733298229448,-0.0,1.0,-0.7654511946291054,-0.731455275455802,0.0
2018-11-06,-0.09750477319112516,-0.6958654289288301,-0.0,1.0,-0.7660148791888867,-0.732437948515373,0.0
2018-11-07,-0.09866314573361941,-0.6979699620399406,-0.0,1.0,-0.7695329262254498,-0.7347086978049183,0.0
2018-11-08,-0.07818229439497118,-0.6965361445783133,-0.0,1.0,-0.7617207962283918,-0.7374934520691462,0.0
2018-11-09,-0.15617835402008065,-0.9177010040319393,-0.0,1.0,-0.951972487943711,-0.9270298047276465,0.0
2018-11-12,-0.15790099480797434,-0.8944155998573184,-0.0,1.0,-0.9787959256470217,-0.9322262296381436,0.0
2018-11-13,-0.11214916116721,-0.9069730460364158,-0.0,1.0,-1.0087063687683868,-0.9476822771726168,0.0
2018-11-14,-0.11276731059702677,-0.9062723586930598,-0.0,1.0,-1.0085857381349868,-0.9472533587725573,0.0
2018-11-15,-0.11128788481425504,-0.9071275157107629,-0.0,1.0,-1.0096253281361867,-0.9493675920770027,0.0
2018-11-16,-0.10668676132307449,-0.8952566034742604,-0.0,1.0,-1.0079717617196795,-0.9561354802887285,0.0
2018-11-19,-0.1091853732053621,-0.8945427143650354,-0.0,1.0,-1.0066233045133657,-0.9556992147219799,0.0
2018-11-20,-0.057794586928259076,-0.884056258125517,-0.0,1.0,-1.014537288736556,-0.9832565102627743,0.0
2018-11-21,-0.056753378642293566,-0.8753222404499648,-0.0,1.0,-1.009921099914069,-0.9639481290524177,0.0
2018-11-23,-0.05773131533780622,-0.8672569823685443,-0.0,1.0,-1.0119363395225465,-0.9638789202683726,0.0
2018-11-26,-0.05670384525388036,-0.8726698385461353,-0.0,1.0,-1.0093596443335153,-0.9611184774978552,0.0
2018-11-27,-0.045332919688215,-0.8745879706829023,-0.0,1.0,-1.0032574553069376,-0.9547834180013186,0.0
2018-11-28,-0.051446820111383726,-0.8604587763367995,-0.0,1.0,-1.0177201386454804,-0.9649102309459828,0.0
2018-11-29,-0.012974013474494709,-0.8464677574590954,-0.0,1.0,-1.016361886429259,-0.9740134744947065,0.0
