Date,IWF,IWM,MJ,MTUM,SPY,VLUE,VXX
2018-09-24,-0.8205493503533167,-1.4057442443583315,1.0,-0.19062001367677228,-1.1793366765443356,-1.1024048324595397,0.0
2018-09-25,-0.8218007859217497,-1.4032120280198188,1.0,-0.193518993108947,-1.1771740987527763,-1.099379235719574,0.0
2018-09-26,-0.8225310399817746,-1.4041462581159585,1.0,-0.19512472946804874,-1.1767855108782321,-1.0968219614990318,0.0
2018-09-27,-0.823957681588078,-1.3962800750810536,1.0,-0.19703088561515272,-1.1753597633809225,-1.0953301859962459,0.0
2018-09-28,-0.820644133378855,-1.4000227608967792,1.0,-0.19819050870604302,-1.1755434164106064,-1.0958802776829408,0.0
2018-10-01,-0.8227782867613377,-1.4159413650939074,1.0,-0.20024049473202019,-1.1823751717819515,-1.1047297297297298,0.0
2018-10-02,-0.8271314718192764,-1.3914913135714695,1.0,-0.2101370334269824,-1.1909294191846798,-1.1138696175678,0.0
2018-10-03,-0.837300897770055,-1.4276281494352738,1.0,-0.21505936866492906,-1.1977410947002607,-1.1143932812047495,0.0
2018-10-04,-0.8370917121934209,-1.4388004184586773,1.0,-0.21597117284668138,-1.1977798442403813,-1.1222829245611996,0.0
2018-10-05,-0.820567662870686,-1.4284062662581651,1.0,-0.19642753916411354,-1.2046361061333024,-1.1306433897913175,0.0
2018-10-08,-0.8168137000518941,-1.4218416652251629,1.0,-0.189874877472179,-1.2086720867208671,-1.1287551173384074,0.0
2018-10-09,-0.8139266108061254,-1.427159780410286,1.0,-0.17746316093614561,-1.2187229124530483,-1.1413464316671482,0.0
2018-10-10,-0.8147164144622848,-1.4254360633013747,1.0,-0.17835277809864852,-1.2189557583458472,-1.1382696084093797,0.0
2018-10-11,-0.7272524282683935,-1.4236909679580216,1.0,-0.051300658702690634,-1.2043094786200736,-1.1757284805180306,0.0
2018-10-12,-0.7379488305698914,-1.4066652025914133,1.0,-0.04106731085977819,-1.1695399143515977,-1.1350609421324256,0.0
2018-10-15,-0.7389154442063622,-1.4087687489698368,1.0,-0.03725070051096093,-1.172408109444536,-1.1368056700181308,0.0
2018-10-16,-0.7473466812001607,-1.5583730135964662,1.0,-0.0,-1.2361310309219207,-1.1951121565027825,0.0
2018-10-17,-0.7106454608776411,-1.519212909217553,1.0,-0.0,-1.288657998606919,-1.2859879266310659,0.0
2018-10-18,-0.7143273150844496,-1.5295864880605707,1.0,-0.0,-1.2897495631916134,-1.290448456610367,0.0
2018-10-19,-0.681135996305703,-1.505079658277534,1.0,-0.0,-1.2950242438235973,-1.291099053336412,0.0
2018-10-22,-0.6891836853435737,-1.5354046663175658,1.0,-0.0,-1.2985977773898878,-1.2951649502530982,0.0
2018-10-23,-0.6938676675343544,-1.608935165566923,1.0,-0.0,-1.3825897451419578,-1.3682426296991343,0.0
2018-10-24,-0.6907341281849543,-1.6094534890758339,1.0,-0.0,-1.383223385583732,-1.3687586999939478,0.0
2018-10-25,-0.6148391560013836,-1.495215035166609,1.0,-0.0,-1.367116338060648,-1.2878473423267611,0.0
2018-10-26,-0.5809982983550765,-1.461996596710153,1.0,-0.0,-1.3655700510493476,-1.2635280771412365,0.0
