Date,BBSI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8556195092396244,-1.7038473189942442,-0.2893062708270221,-1.1940624053317177,-1.0159345652832474,0.0
2018-09-25,1.0,-0.8612138482992785,-1.701630994967562,-0.2968532104529194,-1.192081489116595,-1.011338143454799,0.0
2018-09-26,1.0,-0.8616382707815436,-1.7021766810161887,-0.2978233189838113,-1.1917783302006912,-1.009701085308919,0.0
2018-09-27,1.0,-0.8746195982958003,-1.690444309190505,-0.3047474132684115,-1.2001217285453438,-1.016494217894096,0.0
2018-09-28,1.0,-0.8714521149972533,-1.7010315571018737,-0.3063541475920161,-1.204114020631142,-1.0209363364463162,0.0
2018-10-01,1.0,-0.8742478202136805,-1.7157067419869827,-0.3091612427852143,-1.2110401571902247,-1.0300871914527814,0.0
2018-10-02,1.0,-0.8748388680866737,-1.707814130501504,-0.31225830213001043,-1.211957522558468,-1.031489779632926,0.0
2018-10-03,1.0,-0.8756218905472636,-1.7105214667403723,-0.3132485719550396,-1.211842024445673,-1.0308949081751735,0.0
2018-10-04,1.0,-0.8758442834336239,-1.7085226574972368,-0.31419624217118997,-1.2115927790740513,-1.0301485938843178,0.0
2018-10-05,1.0,-0.8535344246214212,-1.7027772668751149,-0.28673901048372263,-1.233523389123904,-1.0542578627919807,0.0
2018-10-08,1.0,-0.8495202004767435,-1.6963510787849154,-0.2818287390746287,-1.2337876657905997,-1.050669274494224,0.0
2018-10-09,1.0,-0.8473436449226631,-1.697805221006297,-0.2756617961728923,-1.2373295836644862,-1.0555114018463043,0.0
2018-10-10,1.0,-0.857748555978862,-1.7026545409856213,-0.28278235221826226,-1.2484330834459874,-1.0531522674204252,0.0
2018-10-11,1.0,-0.7643814494128811,-1.708160360574072,-0.14932985410983277,-1.2293915312537067,-1.079231407899419,0.0
2018-10-12,1.0,-0.7625647894706191,-1.6901170578300624,-0.1372080833964242,-1.195678760701182,-1.03820394851785,0.0
2018-10-15,1.0,-0.7354035822284252,-1.739939520818795,-0.09484763898581067,-1.1984182367992557,-1.0466387531984183,0.0
2018-10-16,1.0,-0.7327982318385389,-1.7508288256848719,-0.08695399290408887,-1.1989181643692202,-1.0468213807945095,0.0
2018-10-17,1.0,-0.7010280002271824,-1.6823422502413812,-0.061566422445618225,-1.1846424717441926,-1.0499801215425684,0.0
2018-10-18,1.0,-0.6995398511617338,-1.6799409191615065,-0.06294381639493268,-1.1878088962108733,-1.050673180707834,0.0
2018-10-19,1.0,-0.6820942526150039,-1.6664042289956134,-0.04459565853109886,-1.1868181306939602,-1.0437521088741424,0.0
2018-10-22,1.0,-0.6823754358339894,-1.6653357327634686,-0.046282757845011804,-1.1860870543245978,-1.043527162298954,0.0
2018-10-23,1.0,-0.6917127695607994,-1.670655978322231,-0.05933160212261489,-1.1808738850626623,-1.0426781077114147,0.0
