Date,GABC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.11000818919522545,-0.6502717323870263,-0.02605653026279872,-0.32722038861453706,-0.36801747028314763,0.0
2018-09-25,1.0,-0.10890842527332951,-0.6549697407416631,-0.02204069434413369,-0.33138246208253436,-0.3731975194879586,0.0
2018-09-26,1.0,-0.10844125059260921,-0.655313521471168,-0.01893854330413953,-0.3335828530079597,-0.3789205778875664,0.0
2018-09-27,1.0,-0.10770461877016178,-0.6604816324489234,-0.017804896346495284,-0.3346670334341944,-0.3800045012378404,0.0
2018-09-28,1.0,-0.10501528132671978,-0.6648379177313494,-0.018362643419008968,-0.33573826344005214,-0.3811563705596473,0.0
2018-10-01,1.0,-0.1045262946607788,-0.6675030108390204,-0.018792653552790042,-0.3360096346848655,-0.3822009233239662,0.0
2018-10-02,1.0,-0.10563184381559315,-0.6963811546923602,-0.011025971726980756,-0.335482892041575,-0.38034544672887743,0.0
2018-10-03,1.0,-0.10642931300802715,-0.7005900078498899,-0.011698868096528323,-0.3348611075941354,-0.37864323516750653,0.0
2018-10-04,1.0,-0.10536476325950012,-0.7067415159520423,-0.01155761024182077,-0.33349420849420847,-0.3829760211339159,0.0
2018-10-05,1.0,-0.086654535202604,-0.7069738831791269,-0.0,-0.35802342568623935,-0.4113335212855934,0.0
2018-10-08,1.0,-0.08635361665043317,-0.7075152509355616,-0.0,-0.3578971651202133,-0.41141641462039275,0.0
2018-10-09,1.0,-0.081202505647977,-0.7083076607106182,-0.0,-0.36111111111111116,-0.41664099404395155,0.0
2018-10-10,1.0,-0.08140639035031438,-0.7080200179648403,-0.0,-0.36124727319389194,-0.41570640318234314,0.0
2018-10-11,1.0,-0.03539601481926504,-0.7046410333433464,-0.0,-0.34387203364373686,-0.4193451486933013,0.0
2018-10-12,1.0,-0.028412214503473438,-0.7087810485281624,-0.0,-0.34254585436553553,-0.4191363886251187,0.0
2018-10-15,1.0,-0.0,-0.7602656699833324,-0.0,-0.3388049901510177,-0.42630940956613966,0.0
2018-10-16,1.0,-0.0,-0.7727606554055766,-0.0,-0.33583204598981947,-0.42388634234051714,0.0
2018-10-17,1.0,-0.0,-0.7452127393630318,-0.0,-0.32775861206939655,-0.42690365481725917,0.0
2018-10-18,1.0,-0.0,-0.7444697177993851,-0.0,-0.32826755317819384,-0.4268503011972905,0.0
2018-10-19,1.0,-0.0,-0.7447949133524498,-0.0,-0.3240992394963222,-0.42456052861239246,0.0
2018-10-22,1.0,-0.0,-0.7531067936888955,-0.0,-0.32353161803315583,-0.4238241692296152,0.0
2018-10-23,1.0,-0.0,-0.7531398548911684,-0.0,-0.32439329497122843,-0.4243432574430823,0.0
2018-10-24,1.0,-0.0,-0.7494620965724293,-0.0,-0.3250187640730548,-0.42737052789592195,0.0
2018-10-25,1.0,-0.0,-0.7405838041431263,-0.0,-0.31910992169689767,-0.41825255228466646,0.0
2018-10-26,1.0,-0.0,-0.7344054460696051,-0.0,-0.31818069703771307,-0.41393088819278295,0.0
2018-10-29,1.0,-0.0,-0.7360954020162283,-0.0,-0.31025325792967784,-0.4124661912957954,0.0
2018-10-30,1.0,-0.0,-0.7398669689345059,-0.0,-0.3101317854562667,-0.4411947883709923,0.0
2018-10-31,1.0,-0.0,-0.7269665147612443,-0.0,-0.3106053100851991,-0.43914701803051315,0.0
2018-11-01,1.0,-0.0,-0.7367795308745945,-0.0,-0.3043122879151909,-0.43581106184826496,0.0
2018-11-02,1.0,-0.0,-0.7110392016401946,-0.0,-0.32253044487809696,-0.43660301855099665,0.0
2018-11-05,1.0,-0.0,-0.7121264509755495,-0.0,-0.32232650037046184,-0.4352926648555199,0.0
2018-11-06,1.0,-0.0,-0.7171582431698039,-0.0,-0.32140210463909885,-0.43169803863445483,0.0
2018-11-07,1.0,-0.0,-0.7170225898037279,-0.0,-0.32052832983582275,-0.4313047771880014,0.0
2018-11-08,1.0,-0.0,-0.714264687844965,-0.0,-0.3091622715564823,-0.4296823255243469,0.0
