Date,IWF,IWM,MTUM,SJI,SPY,VLUE,VXX
2018-09-24,-0.28734574754940834,-0.8205120071059226,-0.0,1.0,-0.6169146337594772,-0.44748279034355865,0.0
2018-09-25,-0.28836884830035514,-0.8196981227803146,-0.0,1.0,-0.6163432267884322,-0.44656900050735676,0.0
2018-09-26,-0.2874081176094599,-0.8242249920102269,-0.0,1.0,-0.6233301374240972,-0.46094598913390855,0.0
2018-09-27,-0.28708010335917317,-0.8444767441860466,-0.0,1.0,-0.6303617571059432,-0.4680555555555556,0.0
2018-09-28,-0.29049899682868424,-0.8441848424050222,-0.0,1.0,-0.6319008478415636,-0.46948417578150275,0.0
2018-10-01,-0.2914549954409274,-0.8542399374755764,-0.0,1.0,-0.6357952325127002,-0.47495766575485215,0.0
2018-10-02,-0.2906105896588939,-0.8727474899434216,-0.0,1.0,-0.6339732478660431,-0.4730679922817804,0.0
2018-10-03,-0.29058904513718165,-0.8607860491034844,-0.0,1.0,-0.6416560133739797,-0.48487232438456745,0.0
2018-10-04,-0.29392877035483767,-0.855279971167393,-0.0,1.0,-0.6455555191507487,-0.4816683594901871,0.0
2018-10-05,-0.2735282600182744,-0.8463320715311318,-0.0,1.0,-0.6531784362354784,-0.4902427881477614,0.0
2018-10-08,-0.26988265971316816,-0.8426336375488919,-0.0,1.0,-0.657464146023468,-0.4894719687092568,0.0
2018-10-09,-0.2623198397846285,-0.8490758068222857,-0.0,1.0,-0.6681112314915131,-0.503594996552743,0.0
2018-10-10,-0.26318380205427755,-0.8481934827552259,-0.0,1.0,-0.6686903160174581,-0.5015259409969481,0.0
2018-10-11,-0.1828877683696445,-0.8368375987061174,-0.0,1.0,-0.6441505724161989,-0.5074049408556116,0.0
2018-10-12,-0.18064838528327815,-0.827846836154663,-0.0,1.0,-0.6281466674995314,-0.48660128677618836,0.0
2018-10-15,-0.13587076786899754,-0.893023108778807,-0.0,1.0,-0.6319666171403282,-0.5003951569563431,0.0
2018-10-16,-0.13165301540115745,-0.9005091553081813,-0.0,1.0,-0.6309098383985327,-0.49938332121058787,0.0
2018-10-17,-0.11499674186241352,-0.8676265243429423,-0.0,1.0,-0.6216836813851739,-0.49871225990628976,0.0
2018-10-18,-0.11563548266865448,-0.869952789166356,-0.0,1.0,-0.6211020002484781,-0.49925456578456945,0.0
2018-10-19,-0.09646341838776201,-0.8588137523469481,-0.0,1.0,-0.6247960848287113,-0.497922373726492,0.0
2018-10-22,-0.09659650418513048,-0.8510893648449038,-0.0,1.0,-0.628292712949286,-0.5013540128015755,0.0
2018-10-23,-0.09768234036868823,-0.9356131445364682,-0.0,1.0,-0.7223817793214,-0.5838899278653487,0.0
2018-10-24,-0.10104364326375712,-0.9599823800487938,-0.0,1.0,-0.7350230414746544,-0.5924030902683655,0.0
2018-10-25,-0.05428910264857031,-0.9129661351956779,-0.0,1.0,-0.7646593754117802,-0.5623599947292134,0.0
2018-10-26,-0.0329881464113586,-0.8979093395857756,-0.0,1.0,-0.7728604923798359,-0.5527224176110459,0.0
2018-10-29,-0.04073769142104397,-0.9052856907623911,-0.0,1.0,-0.7898567429606456,-0.557385147373621,0.0
2018-10-30,-0.026953112128900458,-0.9066196579788461,-0.0,1.0,-0.7915252561863653,-0.5698705064417279,0.0
2018-10-31,-0.029146516795190175,-0.8894262187949288,-0.0,1.0,-0.7860083649196185,-0.5629656254084434,0.0
2018-11-01,-0.0,-0.9489435446244084,-0.0,1.0,-0.8019396120775846,-0.5817836432713458,0.0
2018-11-02,-0.0,-0.9374606018380278,-0.0,1.0,-0.8019972794532364,-0.5782820742510202,0.0
2018-11-05,-0.0,-0.9465967891734112,-0.0,1.0,-0.8012471805758259,-0.5690924771129096,0.0
2018-11-06,-0.0,-0.9453482966996479,-0.0,1.0,-0.8029417624012218,-0.571983531442991,0.0
2018-11-07,-0.0,-0.9449772674476488,-0.0,1.0,-0.8021438290246574,-0.5714996847310259,0.0
2018-11-08,-0.0,-0.9365418075572043,-0.0,1.0,-0.7809658251534749,-0.5653786809362792,0.0
2018-11-09,-0.0,-0.9410368025326474,-0.0,1.0,-0.7879237567603219,-0.5687574198654531,0.0
2018-11-12,-0.0,-0.9228725149268422,-0.0,1.0,-0.793419066990355,-0.5643002427662227,0.0
2018-11-13,-0.0,-0.913698986223031,-0.0,1.0,-0.7847673511827399,-0.5508188198596309,0.0
2018-11-14,-0.0,-0.9132412672623883,-0.0,1.0,-0.7854102355808286,-0.5507392363931762,0.0
2018-11-15,-0.0,-0.9130519480519481,-0.0,1.0,-0.7853896103896104,-0.5482792207792208,0.0
