Date,IWF,IWM,MTUM,REGI,SPY,VLUE,VXX
2018-09-24,-0.7396505774355937,-1.6716612377850164,-0.0,1.0,-1.2932188332839798,-1.2178856973645247,0.0
2018-09-25,-0.7432832287844715,-1.6688957273050065,-0.0,1.0,-1.2912770742099657,-1.2144040714877502,0.0
2018-09-26,-0.7425390810042635,-1.6689957366177166,-0.0,1.0,-1.292337754618664,-1.2174917100900047,0.0
2018-09-27,-0.7471176018447349,-1.6567728965884232,-0.0,1.0,-1.2920238869508662,-1.2166380890439308,0.0
2018-09-28,-0.7502515239391607,-1.656625436468012,-0.0,1.0,-1.29342486831982,-1.2179085044682487,0.0
2018-10-01,-0.7531826293872695,-1.6700178465199285,-0.0,1.0,-1.299881023200476,-1.225758477096966,0.0
2018-10-02,-0.7561458208418275,-1.7097373785825638,-0.0,1.0,-1.302494303873366,-1.2274853099892074,0.0
2018-10-03,-0.756411026364783,-1.6932316377394754,-0.0,1.0,-1.312834064020179,-1.2432286349168218,0.0
2018-10-04,-0.7591315300185929,-1.685179631739939,-0.0,1.0,-1.3151202543033647,-1.2383494272176574,0.0
2018-10-05,-0.7362526064938933,-1.6719690199582962,-0.0,1.0,-1.312243074173369,-1.237176050044683,0.0
2018-10-08,-0.7325727256436294,-1.6715847320948567,-0.0,1.0,-1.3275192640821933,-1.241741831431814,0.0
2018-10-09,-0.7460975024015369,-1.682696926032661,-0.0,1.0,-1.3326729106628241,-1.2424351585014408,0.0
2018-10-10,-0.7466698667946717,-1.6811472458898356,-0.0,1.0,-1.3327733109324373,-1.2396495859834393,0.0
2018-10-11,-0.6226575809199318,-1.6075525269733106,-0.0,1.0,-1.2490630323679726,-1.1992049971607042,0.0
2018-10-12,-0.6432870240170988,-1.606614545250014,-0.0,1.0,-1.216716350750886,-1.1580516339501659,0.0
2018-10-15,-0.6116336356511028,-1.6270294479901466,-0.0,1.0,-1.2064158548874706,-1.153342290896876,0.0
2018-10-16,-0.6035855432728107,-1.7118964430952517,-0.0,1.0,-1.2333466979781202,-1.1788762242969242,0.0
