Date,IWF,IWM,MTUM,RY,SPY,VLUE,VXX
2018-09-24,-0.17618851302970467,-0.28867142578167376,-0.06589710764423808,1.0,-0.33966194371514746,-0.29939028359407205,0.0
2018-09-25,-0.17695544661836798,-0.28786169797405753,-0.06722051104073576,1.0,-0.33887900741833327,-0.2982083206802308,0.0
2018-09-26,-0.17730250314519977,-0.2882738275996703,-0.0680447702919613,1.0,-0.33864040605613643,-0.2968417856058306,0.0
2018-09-27,-0.1773140415193388,-0.28837935746979326,-0.0680708909086965,1.0,-0.3386407514262782,-0.29686110327772836,0.0
2018-09-28,-0.17684448011801202,-0.28882573703277875,-0.06829077814174458,1.0,-0.33852528364101786,-0.29685228973685923,0.0
2018-10-01,-0.17709463270707682,-0.2886275871046123,-0.06831691760315875,1.0,-0.338612400746301,-0.29684991539028943,0.0
2018-10-02,-0.17883354323185827,-0.27656663916272206,-0.072675554783515,1.0,-0.34233725626438527,-0.3009293438137838,0.0
2018-10-03,-0.17930659710900987,-0.2799695685251603,-0.07316596022171504,1.0,-0.34172372568199105,-0.29951092272579066,0.0
2018-10-04,-0.18059146911192717,-0.2776123943417136,-0.07344473175289541,1.0,-0.34327806870776384,-0.29797266465309313,0.0
2018-10-05,-0.17439570664993181,-0.27257579364220635,-0.06814394841055159,1.0,-0.346887104801887,-0.3019843760143689,0.0
2018-10-08,-0.17380401651570504,-0.27151473226831535,-0.06731663027735144,1.0,-0.347435093711494,-0.30167102617868957,0.0
2018-10-09,-0.17433414043583534,-0.2714674852992044,-0.06851003113109651,1.0,-0.3468523002421307,-0.3006961259079903,0.0
2018-10-10,-0.17455480636237897,-0.27091977869986167,-0.06887534578146612,1.0,-0.3469700899031812,-0.29981414246196403,0.0
2018-10-11,-0.16130610508402465,-0.2652201659221442,-0.053924696873005745,1.0,-0.344309721335886,-0.3024675600935971,0.0
2018-10-12,-0.16102572775511068,-0.26139991121070544,-0.052343403166818174,1.0,-0.34131027630382854,-0.29795150413293026,0.0
2018-10-15,-0.1520959094938579,-0.2758242222128414,-0.039976360336020936,1.0,-0.34212081556840734,-0.300666976233695,0.0
2018-10-16,-0.1512074643249177,-0.27967997973486447,-0.037131638942835436,1.0,-0.3423119142109263,-0.3006206197753948,0.0
2018-10-17,-0.14677304518993173,-0.2688779997487121,-0.0337144532395192,1.0,-0.3415839510826318,-0.30313690999706827,0.0
2018-10-18,-0.14644053601340032,-0.26836264656616415,-0.03391959798994974,1.0,-0.34198073701842546,-0.3031197654941374,0.0
2018-10-19,-0.14381703601686072,-0.2655773966028129,-0.031426067359459124,1.0,-0.3430366011435249,-0.3028671591335921,0.0
2018-10-22,-0.1442791260616431,-0.2646856284301246,-0.03063375138248367,1.0,-0.34369065754053546,-0.30349950960956573,0.0
2018-10-23,-0.14388008601073046,-0.26508841151541723,-0.029435711154255653,1.0,-0.34494060666791926,-0.304294273605979,0.0
2018-10-24,-0.14483593049210422,-0.2624903519202286,-0.02511629847508188,1.0,-0.34689279679579443,-0.30675678494690944,0.0
2018-10-25,-0.13750334796134905,-0.25116921111729196,-0.024208335908688216,1.0,-0.3477553206831901,-0.29962708861281084,0.0
2018-10-26,-0.13151969213133546,-0.2474207811348563,-0.014226643740276754,1.0,-0.3559526733808237,-0.2978793089331041,0.0
2018-10-29,-0.12482665796557631,-0.2510196590260217,-0.008871033526388775,1.0,-0.3534138184191207,-0.3011868831062892,0.0
2018-10-30,-0.12624428851174935,-0.2509587140992167,-0.00975032637075718,1.0,-0.35321475195822455,-0.2996695496083551,0.0
2018-10-31,-0.12630484423421953,-0.2502242701027565,-0.00982710813896591,1.0,-0.3530419181210243,-0.2994005871799054,0.0
2018-11-01,-0.12139611646529065,-0.25689194971372686,-0.004319566413333605,1.0,-0.3543063224597078,-0.3006173719920944,0.0
2018-11-02,-0.12430709252979756,-0.24701009157546347,-0.0025178176206623487,1.0,-0.35763162703811247,-0.2990314524152775,0.0
2018-11-05,-0.12313251055537511,-0.25008119519324457,-0.0025373497888924977,1.0,-0.3578069178304644,-0.29632185774602143,0.0
2018-11-06,-0.12539833965940692,-0.2516897720583758,-0.0015629122942334625,1.0,-0.35664846651917104,-0.2944567357460369,0.0
2018-11-07,-0.12377784088604,-0.25151121749361033,-0.004259807700109538,1.0,-0.35510568380055985,-0.29380502251612645,0.0
2018-11-08,-0.11456001290817049,-0.2524354087251165,-0.0,1.0,-0.3526552510034086,-0.2972509630705311,0.0
2018-11-09,-0.11395545872670056,-0.25262244815621726,-0.0,1.0,-0.3535261841362059,-0.29716372145566045,0.0
2018-11-12,-0.11366749939559996,-0.25028205334837617,-0.0,1.0,-0.3541582722217745,-0.2965589491498106,0.0
2018-11-13,-0.10452571108308814,-0.2468824436037551,-0.0,1.0,-0.3554114373786505,-0.2948417702516063,0.0
2018-11-14,-0.1052747472725453,-0.2464017615854269,-0.0,1.0,-0.35558002201981787,-0.294565108597738,0.0
2018-11-15,-0.10495900819836033,-0.24631073785242952,-0.0,1.0,-0.35646870625874827,-0.2918616276744651,0.0
2018-11-16,-0.10476456950995283,-0.24536333839635463,-0.0,1.0,-0.35612359101446955,-0.292309537133264,0.0
2018-11-19,-0.10569755590639301,-0.2450688462998861,-0.0,1.0,-0.35554267671216455,-0.29211215252103356,0.0
2018-11-20,-0.09186962750716333,-0.24122492836676218,-0.0,1.0,-0.35752944921999363,-0.29918815663801335,0.0
2018-11-21,-0.09010586643317679,-0.24114463105946032,-0.0,1.0,-0.35847329459524,-0.300246756348006,0.0
2018-11-23,-0.0884777394844509,-0.2652115202450773,-0.0,1.0,-0.3577201362436262,-0.3040490154584114,0.0
2018-11-26,-0.08887767460637869,-0.2634638675817521,-0.0,1.0,-0.360012111425111,-0.30621719822365767,0.0
2018-11-27,-0.08235554571618331,-0.26773602753235254,-0.0,1.0,-0.3584639845432407,-0.3040433111276592,0.0
2018-11-28,-0.08481035630028431,-0.25947210291775047,-0.0,1.0,-0.3642852821970842,-0.30784586534389935,0.0
2018-11-29,-0.08957763597690672,-0.2625341841385597,-0.0,1.0,-0.36564367466828723,-0.3079914919477363,0.0
2018-11-30,-0.08935480603666567,-0.2624936696039704,-0.0,1.0,-0.3656639319355819,-0.3082143218879773,0.0
2018-12-03,-0.08752101436065707,-0.26353527374369573,-0.0,1.0,-0.366146118166535,-0.30829839379392765,0.0
2018-12-04,-0.08544674998988797,-0.2641062977793957,-0.0,1.0,-0.36514581563726084,-0.30770942037778587,0.0
2018-12-06,-0.08382805519706145,-0.236731857440683,-0.0,1.0,-0.36799364638141563,-0.2969522485853271,0.0
2018-12-07,-0.0759122632103689,-0.24043868394815557,-0.0,1.0,-0.37214356929212367,-0.30552342971086743,0.0
2018-12-10,-0.06578478355578439,-0.24141550160402395,-0.0,1.0,-0.3735593488851044,-0.29949700978256566,0.0
2018-12-11,-0.0582890246805809,-0.24525831283231486,-0.0,1.0,-0.3725696373303706,-0.307872391080073,0.0
2018-12-12,-0.057381604541304435,-0.24578222381009088,-0.0,1.0,-0.372454448017149,-0.3092175777063237,0.0
2018-12-13,-0.05778369887256169,-0.24827503927144023,-0.0,1.0,-0.3715774194189816,-0.31079119524368176,0.0
2018-12-14,-0.05923628918440774,-0.24449877750611246,-0.0,1.0,-0.37344703520384837,-0.31063271512910723,0.0
2018-12-17,-0.05101171247943875,-0.24421807804356013,-0.0,1.0,-0.36736756574644763,-0.31918983729364436,0.0
2018-12-18,-0.047235546080811666,-0.24030319180434653,-0.0,1.0,-0.36647519788397387,-0.31991077949507507,0.0
2018-12-19,-0.046391345546430825,-0.2406230259001895,-0.0,1.0,-0.36696541377132025,-0.32013976626658247,0.0
2018-12-20,-0.04643004946495083,-0.23818063575271461,-0.0,1.0,-0.36726247955383007,-0.31884200776461774,0.0
2018-12-21,-0.04462375090798437,-0.23799988220743273,-0.0,1.0,-0.36892632074916076,-0.3116595009521566,0.0
2018-12-24,-0.043800922744674585,-0.2383626190242466,-0.0,1.0,-0.3698635515853539,-0.3112594483164818,0.0
2018-12-26,-0.04443707187603676,-0.24099841923459728,-0.0,1.0,-0.36041451181670925,-0.3057122226342187,0.0
2018-12-27,-0.0386647639617402,-0.2349390620178957,-0.0,1.0,-0.347597192224622,-0.30723542116630664,0.0
2018-12-28,-0.03591325301204819,-0.23803373493975902,-0.0,1.0,-0.34779759036144575,-0.30596626506024094,0.0
2018-12-31,-0.035741826033312774,-0.23851017890191242,-0.0,1.0,-0.3477020357803825,-0.305868291178285,0.0
2019-01-02,-0.03536463151403022,-0.2383980881899476,-0.0,1.0,-0.3474791859389454,-0.30600524205982116,0.0
2019-01-03,-0.03483373493975903,-0.2387277108433735,-0.0,1.0,-0.34696867469879517,-0.3071807228915662,0.0
