Date,IWF,IWM,LH,MTUM,SPY,VLUE,VXX
2018-09-24,-0.2686989153343957,-0.4261810517657945,1.0,-0.013442656659641186,-0.4303449339433506,-0.4316557857399887,0.0
2018-09-25,-0.26751198391835473,-0.43005515179629916,1.0,-0.009999484562651411,-0.43368898510386067,-0.43593113757022833,0.0
2018-09-26,-0.26872791975038035,-0.4317543000077361,1.0,-0.012326259057737435,-0.4333788906366847,-0.43252791459294976,0.0
2018-09-27,-0.2709138704190506,-0.42631823101901967,1.0,-0.013942580279367043,-0.43356012576671304,-0.432451935467244,0.0
2018-09-28,-0.269915723821551,-0.42717971186309633,1.0,-0.014355300121130898,-0.43341666451895566,-0.4324115357851602,0.0
2018-10-01,-0.26932235854428743,-0.43389242636020087,1.0,-0.014935031319563079,-0.43495366775379196,-0.4352901589273696,0.0
2018-10-02,-0.2695035460992908,-0.43254646166589017,1.0,-0.015763317285292747,-0.4351089713723663,-0.4355231143552311,0.0
2018-10-03,-0.2692437061760977,-0.4284975031695516,1.0,-0.015317343268907345,-0.4364149137105746,-0.43794147325933397,0.0
2018-10-04,-0.2739750861108953,-0.42268148033045866,1.0,-0.01584958433688136,-0.4429596249967628,-0.4343096884468961,0.0
2018-10-05,-0.2684406132245909,-0.4184690032519486,1.0,-0.009007381407112991,-0.44644608475713615,-0.43852268621277035,0.0
2018-10-08,-0.26776322573991956,-0.4172424461173559,1.0,-0.0077859131690213475,-0.4471228214911828,-0.43820253686707233,0.0
2018-10-09,-0.2659253334709358,-0.4183286462499033,1.0,-0.0023220413323357158,-0.4506050207693697,-0.4428390825356691,0.0
2018-10-10,-0.2695778070787766,-0.4177977714005015,1.0,-0.005351741254944543,-0.45386385377078003,-0.4388169290829649,0.0
2018-10-11,-0.22633744855967078,-0.40882122749880073,1.0,-0.0,-0.44128859602615567,-0.44823146254639096,0.0
2018-10-12,-0.22878708355202318,-0.40233935667691384,1.0,-0.0,-0.43118142510809526,-0.43702981680037983,0.0
2018-10-15,-0.22103031058999625,-0.4076337782212798,1.0,-0.0,-0.4293127104902083,-0.4367219658226269,0.0
2018-10-16,-0.2196113647135124,-0.40981316570630344,1.0,-0.0,-0.42879592905784625,-0.4362293896081219,0.0
2018-10-17,-0.2136773298999703,-0.39833613944736057,1.0,-0.0,-0.4265375854214123,-0.43745667029810836,0.0
2018-10-18,-0.21312733665106837,-0.3971873529921513,1.0,-0.0,-0.42788878159895016,-0.4376934313798311,0.0
2018-10-19,-0.20473952309471663,-0.3895218643108497,1.0,-0.0,-0.42891945763712874,-0.4376553387307134,0.0
2018-10-22,-0.20466455088936453,-0.38504686692744855,1.0,-0.0,-0.43100351809481635,-0.43951583142667355,0.0
2018-10-23,-0.20000988313196452,-0.3882094235663282,1.0,-0.0,-0.43811923998715196,-0.4444444444444445,0.0
2018-10-24,-0.19892871248025276,-0.38628060821484994,1.0,-0.0,-0.4382158372827804,-0.44497926540284366,0.0
2018-10-25,-0.21478467797651032,-0.4231212097950411,1.0,-0.0,-0.4493743762953865,-0.4715078938614672,0.0
2018-10-26,-0.20373803296173087,-0.41565301302724805,1.0,-0.0,-0.4537697757688108,-0.4662891388811296,0.0
2018-10-29,-0.1956312645540144,-0.41745975498633187,1.0,-0.0,-0.4499595018730384,-0.46808241368836695,0.0
2018-10-30,-0.16890961920782993,-0.42511597084161695,1.0,-0.0,-0.4579446398531885,-0.49683947596472444,0.0
