Date,AVT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.24335997756275418,-0.6241761323797504,-0.060692749964941804,-0.4103211330809144,-0.4661337820782499,0.0
2018-09-25,1.0,-0.24402074863311368,-0.6233281929062106,-0.061909435020328044,-0.4095892331417355,-0.46499369129398566,0.0
2018-09-26,1.0,-0.2438804540717163,-0.6253626658403989,-0.05605475902087265,-0.41488972141629815,-0.4766626292217121,0.0
2018-09-27,1.0,-0.24321046842832567,-0.6288953439183282,-0.05533150963084125,-0.41546574917510365,-0.4772554217547026,0.0
2018-09-28,1.0,-0.2392770128619185,-0.6384214403082327,-0.05606549946172587,-0.4187489376168621,-0.48050881069748996,0.0
2018-10-01,1.0,-0.2392905711695376,-0.638457615593835,-0.05626699909338168,-0.4186876699909338,-0.4804793744333635,0.0
2018-10-02,1.0,-0.24116686248101554,-0.6815772129409405,-0.045075507923317194,-0.41903315471243946,-0.4787517551652004,0.0
2018-10-03,1.0,-0.24088343980062446,-0.6753272794981237,-0.044229281847088145,-0.4213526597725515,-0.4827694863788708,0.0
2018-10-04,1.0,-0.2417525773195876,-0.6733963344788086,-0.04464490263459336,-0.4222794959908362,-0.48158648339060706,0.0
2018-10-05,1.0,-0.2337747588332667,-0.6705005993492779,-0.03656030595353616,-0.42596609395513435,-0.4872424225127005,0.0
2018-10-08,1.0,-0.23315840511094635,-0.6699560778050311,-0.035651132279961216,-0.4262734584450403,-0.48705150875591813,0.0
2018-10-09,1.0,-0.23940878233221624,-0.6734840021769644,-0.04577353842628398,-0.42402108218040163,-0.4817106356162814,0.0
2018-10-10,1.0,-0.2392300641613199,-0.6737797891842346,-0.045428505957836846,-0.4240375802016499,-0.48186869844179653,0.0
2018-10-11,1.0,-0.22196479529850535,-0.6749922301019975,-0.023309694007289578,-0.4185855960218122,-0.4865933941739892,0.0
2018-10-12,1.0,-0.22742147512096883,-0.6721953402511677,-0.02075350320252846,-0.4045534640449752,-0.47201633429362566,0.0
2018-10-15,1.0,-0.23365586874211192,-0.6656569906044033,-0.02664422942083859,-0.4064226616182864,-0.47230402468097044,0.0
2018-10-16,1.0,-0.23152515723270442,-0.6769710242587601,-0.01867138364779874,-0.407710017969452,-0.47287735849056606,0.0
