Date,IWF,IWM,MTUM,PDD,SPY,VLUE,VXX
2019-03-25,-0.1844856260394393,-1.8958184842005228,-0.8436683297695414,1.0,-4.196127346162983,-3.759206462342599,0.0
2019-03-26,-0.18624539731559567,-1.896662311438413,-0.8446371303005108,1.0,-4.193372134457774,-3.756859484499347,0.0
2019-03-27,-0.22124733222670145,-1.8662556319658528,-0.8488261797486365,1.0,-4.183661370642637,-3.7367797012093904,0.0
2019-03-28,-0.21637010676156582,-1.875682087781732,-0.8501779359430605,1.0,-4.181731909845789,-3.738315539739027,0.0
2019-03-29,-0.21415004748338085,-1.8503086419753088,-0.8652659069325737,1.0,-4.185897435897436,-3.755223171889839,0.0
2019-04-01,-0.1949685534591195,-1.8494126023495905,-0.858193900557731,1.0,-4.203987184051264,-3.7599382935801593,0.0
2019-04-02,-0.1800449225676794,-1.85128265752453,-0.9648894668400521,1.0,-4.175079796666273,-3.650431493084289,0.0
2019-04-03,-0.1861262112975656,-1.8502718033561805,-0.9637201607185062,1.0,-4.173008744977547,-3.6444103048924603,0.0
2019-04-04,-0.17515129939480242,-1.8437166251334995,-0.9920493651358727,1.0,-4.217159131363474,-3.6385427791622167,0.0
2019-04-05,-0.18637608669763012,-1.8329165178039775,-1.0242943908538764,1.0,-4.235560319161605,-3.6298678099321187,0.0
2019-04-08,-0.19151486097794823,-1.8062080536912752,-1.0412272291466922,1.0,-4.281879194630872,-3.6638302972195587,0.0
2019-04-09,-0.19283317353787152,-1.8052492809204217,-1.0414669223394055,1.0,-4.281279961649089,-3.6639501438159154,0.0
2019-04-10,-0.2009603841536615,-1.7620648259303722,-1.089795918367347,1.0,-4.3115246098439375,-3.6404561824729895,0.0
2019-04-11,-0.2169731938934968,-1.7048924149537206,-1.1101093881476138,1.0,-4.3416275994710904,-3.6470729655006613,0.0
2019-04-12,-0.2198581560283688,-1.7060944825099171,-1.1126337300156268,1.0,-4.337780983291261,-3.644308210121409,0.0
2019-04-15,-0.21753753753753755,-1.709189189189189,-1.122042042042042,1.0,-4.317357357357357,-3.646006006006006,0.0
2019-04-16,-0.21809661139149242,-1.704758471521269,-1.1309781302571495,1.0,-4.318913722662821,-3.6435952895938475,0.0
2019-04-17,-0.21725546743571256,-1.7041576544099977,-1.1322999279019466,1.0,-4.320115356885364,-3.6425138187935593,0.0
2019-04-18,-0.22967602071540405,-1.6805973744429723,-1.1088763097675538,1.0,-4.342285920751536,-3.682403950379381,0.0
