Date,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,WCC,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.5937699050623313,-0.0,-0.3573963420182596,-0.0,-0.23813279141011254,-0.013891837787012041,1.0,-0.3507840698838303,-0.02717704510297552,-0.06803360732809609,-0.07631411325790895,-0.10579635415086901,-0.0,-0.0,-0.0,-0.20188662076496103,-0.0,-0.0
2019-01-03,-0.0,-0.5924824803567637,-0.0,-0.356976003397749,-0.0,-0.23805478870248462,-0.014925825926038286,1.0,-0.3504535388162485,-0.027637047598822923,-0.06807632800412584,-0.076570700482359,-0.10624033006704488,-0.0,-0.0,-0.0,-0.20228741316020996,-0.0,-0.0
2019-01-04,-0.0,-0.6164860446812375,-0.0,-0.3847853726463643,-0.0,-0.2154446933462493,-0.02000968698916268,1.0,-0.32669370951141247,-0.039625840043591445,-0.09087606708239995,-0.06305624508082582,-0.0521886541139432,-0.0,-0.0,-0.0,-0.21798752800145305,-0.0,-0.0
2019-01-07,-0.0,-0.5830148997304422,-0.0,-0.44850262152314935,-0.0,-0.2821173612962469,-0.014603513137237479,1.0,-0.2844870997363666,-0.0043247726532184005,-0.09233093397316271,-0.05168991972511034,-0.034775911608756184,-0.0,-0.0,-0.015699517165792827,-0.15059687786960516,-0.0,-0.0
2019-01-08,-0.0,-0.5489120715350223,-0.0,-0.46447093889716834,-0.0,-0.3028017883755588,-0.0,1.0,-0.3007451564828614,-0.016572280178837554,-0.07719821162444113,-0.07514157973174367,-0.02509687034277198,-0.0,-0.0,-0.0,-0.16971684053651265,-0.0,-0.0
2019-01-09,-0.0,-0.5447843277148547,-0.0,-0.460120693242962,-0.0,-0.31023514373197775,-0.0,1.0,-0.3013466512084188,-0.01180177769850471,-0.07803442432890394,-0.08329617408365289,-0.020838907220785397,-0.0,-0.0,-0.0,-0.1622521478046315,-0.0,-0.0
2019-01-10,-0.0,-0.5475589100525956,-0.0,-0.4590675422696342,-0.0,-0.3084420408284551,-0.0,1.0,-0.29881437018987905,-0.009419665408730278,-0.08070602918016224,-0.0832020919383116,-0.023118295545716577,-0.0,-0.0,-0.0,-0.1611743380976436,-0.0,-0.0
2019-01-11,-0.0,-0.5464201999821974,-0.0,-0.46064148592113463,-0.0,-0.30813280716850133,-0.0032044625107557193,1.0,-0.2976292911610242,-0.011067264041776695,-0.08138741358336053,-0.0871139067738777,-0.01450909414592173,-0.0,-0.0,-0.0,-0.15698899207785658,-0.0,-0.0
2019-01-14,-0.0,-0.5412959092266348,-0.0,-0.45957002090176174,-0.0,-0.32451478053150196,-0.06793072558972828,1.0,-0.281755747984473,-0.0,-0.06434756643774261,-0.09062406688563751,-0.0005673335323977308,-0.0,-0.0,-0.0,-0.15535980889817858,-0.0,-0.0
2019-01-15,-0.0,-0.5361018363939899,-0.0,-0.46395778678750293,-0.0,-0.32408180300500833,-0.06487002146434534,1.0,-0.2777844025757214,-0.0,-0.06472096351061292,-0.09524803243501073,-0.005544955878845695,-0.0,-0.0,-0.0,-0.1488194610064393,-0.0,-0.0
