Date,GPS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5414270169438831,-1.5109073008964196,-0.0,-0.9973055598735686,-1.131975750038862,0.0
2018-09-25,1.0,-0.5451108348870934,-1.5090118085767559,-0.0,-0.996012015744769,-1.1291174642635178,0.0
2018-09-26,1.0,-0.5487817522032141,-1.513011923276309,-0.0,-0.9970969414204252,-1.12514256091239,0.0
2018-09-27,1.0,-0.5649205108157415,-1.5021631482929372,-0.00328381548084441,-1.0081834766744853,-1.1338024498305967,0.0
2018-09-28,1.0,-0.5643110277256619,-1.5020325203252034,-0.004117156556180946,-1.0077652699603918,-1.1334167187825726,0.0
2018-10-01,1.0,-0.5642656103408735,-1.5021369748775149,-0.004743041801313457,-1.007609715417492,-1.1333785051600125,0.0
2018-10-02,1.0,-0.5654212912302642,-1.4917930279818665,-0.008910426762544943,-1.0093793965921525,-1.1352717419623783,0.0
2018-10-03,1.0,-0.5747132484478585,-1.5240450384089232,-0.013679890560875511,-1.0147848047984847,-1.1342733873513626,0.0
2018-10-04,1.0,-0.5782334384858043,-1.5161409043112513,-0.014931650893796004,-1.0188748685594111,-1.1293901156677182,0.0
2018-10-05,1.0,-0.5555497409597572,-1.5072478936626719,-0.0,-1.0273169710607568,-1.1429692814903971,0.0
2018-10-08,1.0,-0.5528126477230947,-1.507852303167183,-0.0,-1.0432270602447606,-1.1484321655549137,0.0
2018-10-09,1.0,-0.5465159084932947,-1.5091769655535103,-0.0,-1.0476991848540627,-1.1556139889560872,0.0
2018-10-10,1.0,-0.5475477054092415,-1.5080691794143932,-0.0,-1.0482573726541555,-1.1529727172370288,0.0
2018-10-11,1.0,-0.4186578546009151,-1.4936959837315709,-0.0,-1.0027961362480935,-1.1686832740213522,0.0
2018-10-12,1.0,-0.4231038974050696,-1.484220018034265,-0.0,-0.9686404167919047,-1.1336038473098888,0.0
2018-10-15,1.0,-0.3877428699865142,-1.5139103940862093,-0.0,-0.9598421657259878,-1.133260076919235,0.0
2018-10-16,1.0,-0.3790548658390068,-1.5344413295955148,-0.0,-0.959651581898278,-1.132859431317581,0.0
2018-10-17,1.0,-0.3400955241518539,-1.4715150918312079,-0.0,-0.957014131665764,-1.1553498448963513,0.0
2018-10-18,1.0,-0.33925758172508863,-1.4704115793619534,-0.0,-0.9580543521071287,-1.15542536431666,0.0
2018-10-19,1.0,-0.32558253617856264,-1.4696100073583518,-0.0,-0.9554083885209712,-1.1549668874172185,0.0
2018-10-22,1.0,-0.3260613785665261,-1.4631336405529953,-0.0,-0.9570546131973724,-1.156142759094029,0.0
2018-10-23,1.0,-0.34755071746660066,-1.47897080653142,-0.0,-0.9590796635329045,-1.1624443344878772,0.0
2018-10-24,1.0,-0.3448531960192108,-1.4736842105263157,-0.0,-0.9627172352329554,-1.1699757389711343,0.0
2018-10-25,1.0,-0.27977333845562813,-1.4053976181329233,-0.0,-0.9890030733768728,-1.1279293123319247,0.0
2018-10-26,1.0,-0.25280659371891434,-1.3811756903983705,-0.0,-0.9921841693903652,-1.110747951305007,0.0
2018-10-29,1.0,-0.2104115304380808,-1.414232884505974,-0.0,-0.9821259245211454,-1.1343637398065618,0.0
2018-10-30,1.0,-0.1838550090381505,-1.4207972600133194,-0.0,-0.9893444962420322,-1.1629721244410618,0.0
