Date,IWF,IWM,MTUM,SPY,SWM,VLUE,VXX
2018-09-24,-0.31316075027127577,-0.7891489691520694,-0.022632150054255153,-0.4978762982483336,1.0,-0.4774763602542242,0.0
2018-09-25,-0.3123310653369373,-0.7925249324261348,-0.019852735576474975,-0.5008543822039954,1.0,-0.4812501941777737,0.0
2018-09-26,-0.3125370618894542,-0.7950750600792734,-0.014481445647763803,-0.5063200274648108,1.0,-0.4925876221091727,0.0
2018-09-27,-0.3140104150425645,-0.7902335588886463,-0.015840843181889053,-0.5060338644797157,1.0,-0.49218871807664727,0.0
2018-09-28,-0.3107933608390287,-0.8077540864854649,-0.016723882712355514,-0.5141570344241126,1.0,-0.5000787376775535,0.0
2018-10-01,-0.31517067003792665,-0.8081858407079645,-0.01596080910240202,-0.5187420986093552,1.0,-0.502496839443742,0.0
2018-10-02,-0.3193565993514624,-0.8608533727164733,-0.0037242752110957715,-0.5225864449224644,1.0,-0.5040613863293415,0.0
2018-10-03,-0.3190847533776195,-0.857353743461378,-0.0035300535926318156,-0.5233785822021116,1.0,-0.5057604056352492,0.0
2018-10-04,-0.31958035227309184,-0.85591453046296,-0.004042478103243608,-0.5237575796464435,1.0,-0.5050530976290545,0.0
2018-10-05,-0.31358182690769476,-0.8556390977443609,-0.0,-0.52439609662454,1.0,-0.5059030555111182,0.0
2018-10-08,-0.31641503372952134,-0.8612592354641825,-0.0,-0.5257629296498555,1.0,-0.5089302923225184,0.0
2018-10-09,-0.31178059288791715,-0.8617773776606005,-0.0,-0.5283583049321586,1.0,-0.513311041090605,0.0
2018-10-10,-0.3119696580097711,-0.8614682437644637,-0.0,-0.5284456158395474,1.0,-0.5123103625610697,0.0
2018-10-11,-0.24783816689039428,-0.8539006649392813,-0.0,-0.5034183498267412,1.0,-0.5166546998407892,0.0
2018-10-12,-0.2518105334524947,-0.8492403463897192,-0.0,-0.48472988381768317,1.0,-0.49597830441616075,0.0
2018-10-15,-0.21487322201607914,-0.8935683364254793,-0.0,-0.48188002473716757,1.0,-0.5018243661100803,0.0
2018-10-16,-0.2078284315244677,-0.9086063160504539,-0.0,-0.4814826293116806,1.0,-0.5012551523228066,0.0
2018-10-17,-0.18966148215919487,-0.8761512656297651,-0.0,-0.4764562366575175,1.0,-0.5074107959743824,0.0
2018-10-18,-0.18895428623707727,-0.8749046994602178,-0.0,-0.47805800372053314,1.0,-0.5076697874416761,0.0
2018-10-19,-0.17265904000968463,-0.8662913867199322,-0.0,-0.479874099630773,1.0,-0.5075963924701895,0.0
2018-10-22,-0.1726675347485086,-0.8565545226054567,-0.0,-0.4859340459679617,1.0,-0.5130666505163067,0.0
2018-10-23,-0.17327721932905413,-0.8564551289814702,-0.0,-0.4853154898873682,1.0,-0.5126862056436963,0.0
2018-10-24,-0.17426183504148365,-0.8702110785749145,-0.0,-0.4903611517813567,1.0,-0.5154343582235236,0.0
2018-10-25,-0.1451994791050077,-0.8335799692198413,-0.0,-0.49242334556647327,1.0,-0.4884278442050432,0.0
