Date,DXC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.33545328071321084,-0.42900542290111016,-0.24065188381931232,-0.4682433775304506,-0.36586127594332923,0.0
2018-09-25,1.0,-0.3338662707702849,-0.4372466167989494,-0.23419745332039058,-0.4752184091817506,-0.3744932335978987,0.0
2018-09-26,1.0,-0.3346277947517204,-0.4381942263213501,-0.2358299306130607,-0.4748293880814368,-0.371976813911653,0.0
2018-09-27,1.0,-0.3348464085874158,-0.4373358456092269,-0.23606828822656162,-0.47470594952609346,-0.3718739294278862,0.0
2018-09-28,1.0,-0.3323715934411244,-0.4403816488601954,-0.2365023138890476,-0.474975718448266,-0.3724218705364795,0.0
2018-10-01,1.0,-0.33303811210787954,-0.4397177304154048,-0.23638649220044566,-0.47537283583795215,-0.3724644306039655,0.0
2018-10-02,1.0,-0.33368565388790494,-0.4334685482488717,-0.23861623721647718,-0.47671827686682283,-0.3741644289550363,0.0
2018-10-03,1.0,-0.3335808533729365,-0.43191294910607186,-0.2384760381561661,-0.4770663163306106,-0.3750214200034272,0.0
2018-10-04,1.0,-0.33479886944357207,-0.42941159676820734,-0.23873012247694633,-0.47851657292945443,-0.3734547634681817,0.0
2018-10-05,1.0,-0.3274817196346772,-0.42370614846217314,-0.2326229834694284,-0.48328449085270436,-0.3781261558596751,0.0
2018-10-08,1.0,-0.3285632839224629,-0.4261687571265678,-0.23349486887115165,-0.48323831242873433,-0.3791619156214367,0.0
2018-10-09,1.0,-0.3301106548026466,-0.42639174081679215,-0.23673853524982888,-0.48189025781428246,-0.3767967145790554,0.0
2018-10-10,1.0,-0.3300250969655487,-0.42647729865389006,-0.2365674195756331,-0.48197581565138037,-0.3768537531371207,0.0
2018-10-11,1.0,-0.30534585919588436,-0.42107029021976183,-0.20729184141363308,-0.47749259072862493,-0.38472292121008783,0.0
2018-10-12,1.0,-0.3112249134948097,-0.41414532871972315,-0.20786159169550172,-0.4656608996539792,-0.36927335640138403,0.0
2018-10-15,1.0,-0.30950734419518133,-0.41603275151448094,-0.2054714945644657,-0.4659898757987331,-0.36920140521700645,0.0
2018-10-16,1.0,-0.3084732634374395,-0.4203435779689618,-0.20224625854103848,-0.46615397383053475,-0.36913884201499353,0.0
2018-10-17,1.0,-0.303101839143563,-0.4071644249245127,-0.19832555586055448,-0.46486412297556956,-0.37150699972550094,0.0
2018-10-18,1.0,-0.30376757469244287,-0.40844683655536035,-0.1976878295254833,-0.46441124780316345,-0.3717322056239016,0.0
2018-10-19,1.0,-0.29731058020477813,-0.4006006825938566,-0.19295563139931737,-0.4677679180887372,-0.371740614334471,0.0
2018-10-22,1.0,-0.2988069562368615,-0.39687133145868025,-0.1888394441562696,-0.47096562832728167,-0.3745939010073985,0.0
2018-10-23,1.0,-0.3002511191178076,-0.39641336390435633,-0.19221530734796374,-0.4678731302543946,-0.37280270771918333,0.0
