Date,ADP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.33480198912679393,-0.39115199299167763,-0.16459251243204248,-0.399268248692381,-0.2867486022004071,0.0
2018-09-25,1.0,-0.33366032475411106,-0.394145132560601,-0.1616542323876397,-0.40183803598626633,-0.29021349097761834,0.0
2018-09-26,1.0,-0.33343660444582135,-0.3939534763638241,-0.1609996643688844,-0.40213771202850285,-0.29122453721632713,0.0
2018-09-27,1.0,-0.3359139118990478,-0.38814482206910783,-0.16273128435395215,-0.4024670331088229,-0.29132151428350234,0.0
2018-09-28,1.0,-0.33503651518670485,-0.3888415782818508,-0.16298934221052358,-0.4023380041805372,-0.2913989316404738,0.0
2018-10-01,1.0,-0.3347529812606474,-0.3894481441329823,-0.16318207629962314,-0.4021991636983119,-0.29159568427030097,0.0
2018-10-02,1.0,-0.33481324694767817,-0.3885031362122816,-0.16367672491675486,-0.40231279522985985,-0.29193877287628095,0.0
2018-10-03,1.0,-0.33458112817864977,-0.3806376661933651,-0.16230799018975084,-0.40604104814767006,-0.2980766748418742,0.0
2018-10-04,1.0,-0.3368089609249987,-0.37676147215196404,-0.1626748567594074,-0.4090228668765808,-0.2956692303721674,0.0
2018-10-05,1.0,-0.3326386208671041,-0.37277756336034995,-0.157982760838801,-0.411861572108581,-0.2977743470989322,0.0
2018-10-08,1.0,-0.33154227832480654,-0.37061984214720933,-0.1543563770984909,-0.41627889040285887,-0.2980949687636579,0.0
2018-10-09,1.0,-0.3341741525314664,-0.3712903142776247,-0.159378136984891,-0.41440374765128307,-0.29468996937015773,0.0
2018-10-10,1.0,-0.33552953287865145,-0.37009393900398924,-0.1609059323124437,-0.41518466091880063,-0.29198301376914165,0.0
2018-10-11,1.0,-0.3399488992696209,-0.3717965261826722,-0.16055436549926447,-0.41938730740444424,-0.2891320618370455,0.0
2018-10-12,1.0,-0.3414201639639176,-0.36917581146719436,-0.1585926858728894,-0.4172085014520316,-0.283570198658477,0.0
2018-10-15,1.0,-0.3393411897609695,-0.3722303525122596,-0.1551002593134612,-0.41741764872012116,-0.2833962361036227,0.0
2018-10-16,1.0,-0.33871630295250316,-0.37450577663671375,-0.1533504492939666,-0.41745827984595635,-0.28333761232349164,0.0
2018-10-17,1.0,-0.3324685234643266,-0.3584891262876765,-0.14757726058756201,-0.41714358387383954,-0.2879053796260969,0.0
2018-10-18,1.0,-0.3317988758615428,-0.3573590376154022,-0.1481217731885348,-0.41814389989572476,-0.28790152343650655,0.0
2018-10-19,1.0,-0.3260759621706368,-0.34944115713346485,-0.14239113943255954,-0.42259646993374805,-0.2882213118899509,0.0
2018-10-22,1.0,-0.32810642656617517,-0.34457118288272337,-0.13647284959154252,-0.4274513771213232,-0.2925465995599281,0.0
2018-10-23,1.0,-0.3292201881258218,-0.3441640538080308,-0.13914736522706586,-0.424951957115404,-0.291089309193891,0.0
2018-10-24,1.0,-0.3291606605467466,-0.34481450572794176,-0.13913967073818376,-0.4253091571200971,-0.29044331487241737,0.0
2018-10-25,1.0,-0.3196461940949296,-0.3280926871807649,-0.13808396661268219,-0.4273078360533201,-0.27848511274448734,0.0
2018-10-26,1.0,-0.3153758429194764,-0.3242264974216581,-0.1329085680285601,-0.43033518445061486,-0.27632883776279255,0.0
2018-10-29,1.0,-0.319055900621118,-0.3230062111801242,-0.13321739130434782,-0.434360248447205,-0.27483229813664595,0.0
2018-10-30,1.0,-0.3179808217816863,-0.32312316788393697,-0.13250857057683707,-0.4345655090177374,-0.2760719431609281,0.0
