Date,IWF,IWM,MTUM,PNTG,SPY,VLUE,VXX
2020-05-29,-0.6660814764798559,-1.4859779428314204,-0.35115912671618277,1.0,-0.9767274364168356,-0.02147197839297772,0.0
2020-06-01,-0.6658714440043213,-1.4855059416636658,-0.3507832193014044,1.0,-0.9761883327331653,-0.02291141519625495,0.0
2020-06-02,-0.6736532367587142,-1.476595744680851,-0.35830692621095517,1.0,-0.9932095971027615,-0.025169760072430963,0.0
2020-06-03,-0.6738943461138021,-1.4757140917115568,-0.3616857543796116,1.0,-0.9915802815626273,-0.02385586890588928,0.0
2020-06-04,-0.6730603546002811,-1.4846052691243823,-0.3498390241690473,1.0,-0.9968258286854396,-0.03024531809731102,0.0
2020-06-05,-0.6658659293840367,-1.4818021121334362,-0.3448307120518515,1.0,-0.9959660970856185,-0.04401033404342111,0.0
2020-06-08,-0.6739396688591518,-1.4550691766840553,-0.38639147198911317,1.0,-0.9956452710365161,-0.025175776820140622,0.0
2020-06-09,-0.6761144619291641,-1.4524964854201623,-0.38823636116275906,1.0,-0.9952383111877011,-0.02281075688177407,0.0
2020-06-10,-0.6884337677671315,-1.446846192271014,-0.40220698424231416,1.0,-0.9978656736751282,-0.00576722219699378,0.0
2020-06-11,-0.6781086610593317,-1.4651057058422368,-0.3798590588770175,1.0,-1.001727665378495,-0.021686746987951807,0.0
2020-06-12,-0.6683130528489964,-1.4194692649634055,-0.40290063311032287,1.0,-0.978626913923937,-0.02083426878002784,0.0
2020-06-15,-0.6685254305886584,-1.4282951837028375,-0.39722084813598957,1.0,-0.9816072311912578,-0.0213607950712776,0.0
2020-06-16,-0.6762534881627509,-1.4081375461337655,-0.39188945899720945,1.0,-0.9924385633270322,-0.03213610586011342,0.0
2020-06-17,-0.67411838790932,-1.398704569989205,-0.3947912918315941,1.0,-0.9931180280676503,-0.037333573227779776,0.0
2020-06-18,-0.6752878733357324,-1.3966354803886292,-0.39632061892767184,1.0,-0.9934328895286074,-0.03629902842749191,0.0
2020-06-19,-0.6763700170970934,-1.3963376226041573,-0.3967875461171601,1.0,-0.9937910555205615,-0.03594888868892288,0.0
2020-06-22,-0.6806919542301109,-1.3980088296242903,-0.3878727813316515,1.0,-1.0021173078655734,-0.03621947923236327,0.0
2020-06-23,-0.6774905422446407,-1.3941181769050621,-0.38727256350207173,1.0,-1.0019816249324447,-0.04278508376869033,0.0
2020-06-24,-0.6751615381139577,-1.391125570466766,-0.3983552482942479,1.0,-1.0045637341285978,-0.049342551172563365,0.0
2020-06-25,-0.6773434672457473,-1.4014205573651828,-0.39354867897213175,1.0,-1.0125769091567138,-0.03922366992399566,0.0
2020-06-26,-0.6779377150099583,-1.4031776208582292,-0.3943056309976462,1.0,-1.013534311062828,-0.03757016114430563,0.0
2020-06-29,-0.6702180488465532,-1.4006591124554195,-0.3952417498081351,1.0,-1.0088483589905648,-0.03950160263644982,0.0
