Date,GBL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.331047741108619,-0.7929189362383852,-0.0,-0.5521948093559756,-0.5279397628965076,0.0
2018-09-25,1.0,-0.33021257494629513,-0.7939016961108083,-0.0,-0.552983423642951,-0.5291609221199781,0.0
2018-09-26,1.0,-0.32933440256615876,-0.79355252606255,-0.0,-0.5534562951082598,-0.5313552526062549,0.0
2018-09-27,1.0,-0.3311540556997725,-0.7890907925519982,-0.0,-0.5534403743229819,-0.53116687497997,0.0
2018-09-28,1.0,-0.33050249967952827,-0.7896103063709781,-0.0,-0.5533585437764389,-0.5312139469298808,0.0
2018-10-01,1.0,-0.3439822662667884,-0.8010496805320121,-0.0,-0.5712283218150997,-0.5435845612204981,0.0
2018-10-02,1.0,-0.34258407777193906,-0.831614555964267,-0.0,-0.56926563321072,-0.5408236994219654,0.0
2018-10-03,1.0,-0.3433416919625181,-0.8179358585192028,-0.0,-0.5808037481852976,-0.5574105846641151,0.0
2018-10-04,1.0,-0.34894010433863826,-0.8111998943406195,-0.0,-0.5881925642210922,-0.5535230799709436,0.0
2018-10-05,1.0,-0.3248169135434271,-0.8052821685389535,-0.0,-0.6071511415979057,-0.5764986579182823,0.0
2018-10-08,1.0,-0.32149235959515776,-0.8013494741020044,-0.0,-0.6095455447509427,-0.5751471852880863,0.0
2018-10-09,1.0,-0.3138603661981192,-0.805237098328515,-0.0,-0.6175190243578241,-0.5864154454524309,0.0
2018-10-10,1.0,-0.31484188147754455,-0.8044113739038001,-0.0,-0.6180906191868192,-0.5844738240765347,0.0
2018-10-11,1.0,-0.24851099449470396,-0.790476803708831,-0.0,-0.5926402884646341,-0.5878432761340588,0.0
2018-10-12,1.0,-0.24531309781915572,-0.7853590103303151,-0.0,-0.5818773115674022,-0.5758194107894402,0.0
2018-10-15,1.0,-0.2067906172997536,-0.8314826074434383,-0.0,-0.5795385452334475,-0.5823226343242984,0.0
2018-10-16,1.0,-0.2002436131679328,-0.8448568772638395,-0.0,-0.5788056543898451,-0.5814982209827867,0.0
2018-10-17,1.0,-0.1777805816667718,-0.8060059302252224,-0.0,-0.5766513153744243,-0.5939688347738312,0.0
2018-10-18,1.0,-0.17788294683704053,-0.8068149550402272,-0.0,-0.5763054109480991,-0.5941000157753589,0.0
2018-10-19,1.0,-0.1747296528173022,-0.8133181559476381,-0.0,-0.5781002972238032,-0.5958388667552015,0.0
2018-10-22,1.0,-0.17558121145026095,-0.8142021192471929,-0.0,-0.5777320891981654,-0.5955400917286099,0.0
2018-10-23,1.0,-0.18395433645156176,-0.8175360710321864,-0.0,-0.5745996511812271,-0.5949579831932773,0.0
2018-10-24,1.0,-0.1840754789149906,-0.8280049724285213,-0.0,-0.5784591846492206,-0.5969145443534248,0.0
2018-10-25,1.0,-0.15004167824395664,-0.7849093884103611,-0.0,-0.58488469019172,-0.5674415732765274,0.0
2018-10-26,1.0,-0.14123083514398505,-0.7744897022370475,-0.0,-0.5844171741591946,-0.5601493405147352,0.0
2018-10-29,1.0,-0.13069325041156027,-0.7773916224620451,-0.0,-0.5797207487348333,-0.560819462227913,0.0
2018-10-30,1.0,-0.12029387556016219,-0.7779166539645765,-0.0,-0.5805566564033777,-0.5697649605219035,0.0
2018-10-31,1.0,-0.12470865998728699,-0.7586645276508157,-0.0,-0.5785331597905379,-0.5650028755637618,0.0
2018-11-01,1.0,-0.12339627208908253,-0.759410554345195,-0.0,-0.5782498184458968,-0.5648148148148148,0.0
2018-11-02,1.0,-0.1301547167539582,-0.7296369875383781,-0.0,-0.5894286918307146,-0.5608331828306544,0.0
2018-11-05,1.0,-0.13241499879430912,-0.7252531950807812,-0.0,-0.5901856763925729,-0.5663732818905233,0.0
2018-11-06,1.0,-0.14740358335863954,-0.744123899180079,-0.0,-0.5878833890069846,-0.5573641056787125,0.0
2018-11-07,1.0,-0.15144711346230738,-0.7545289576477102,-0.0,-0.6020668655614678,-0.5676191062036724,0.0
2018-11-08,1.0,-0.1336546086744342,-0.7532483377051181,-0.0,-0.5940645397425731,-0.5691453669249069,0.0
2018-11-09,1.0,-0.1344563459367085,-0.7535780768409167,-0.0,-0.593976013915591,-0.5696542463914066,0.0
2018-11-12,1.0,-0.13364588407208963,-0.7482038480272771,-0.0,-0.5945871894788115,-0.5678580126643936,0.0
