Date,CATY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.13448806982462777,-0.6990299132596535,-0.08455157132434403,-0.36484989326343664,-0.41927202961601856,0.0
2018-09-25,1.0,-0.13376071843977386,-0.7007222267305039,-0.08271795287943952,-0.3664151045470529,-0.4213530255078579,0.0
2018-09-26,1.0,-0.13397349202055722,-0.7010549093859888,-0.08331079253448744,-0.3661888017311334,-0.42034081687855024,0.0
2018-09-27,1.0,-0.1330749003768061,-0.7068502805714441,-0.08202987340399577,-0.3673452790804847,-0.4215077665428718,0.0
2018-09-28,1.0,-0.13083579741203918,-0.709627539809565,-0.08254889726826356,-0.3677128828364485,-0.42199495429020967,0.0
2018-10-01,1.0,-0.13121558201991157,-0.7091392453137291,-0.08263027968423622,-0.3678485201964029,-0.42194069934622797,0.0
2018-10-02,1.0,-0.1316260647821605,-0.7075579187238891,-0.08331072649340784,-0.3681026531387337,-0.422196299712441,0.0
2018-10-03,1.0,-0.13144050330838486,-0.7021640091116174,-0.08260114979932748,-0.37005098166829375,-0.4255613407094045,0.0
2018-10-04,1.0,-0.12991598018555517,-0.719067297955609,-0.08169353293740934,-0.3688661430252607,-0.4372861873614494,0.0
2018-10-05,1.0,-0.11765668913203635,-0.7153810472318481,-0.07154356189800541,-0.37640863325056617,-0.44759747878523287,0.0
2018-10-08,1.0,-0.11623028090346836,-0.7135384028553524,-0.06925864370759884,-0.37827970465629507,-0.4472658910715745,0.0
2018-10-09,1.0,-0.1134780827529701,-0.7165642496244709,-0.05975693021985525,-0.3851973235012973,-0.45612453912331014,0.0
2018-10-10,1.0,-0.1132230050794691,-0.7168332514064122,-0.05950625375498389,-0.38519307444426243,-0.4561417881915998,0.0
2018-10-11,1.0,-0.07934555953590333,-0.7222905416243383,-0.02141367695022189,-0.37921723787627654,-0.47112762658397045,0.0
2018-10-12,1.0,-0.07364361844571797,-0.72976808955064,-0.015987360077124955,-0.3827058004391838,-0.4758448931498045,0.0
2018-10-15,1.0,-0.04132632430246664,-0.7815608572583906,-0.0,-0.38582019140045826,-0.48704677180212963,0.0
2018-10-16,1.0,-0.037801984469370144,-0.787559318377912,-0.0,-0.3848953839516825,-0.48603321829163076,0.0
2018-10-17,1.0,-0.021972461181985245,-0.761552187924468,-0.0,-0.3839720883159773,-0.49583189069699307,0.0
2018-10-18,1.0,-0.021075910580586717,-0.7599051450800672,-0.0,-0.3868801790519837,-0.4966028083451014,0.0
2018-10-19,1.0,-0.0126145266232904,-0.7604036648519452,-0.0,-0.3859779577745319,-0.4966936661797902,0.0
2018-10-22,1.0,-0.012982875348466748,-0.7562724014336918,-0.0,-0.38768087083499275,-0.4980751360679676,0.0
2018-10-23,1.0,-0.005949350127294655,-0.7637947206217339,-0.0,-0.4018491223368619,-0.5083210505158783,0.0
2018-10-24,1.0,-0.003802383183826483,-0.7608782969607712,-0.0,-0.4024099611728478,-0.5106439951800776,0.0
2018-10-25,1.0,-0.0,-0.7528206217313971,-0.0,-0.39873636146433405,-0.5031458228251348,0.0
2018-10-26,1.0,-0.0,-0.7504838153813526,-0.0,-0.3987434055300761,-0.5018159645820631,0.0
2018-10-29,1.0,-0.0,-0.7525827674584512,-0.0,-0.38864374983486144,-0.5009644093323117,0.0
2018-10-30,1.0,-0.0,-0.7537985818627713,-0.0,-0.38622914112064827,-0.5256437596630592,0.0
2018-10-31,1.0,-0.0,-0.74108444915816,-0.0,-0.38671616067877507,-0.523664324539308,0.0
2018-11-01,1.0,-0.0,-0.7479532628566886,-0.0,-0.381103780833532,-0.520440876453912,0.0
2018-11-02,1.0,-0.0,-0.7295194387297569,-0.0,-0.38943398217017466,-0.5185683388721845,0.0
2018-11-05,1.0,-0.0,-0.7494711233340385,-0.0,-0.3912629574783161,-0.5036492489951343,0.0
2018-11-06,1.0,-0.0,-0.7484855699283126,-0.0,-0.39200592545565166,-0.5047747533264556,0.0
2018-11-07,1.0,-0.0,-0.7487176775421712,-0.0,-0.39080429379726084,-0.5044682988736714,0.0
2018-11-08,1.0,-0.0,-0.746472952736253,-0.0,-0.37629719149830543,-0.5044531434726637,0.0
2018-11-09,1.0,-0.0,-0.7462886570850522,-0.0,-0.37709871515278914,-0.5041120365747918,0.0
2018-11-12,1.0,-0.0,-0.7380278738342241,-0.0,-0.3794142303258933,-0.5022791574976423,0.0
2018-11-13,1.0,-0.0,-0.7338224962922488,-0.0,-0.37194598392006867,-0.49618817162334455,0.0
2018-11-14,1.0,-0.0,-0.7341185053937151,-0.0,-0.3745114388451717,-0.49702954817864403,0.0
2018-11-15,1.0,-0.0,-0.735162081745576,-0.0,-0.3739886203476536,-0.5008613039619982,0.0
2018-11-16,1.0,-0.0,-0.7400727691542549,-0.0,-0.3769337486584823,-0.5006151349370469,0.0
2018-11-19,1.0,-0.0,-0.7399816777908651,-0.0,-0.37683549273655276,-0.5006412773197225,0.0
2018-11-20,1.0,-0.0,-0.7266233935507416,-0.0,-0.36719584995177396,-0.5129689007064466,0.0
2018-11-21,1.0,-0.0,-0.725253100644727,-0.0,-0.36640687708759484,-0.49760492996038425,0.0
2018-11-23,1.0,-0.0,-0.7142820174417099,-0.0,-0.37339233496364155,-0.5001164505861346,0.0
2018-11-26,1.0,-0.0,-0.7137347276868916,-0.0,-0.37404224477117415,-0.500724787740733,0.0
2018-11-27,1.0,-0.0,-0.7137431206883187,-0.0,-0.3712373717799654,-0.4987985427486242,0.0
2018-11-28,1.0,-0.0,-0.7138575230614196,-0.0,-0.37130823492932996,-0.49874680240820646,0.0
