Date,DEA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23983238212761582,-0.5923440793871151,-0.0,-0.4189932644351895,-0.3196822458738239,0.0
2018-09-25,1.0,-0.23685913196511296,-0.5996273195476074,-0.0,-0.4245969098579156,-0.3270012163875876,0.0
2018-09-26,1.0,-0.23793130225454923,-0.6006522920818989,-0.0,-0.4246628530013201,-0.3252400797245878,0.0
2018-09-27,1.0,-0.23676012461059193,-0.6068535825545172,-0.0,-0.4258826583592939,-0.3265835929387331,0.0
2018-09-28,1.0,-0.23699241873507113,-0.6067089001973206,-0.0,-0.42590092429120363,-0.32672136255062834,0.0
2018-10-01,1.0,-0.2367899947889526,-0.6121156852527359,-0.0,-0.42733194372068783,-0.32931214174048984,0.0
2018-10-02,1.0,-0.23616871429689335,-0.6181756527636487,-0.0,-0.4260375094556173,-0.3280903565745885,0.0
2018-10-03,1.0,-0.23677134727334428,-0.6206437465737332,-0.0,-0.425770746860887,-0.3273031038713551,0.0
2018-10-04,1.0,-0.24426341156747697,-0.6146531852472757,-0.0,-0.4363998323554065,-0.32413034367141663,0.0
2018-10-05,1.0,-0.24619988973773332,-0.6206452967892678,-0.0,-0.43669108188285943,-0.3217820482528681,0.0
2018-10-08,1.0,-0.24361225398988445,-0.6176262480672974,-0.0,-0.43871694750910667,-0.3206582981734322,0.0
2018-10-09,1.0,-0.23672362497037994,-0.6206787604328481,-0.0,-0.44535425607540613,-0.33013875358732,0.0
2018-10-10,1.0,-0.2381679389312977,-0.6198999736772834,-0.0,-0.4462753356146354,-0.3279020794946038,0.0
2018-10-11,1.0,-0.18914566184365253,-0.6108696763638223,-0.0,-0.4279104248683471,-0.3284421493941408,0.0
2018-10-12,1.0,-0.19038359554534204,-0.6058991388671431,-0.0,-0.4159953534180156,-0.31303820803555643,0.0
2018-10-15,1.0,-0.15506988564167723,-0.650851334180432,-0.0,-0.41527318932655655,-0.32007623888182973,0.0
2018-10-16,1.0,-0.14599866878296042,-0.6751318416875736,-0.0,-0.4172085402693154,-0.3216681173519021,0.0
2018-10-17,1.0,-0.1369880341015457,-0.6577449467479572,-0.0,-0.4128867413797465,-0.3221685344936629,0.0
2018-10-18,1.0,-0.13714921936283814,-0.6585946000657912,-0.0,-0.4124598294491258,-0.3222247526506238,0.0
2018-10-19,1.0,-0.12493097043024248,-0.6511371052763694,-0.0,-0.41385109694261757,-0.3202218986896932,0.0
2018-10-22,1.0,-0.1249466736931918,-0.6459384175261613,-0.0,-0.41612085623227685,-0.3224422193781525,0.0
2018-10-23,1.0,-0.12272236045138102,-0.6469878609665988,-0.0,-0.41908567694588955,-0.324436402020659,0.0
2018-10-24,1.0,-0.1214856912940703,-0.6433385304028567,-0.0,-0.42154101493738366,-0.3283458230649298,0.0
2018-10-25,1.0,-0.09312275383223724,-0.6107131506246486,-0.0,-0.43527369630589446,-0.30569884849522044,0.0
2018-10-26,1.0,-0.08491297813545352,-0.6024385514131962,-0.0,-0.4362970863431425,-0.3003587530906094,0.0
2018-10-29,1.0,-0.08115303628046566,-0.6039402667183,-0.0,-0.4359706658276255,-0.2992472832006196,0.0
2018-10-30,1.0,-0.06609927014378894,-0.6062656094663077,-0.0,-0.4386896535001576,-0.3137169321791421,0.0
2018-10-31,1.0,-0.06901618809019079,-0.5931296974368857,-0.0,-0.4367652726922336,-0.3100308344575063,0.0
2018-11-01,1.0,-0.05056762033310034,-0.6095832630335752,-0.0,-0.4379956132950903,-0.3121550290438429,0.0
2018-11-02,1.0,-0.05349350213398552,-0.594135136431209,-0.0,-0.4413034095813552,-0.30878051119742966,0.0
2018-11-05,1.0,-0.05797345793492136,-0.5864543943736603,-0.0,-0.44360413304752044,-0.3205038657000409,0.0
2018-11-06,1.0,-0.06950873706405565,-0.6004217057269576,-0.0,-0.4408763723613097,-0.312765080826931,0.0
2018-11-07,1.0,-0.06981031387959055,-0.6008344248775045,-0.0,-0.4417357977975064,-0.31327317712123415,0.0
2018-11-08,1.0,-0.059996143277250155,-0.5999855372896881,-0.0,-0.43715952369474037,-0.3132864098732102,0.0
2018-11-09,1.0,-0.05933694996986136,-0.6001205545509343,-0.0,-0.43831223628691984,-0.31332127787823993,0.0
2018-11-12,1.0,-0.058858844435906055,-0.589476970366457,-0.0,-0.4421497526535709,-0.3109360741559003,0.0
2018-11-13,1.0,-0.037832944203554576,-0.5891266021823033,-0.0,-0.44711011578596277,-0.30833373040453615,0.0
2018-11-14,1.0,-0.037902611015818564,-0.5890508862206976,-0.0,-0.4470888126548504,-0.3082713931770535,0.0
