Date,CIIC,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-10-01,1.0,-0.006881291640324855,-0.024546515586247142,-0.07627778047950202,-0.10270874872343529,-0.005361571755094101,0.0
2020-10-02,1.0,-0.0065406358276092645,-0.023390675338885173,-0.07588596437906511,-0.10345875630660749,-0.006443377302291654,0.0
2020-10-05,1.0,-0.004786723524194822,-0.024516771755901397,-0.0743035560253186,-0.10352200799407126,-0.007787537510174825,0.0
2020-10-06,1.0,-0.004954342335340975,-0.02338741014183019,-0.0736472702545172,-0.10385904410336116,-0.008439382164367591,0.0
2020-10-07,1.0,-0.004247985241285562,-0.0242135158753277,-0.0734173220701039,-0.1030682590542771,-0.008750849597048258,0.0
2020-10-08,1.0,-0.004220995815392079,-0.02360361453089939,-0.07324883255503668,-0.10329310449390502,-0.00856328461398508,0.0
2020-10-09,1.0,-0.004827636398922879,-0.023750030324349237,-0.07350622255646394,-0.1031876955920526,-0.007702384706824191,0.0
2020-10-12,1.0,-0.005642724525829116,-0.024014950186270582,-0.07363452133920662,-0.10360770322909461,-0.006577111167740605,0.0
2020-10-13,1.0,-0.004828397772628565,-0.02451807009668927,-0.07365126351162819,-0.10317970617137173,-0.006999963605041915,0.0
2020-10-14,1.0,-0.004876569418329593,-0.02454054709771335,-0.0738642566870868,-0.1029417116516043,-0.006853884878995572,0.0
2020-10-15,1.0,-0.005278613726822638,-0.024924764585962527,-0.07388845743131735,-0.10304824774293757,-0.0063343364721871655,0.0
2020-10-16,1.0,-0.005303204980401198,-0.024950547916944767,-0.07388080531048626,-0.10305450044294502,-0.006358991784279698,0.0
2020-10-19,1.0,-0.005424823116785398,-0.025000303401740313,-0.07387225573125887,-0.10302309494047257,-0.006286484059272564,0.0
2020-10-20,1.0,-0.004716695160840517,-0.024917245644028956,-0.07369684624058784,-0.10221527045214798,-0.006959853527821227,0.0
2020-10-21,1.0,-0.005657605594473515,-0.024524384765743562,-0.07177631818568116,-0.10464142192868503,-0.007478723275098036,0.0
2020-10-22,1.0,-0.00604735883424408,-0.02376442015786278,-0.07122040072859745,-0.10544019429265332,-0.007856709168184577,0.0
2020-10-23,1.0,-0.005320311930617302,-0.024548745232368874,-0.07079173043752884,-0.10545878580278405,-0.008551368947841509,0.0
2020-10-26,1.0,-0.005600709504197495,-0.02505132971291808,-0.07073173694888897,-0.1057817302669145,-0.007738941332264217,0.0
2020-10-27,1.0,-0.004671876516843025,-0.02498543830696049,-0.07053926803222987,-0.10576643044364624,-0.007523541403747208,0.0
2020-10-28,1.0,-0.003446978432110303,-0.02477212316879271,-0.07048099913825538,-0.10575184182738405,-0.009272857472296732,0.0
