Date,IWF,IWM,MTUM,RBA,SPY,VLUE,VXX
2018-09-24,-0.2680519181512073,-0.6149595648545199,-0.06570351397242927,1.0,-0.4391170460759202,-0.4901430339309868,0.0
2018-09-25,-0.26732359466390065,-0.6168784395078803,-0.06381997867865272,1.0,-0.4408332613017547,-0.4924078716109142,0.0
2018-09-26,-0.2684923609109254,-0.6185356010377631,-0.06612856731046411,1.0,-0.4405015854713174,-0.4890170077832229,0.0
2018-09-27,-0.2686420891822558,-0.618049750670164,-0.06632461879918139,1.0,-0.44046349407661484,-0.48894589686680306,0.0
2018-09-28,-0.2685921826357662,-0.618009915830739,-0.06661478150582266,1.0,-0.44038971520811715,-0.4888735155078981,0.0
2018-10-01,-0.2704402515723271,-0.6170446021579828,-0.066268536149097,1.0,-0.4419248745023369,-0.48929663608562696,0.0
2018-10-02,-0.27115123893039494,-0.6108114345054375,-0.06865318602705744,1.0,-0.44324573802174977,-0.49072605071105085,0.0
2018-10-03,-0.27082672510741373,-0.6040831627209551,-0.06770668127685343,1.0,-0.44580293549410305,-0.4951411517056432,0.0
2018-10-04,-0.2728058798097709,-0.6002882259691599,-0.06819426430321372,1.0,-0.4482490272373541,-0.4927511168756305,0.0
2018-10-05,-0.26348130706943085,-0.5953023603055189,-0.05897892379256876,1.0,-0.45351174409923617,-0.5001722850743697,0.0
2018-10-08,-0.26234310825171614,-0.5936755033460666,-0.05373811643737255,1.0,-0.460637045121636,-0.5017376568917483,0.0
2018-10-09,-0.26499683671708746,-0.59461091620176,-0.058664519468568474,1.0,-0.4588773221372289,-0.49856214413067235,0.0
2018-10-10,-0.26683211678832114,-0.613868613138686,-0.05074452554744525,1.0,-0.46908029197080287,-0.5191824817518248,0.0
2018-10-11,-0.24798873692679,-0.6111079186300424,-0.027008389840248247,1.0,-0.46296402712331913,-0.5241351568785196,0.0
2018-10-12,-0.2555906004034893,-0.6063421703179609,-0.024692410422527206,1.0,-0.4473616912454181,-0.5074872844031484,0.0
2018-10-15,-0.2406350288262191,-0.6340632188804635,-0.0023856181306977937,1.0,-0.44934821504643435,-0.5135611030643833,0.0
2018-10-16,-0.23522885671208715,-0.6471140443205415,-0.0,1.0,-0.44926464313145387,-0.5130998776775808,0.0
2018-10-17,-0.2197311933555936,-0.6190689974466175,-0.0,1.0,-0.446449114733859,-0.5206655630068184,0.0
2018-10-18,-0.22128174123337363,-0.6236888726413767,-0.0,1.0,-0.44526306909254526,-0.5218638395995613,0.0
2018-10-19,-0.2100279329608939,-0.615782122905028,-0.0,1.0,-0.44558659217877095,-0.521927374301676,0.0
2018-10-22,-0.21007511658428976,-0.6115997877747061,-0.0,1.0,-0.44734858004523753,-0.5233866689006171,0.0
2018-10-23,-0.2104704732653916,-0.6115314812229512,-0.0,1.0,-0.4469635627530364,-0.5231606868630462,0.0
2018-10-24,-0.20904348796340208,-0.6098356997405786,-0.0,1.0,-0.44673491589723563,-0.5238639850483975,0.0
2018-10-25,-0.18489519615039557,-0.5783106326292037,-0.0,1.0,-0.4520294701356605,-0.5034390887094582,0.0
2018-10-26,-0.1720624309243335,-0.5692104482842277,-0.0,1.0,-0.4570989567889586,-0.4972639296978192,0.0
2018-10-29,-0.16647837314396385,-0.5705831719388853,-0.0,1.0,-0.45486335270066713,-0.49798256939961266,0.0
2018-10-30,-0.150039065657246,-0.5729450117196971,-0.0,1.0,-0.45763396826252123,-0.5135652127057683,0.0
2018-10-31,-0.15008754208754208,-0.5725521885521885,-0.0,1.0,-0.4575353535353535,-0.5134006734006733,0.0
2018-11-01,-0.15315145306518574,-0.5708200787189304,-0.0,1.0,-0.4581333908448806,-0.5137758127999137,0.0
2018-11-02,-0.15671281390856406,-0.5530424983902125,-0.0,1.0,-0.46289439793947196,-0.510329469843314,0.0
