Date,IWF,IWM,MTUM,NEWT,SPY,VLUE,VXX
2018-09-24,-0.2814454024879879,-0.8648390706246298,-0.0,1.0,-0.5769104192720331,-0.5677614690976107,0.0
2018-09-25,-0.2809917355371901,-0.8655296170689144,-0.0,1.0,-0.5774916861479701,-0.5686345526982978,0.0
2018-09-26,-0.28259938737195744,-0.8671980501301012,-0.0,1.0,-0.5777148315272883,-0.566219821481506,0.0
2018-09-27,-0.2836032122169563,-0.8642706687730385,-0.0,1.0,-0.577442074776198,-0.5658899420747763,0.0
2018-09-28,-0.2814033931806951,-0.8678636139021578,-0.0,1.0,-0.5782243452478999,-0.5668258935924889,0.0
2018-10-01,-0.2850016518004625,-0.8679550710274199,-0.0,1.0,-0.5819293029402047,-0.5687148992401717,0.0
2018-10-02,-0.28549245052367267,-0.8676776687481417,-0.0,1.0,-0.5819539432385106,-0.5687712690388872,0.0
2018-10-03,-0.286791953414505,-0.8723530968766543,-0.0,1.0,-0.5818885653785071,-0.5676283748014822,0.0
2018-10-04,-0.297246974331693,-0.866238861550738,-0.0,1.0,-0.59672163851576,-0.5647027530256682,0.0
2018-10-05,-0.2770438064964736,-0.8572563822389988,-0.0,1.0,-0.6030263898546406,-0.5738220588722228,0.0
2018-10-08,-0.27383400782856765,-0.855768592848139,-0.0,1.0,-0.6118888078020301,-0.5756650965302196,0.0
2018-10-09,-0.2920654108324099,-0.8708236795272153,-0.0,1.0,-0.6186830529532251,-0.5762398844901111,0.0
2018-10-10,-0.291173702608228,-0.872613605808013,-0.0,1.0,-0.619017208927131,-0.5783140629201398,0.0
2018-10-11,-0.22387962902911995,-0.8543679875478306,-0.0,1.0,-0.5887541345093715,-0.5757506971917764,0.0
2018-10-12,-0.219290082424887,-0.883176017016751,-0.0,1.0,-0.6173889922892848,-0.6037622972613667,0.0
2018-10-15,-0.25645292759135985,-0.8773264502105692,-0.0,1.0,-0.6425757369922566,-0.6199225648689037,0.0
2018-10-16,-0.26361158432708687,-0.8718568994889269,-0.0,1.0,-0.6472572402044293,-0.6244633730834753,0.0
2018-10-17,-0.24104844371635853,-0.8300959513222561,-0.0,1.0,-0.6406338805121862,-0.6314733710006353,0.0
2018-10-18,-0.2450082056892779,-0.8457672319474836,-0.0,1.0,-0.6741999452954048,-0.6540618161925601,0.0
2018-10-19,-0.24501238304898187,-0.857250963126032,-0.0,1.0,-0.6790382498624106,-0.6583998348926803,0.0
2018-10-22,-0.24531545470173627,-0.8534639848719271,-0.0,1.0,-0.6800068763967682,-0.6593776860924876,0.0
2018-10-23,-0.24212340572216473,-0.8560841089279557,-0.0,1.0,-0.6855222337125129,-0.6633229920716993,0.0
2018-10-24,-0.23978379867111924,-0.8521706200296072,-0.0,1.0,-0.685922814748511,-0.6648190863083967,0.0
2018-10-25,-0.20417856905600212,-0.8017338736464492,-0.0,1.0,-0.6860758652760247,-0.6296419318408291,0.0
2018-10-26,-0.19391009831968697,-0.789188122718753,-0.0,1.0,-0.6845220479431785,-0.6206635756798528,0.0
2018-10-29,-0.17715350905880045,-0.7939368173196416,-0.0,1.0,-0.6764013342926287,-0.6228007063902152,0.0
2018-10-30,-0.14319287676674058,-0.8092747674688028,-0.0,1.0,-0.6919665022673861,-0.665618483333885,0.0
