Date,IWF,IWM,MTUM,SPY,UHS,VLUE,VXX
2018-09-24,-0.16653759084951744,-0.7758846657929226,-0.0,-0.49612772548552364,1.0,-0.5401227213153819,0.0
2018-09-25,-0.16984334981237714,-0.7747930192387873,-0.0,-0.49541366370838047,1.0,-0.5381201977485257,0.0
2018-09-26,-0.16873323397913562,-0.7744858420268256,-0.0,-0.49615499254843515,1.0,-0.5412518628912071,0.0
2018-09-27,-0.17283913833685904,-0.767511843398981,-0.0,-0.4972737836307839,1.0,-0.5418466763996067,0.0
2018-09-28,-0.17217852460970087,-0.7681444404719342,-0.0,-0.4972291741151234,1.0,-0.5418603265403409,0.0
2018-10-01,-0.17201862241852692,-0.7713083442759938,-0.0,-0.497821415781306,1.0,-0.5432135609406709,0.0
2018-10-02,-0.1763897601338232,-0.7574752815365774,-0.0,-0.5039579412731129,1.0,-0.549272634943394,0.0
2018-10-03,-0.18086130157584507,-0.7748105377120174,-0.0,-0.5050824010585829,1.0,-0.5465836641405029,0.0
2018-10-04,-0.1854336512138624,-0.7688998525916789,-0.0,-0.5109052074245661,1.0,-0.5430943714088023,0.0
2018-10-05,-0.16767023156885652,-0.7614511248914053,-0.0,-0.5156226595967766,1.0,-0.5509421527216081,0.0
2018-10-08,-0.1644585339593863,-0.7580225498699047,-0.0,-0.5182283099560367,1.0,-0.5499895325537578,0.0
2018-10-09,-0.16021669510041603,-0.7583729909311304,-0.0,-0.5205171949357996,1.0,-0.5539193678728562,0.0
2018-10-10,-0.16435358652318574,-0.7583405773208236,-0.0,-0.524085009442163,1.0,-0.5507029165792392,0.0
2018-10-11,-0.10268415389536743,-0.7481315613458573,-0.0,-0.5017303050571437,1.0,-0.5555006252362811,0.0
2018-10-12,-0.0951536986460573,-0.7517287465860888,-0.0,-0.5021500377709339,1.0,-0.5564239642047766,0.0
2018-10-15,-0.09085631349782294,-0.7540493468795356,-0.0,-0.5015094339622642,1.0,-0.5563715529753266,0.0
2018-10-16,-0.08812516327537663,-0.7584395228004993,-0.0,-0.5006240747728659,1.0,-0.555455574584192,0.0
2018-10-17,-0.07160613766894305,-0.7289481955596194,-0.0,-0.49595679629682543,1.0,-0.5608766465697059,0.0
2018-10-18,-0.07066662853547631,-0.7273143249349386,-0.0,-0.4997569136614522,1.0,-0.5621014099007636,0.0
2018-10-19,-0.052107911419393346,-0.7181112658839582,-0.0,-0.5061545896466441,1.0,-0.5663928134860846,0.0
2018-10-22,-0.052577729778889325,-0.7154265901210709,-0.0,-0.5069629966463934,1.0,-0.5670721309611778,0.0
2018-10-23,-0.055760813960097765,-0.7157107940658216,-0.0,-0.5046609446939123,1.0,-0.5659068947876996,0.0
2018-10-24,-0.053481704374485475,-0.7139693984727623,-0.0,-0.504612938938882,1.0,-0.5666676129105515,0.0
2018-10-25,-0.029584818098947543,-0.6835446534626115,-0.0,-0.5037153669788128,1.0,-0.5455097925471671,0.0
2018-10-26,-0.011975227447111695,-0.6741477584128028,-0.0,-0.5144415214293544,1.0,-0.5397621396470459,0.0
2018-10-29,-0.026944017869607706,-0.6817813765182186,-0.0,-0.5371492391456093,1.0,-0.5462515705709898,0.0
2018-10-30,-0.0,-0.6911855815263306,-0.0,-0.5468318783441284,1.0,-0.5780906786820613,0.0
