Date,BFK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.10614936622130866,-0.2496916752312436,-0.0,-0.191897910243234,-0.16517643028434395,0.0
2018-09-25,1.0,-0.10609357065766707,-0.24977301149504055,-0.0,-0.19197231596799894,-0.1652818940263478,0.0
2018-09-26,1.0,-0.10521442411563985,-0.24942128637322314,-0.0,-0.1924587184279566,-0.16762976045542619,0.0
2018-09-27,1.0,-0.10727017207102216,-0.24574964009049152,-0.0,-0.19296291218207992,-0.16788921642558444,0.0
2018-09-28,1.0,-0.10934629187629856,-0.24535947936878613,-0.0,-0.19384583683912288,-0.16856980957123474,0.0
2018-10-01,1.0,-0.10980196829431668,-0.24495474297099082,-0.0,-0.19416725349088848,-0.16861034299160124,0.0
2018-10-02,1.0,-0.11062821019359936,-0.2421624035868277,-0.0,-0.1952656623091062,-0.16977307474275505,0.0
2018-10-03,1.0,-0.110567178535848,-0.24128276478065203,-0.0,-0.1955237211858875,-0.17030815211790168,0.0
2018-10-04,1.0,-0.111418316704161,-0.23987223300303961,-0.0,-0.19654479572736172,-0.16946300080713023,0.0
2018-10-05,1.0,-0.11325876673023727,-0.242169647612666,-0.0,-0.1954022988505747,-0.1672766008624985,0.0
2018-10-08,1.0,-0.1124875604817954,-0.2410864417830548,-0.0,-0.1954977523077451,-0.16672385985381422,0.0
2018-10-09,1.0,-0.11561259728879954,-0.24228991632733707,-0.0,-0.19512739893132655,-0.16511176399841931,0.0
2018-10-10,1.0,-0.12034799420009669,-0.2433888006628461,-0.0,-0.1997169094800801,-0.16270800248567285,0.0
2018-10-11,1.0,-0.09299010565151768,-0.23417742746939454,-0.0,-0.18705349656213313,-0.1627871876572195,0.0
2018-10-12,1.0,-0.09980142313420488,-0.22978652986927026,-0.0,-0.17572397815654478,-0.14949528379943738,0.0
2018-10-15,1.0,-0.08493666496011626,-0.24394312232663376,-0.0,-0.17279648560717412,-0.14982411520866706,0.0
2018-10-16,1.0,-0.08603483030963947,-0.24262251743167773,-0.0,-0.17330887941574966,-0.15032550147053966,0.0
2018-10-17,1.0,-0.08404619332763046,-0.2386819767059288,-0.0,-0.17213923800750147,-0.15019411725998555,0.0
2018-10-18,1.0,-0.08450773789924267,-0.2400230490615739,-0.0,-0.171468554494567,-0.15036219953901875,0.0
2018-10-19,1.0,-0.07878629604844369,-0.23397587608337278,-0.0,-0.17082605644147747,-0.1485791698630584,0.0
2018-10-22,1.0,-0.07986953386219105,-0.2415754277846981,-0.0,-0.16978627155313708,-0.14779059857077295,0.0
2018-10-23,1.0,-0.0831283010202408,-0.24228258373519668,-0.0,-0.16784765279007974,-0.1469999671948299,0.0
2018-10-24,1.0,-0.08246544835265605,-0.23965088098513135,-0.0,-0.16776380428374926,-0.14763869784502523,0.0
2018-10-25,1.0,-0.06906451870165084,-0.22022489831725017,-0.0,-0.17136932769758353,-0.13436478188053272,0.0
2018-10-26,1.0,-0.06317023332435728,-0.21583691055107632,-0.0,-0.17349638054204747,-0.131504332261488,0.0
