Date,APH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2830609572765627,-0.31981960137723675,-0.17220309393336888,-0.34569128558265844,-0.3039377333785946,0.0
2018-09-25,1.0,-0.28243515395627594,-0.32099094945769535,-0.1708684153058501,-0.3467109892509645,-0.3053890762623444,0.0
2018-09-26,1.0,-0.2819504140258857,-0.320779000024283,-0.16886428207182924,-0.34785459313761197,-0.3088560258371579,0.0
2018-09-27,1.0,-0.2821695639506652,-0.3200689521219773,-0.16907837234145864,-0.3477954744100223,-0.30880353501019714,0.0
2018-09-28,1.0,-0.28081975572444945,-0.32137046839715416,-0.16936600053420103,-0.3477405725663502,-0.3089138722288323,0.0
2018-10-01,1.0,-0.28030707934502697,-0.3226276662941548,-0.1695981730722511,-0.3476264515815558,-0.30929012195714495,0.0
2018-10-02,1.0,-0.28102907951315503,-0.315841896849112,-0.1719991254281758,-0.34929426912518524,-0.3112018074484367,0.0
2018-10-03,1.0,-0.28105639106878205,-0.3160426638159333,-0.1720887290750504,-0.34925532690298594,-0.3111348672222357,0.0
2018-10-04,1.0,-0.28399620982045237,-0.31157219563157507,-0.1724045773706844,-0.3532641706552637,-0.3083408246070118,0.0
2018-10-05,1.0,-0.2859226487104067,-0.31312443785400007,-0.17239954299049517,-0.3527967523154338,-0.3066339305248317,0.0
2018-10-08,1.0,-0.28590179873602334,-0.31312591152163344,-0.17228974234321828,-0.35279533300923677,-0.3066115702479339,0.0
2018-10-09,1.0,-0.28895218619145,-0.3140033109358263,-0.17808452624403545,-0.35066705618852856,-0.3028045574057844,0.0
2018-10-10,1.0,-0.29162199044741205,-0.3128959937615752,-0.18064626181889074,-0.35269032069402473,-0.29905448874159274,0.0
2018-10-11,1.0,-0.2864571995259173,-0.30945988438187844,-0.17316111554555788,-0.3510388699417072,-0.29867208475437196,0.0
2018-10-12,1.0,-0.2871566265060241,-0.30681927710843376,-0.17202409638554217,-0.34874698795180725,-0.29491566265060243,0.0
2018-10-15,1.0,-0.2805485384337784,-0.3172140021652833,-0.16285336220377722,-0.34885119692048594,-0.2964032238662336,0.0
2018-10-16,1.0,-0.2807304573779564,-0.31660371003055604,-0.16336645574188582,-0.34884392368212114,-0.2964656064287948,0.0
2018-10-17,1.0,-0.2765311730828972,-0.30587616794513345,-0.15986809090257367,-0.3482447965206586,-0.29913733362009226,0.0
2018-10-18,1.0,-0.27703413328234056,-0.30681709532460083,-0.15936035949899607,-0.347810498135577,-0.2992637919495172,0.0
2018-10-19,1.0,-0.27726414868964855,-0.3067201796507322,-0.15807831051864593,-0.3482166320265654,-0.2987171217659285,0.0
2018-10-22,1.0,-0.2769440328824738,-0.30786694068728193,-0.15929837977345504,-0.34741671844381783,-0.298188596281604,0.0
2018-10-23,1.0,-0.2769440328824738,-0.30786694068728193,-0.15927448262677438,-0.3474406155904985,-0.298188596281604,0.0
2018-10-24,1.0,-0.27812402989707957,-0.3052272130286315,-0.1553597440122263,-0.34897437734317166,-0.3002364066193854,0.0
2018-10-25,1.0,-0.25577573253193087,-0.2793951915852742,-0.14732813673929376,-0.37784090909090906,-0.2875187828700225,0.0
