Date,BAK,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-11-29,1.0,-0.634032634032634,-0.8337218337218336,-3.416250416250416,-3.23032523032523,-1.9856809856809856,0.0
2019-12-02,1.0,-0.6417710196779963,-0.825134168157424,-3.4506932021466903,-3.269677996422182,-1.9934033989266546,0.0
2019-12-03,1.0,-0.5945279210585334,-0.804776855797264,-3.450213052253869,-3.3202511773940344,-2.0435075128952684,0.0
2019-12-04,1.0,-0.5615263039060736,-0.841724994355385,-3.546963197109957,-3.3403702867464435,-1.9985324000903135,0.0
2019-12-05,1.0,-0.5581081081081081,-0.8342342342342342,-3.546283783783784,-3.333333333333333,-1.9893018018018018,0.0
2019-12-06,1.0,-0.5611486486486487,-0.8359234234234234,-3.5448198198198195,-3.331644144144144,-1.987725225225225,0.0
2019-12-09,1.0,-0.5470008952551477,-0.8193822739480752,-3.5462175470008956,-3.301812891674127,-1.976275738585497,0.0
2019-12-10,1.0,-0.5243055555555556,-0.8200044802867383,-3.5619399641577063,-3.318100358422939,-1.9762544802867386,0.0
2019-12-11,1.0,-0.5253895303217129,-0.8258042820311624,-3.562941374285394,-3.319246721219594,-1.9761237529424953,0.0
2019-12-12,1.0,-0.5236335125448028,-0.8295250896057348,-3.559811827956989,-3.315188172043011,-1.97244623655914,0.0
2019-12-13,1.0,-0.5203705770733341,-0.8317892621944414,-3.5875655765152357,-3.2983591918740927,-1.9238754325259517,0.0
2019-12-16,1.0,-0.5169179229480737,-0.8351758793969848,-3.5850362925739807,-3.2984924623115575,-1.9313232830820768,0.0
2019-12-17,1.0,-0.5030080213903744,-0.8401292335115864,-3.589460784313725,-3.296902852049911,-1.9113190730837788,0.0
2019-12-18,1.0,-0.5047353760445683,-0.84,-3.5893036211699165,-3.2962674094707523,-1.9116434540389973,0.0
2019-12-19,1.0,-0.5066919473566808,-0.8425161722061119,-3.5919027436984163,-3.2975685924604057,-1.9145661387463753,0.0
2019-12-20,1.0,-0.5019083969465649,-0.8464301751234844,-3.610687022900763,-3.332846879209699,-1.9341041760215536,0.0
2019-12-23,1.0,-0.5083873853723999,-0.8637888615522255,-3.5792887497204204,-3.3280026839633194,-1.9037128159248489,0.0
2019-12-24,1.0,-0.5386266094420602,-0.8776824034334765,-3.5876440027106393,-3.375197650779309,-1.915179579850915,0.0
2019-12-26,1.0,-0.5395390872119294,-0.8802530501581564,-3.5886805241753277,-3.3737008585630366,-1.914595571622232,0.0
2019-12-27,1.0,-0.5401987353206865,-0.8818879855465221,-3.586043360433604,-3.369692863595303,-1.9139566395663958,0.0
2019-12-30,1.0,-0.539540672021722,-0.8728362936983821,-3.601991175472339,-3.3818305238149113,-1.9171852019459215,0.0
2019-12-31,1.0,-0.5073429733393583,-0.8888386805241754,-3.6104835065521916,-3.382399457749661,-1.907704473565296,0.0
2020-01-02,1.0,-0.5094979647218453,-0.8917910447761193,-3.6145409317051107,-3.386250565355043,-1.9050203527815466,0.0
2020-01-03,1.0,-0.45493417351187126,-0.9171824012602677,-3.6283335208731855,-3.3546753685158097,-1.897265668954653,0.0
