Date,IWF,IWM,MTUM,SPY,VAPO,VLUE,VXX
2019-07-15,-0.0,-0.45793114543114544,-1.9657335907335907,-2.5286357786357785,1.0,-2.0913770913770913,0.0
2019-07-16,-0.0,-0.47247077791213227,-1.9636436920596534,-2.533333333333333,1.0,-2.0918178153970173,0.0
2019-07-17,-0.0,-0.4721102692245687,-1.9632435918104143,-2.5334515556988557,1.0,-2.091810414315654,0.0
2019-07-18,-0.0,-0.4707397569025195,-1.9752072768252436,-2.5274893342992835,1.0,-2.076068582468003,0.0
2019-07-19,-0.0,-0.4798249878463782,-1.977961432506887,-2.5683033543996108,1.0,-2.0763247447739426,0.0
2019-07-22,-0.0,-0.475,-1.9681229773462783,-2.563430420711974,1.0,-2.0841423948220066,0.0
2019-07-23,-0.0,-0.48584408209621155,-1.9627646629350206,-2.568832643790054,1.0,-2.094832481544577,0.0
2019-07-24,-0.0,-0.4865959342350369,-1.9793472098485463,-2.55770632542318,1.0,-2.075402931886288,0.0
2019-07-25,-0.0,-0.4716965874171114,-1.9834222869157365,-2.5644509137958917,1.0,-2.067038654374899,0.0
2019-07-26,-0.0,-0.4178143590579415,-2.0207807024692364,-2.6125825116127452,1.0,-2.0981990057859994,0.0
2019-07-29,-0.0,-0.40094416408920724,-2.0192902490639755,-2.609148624450594,1.0,-2.1099625590102558,0.0
2019-07-30,-0.0,-0.4048239895697523,-2.020941981747067,-2.6133474576271185,1.0,-2.109517601043025,0.0
2019-07-31,-0.0,-0.34582819564323886,-2.0492396218660094,-2.664529387587341,1.0,-2.1607069461570076,0.0
2019-08-01,-0.0,-0.33963202386872204,-2.0775733465937347,-2.6849825957235205,1.0,-2.185728493286922,0.0
2019-08-02,-0.0,-0.32069536423841055,-2.081705298013245,-2.6919701986754965,1.0,-2.1838576158940395,0.0
2019-08-05,-0.0,-0.3116551269370261,-2.0652818991097925,-2.69205407187603,1.0,-2.1736729310913288,0.0
2019-08-06,-0.0,-0.32640449438202246,-1.979454253611557,-2.567094703049759,1.0,-2.152728731942215,0.0
2019-08-07,-0.0,-0.3718063103252494,-1.9288668991807933,-2.585043393624787,1.0,-2.2251601914186065,0.0
2019-08-08,-0.0,-0.3721119427269769,-1.9270257077774162,-2.5968922876667753,1.0,-2.239342661893915,0.0
