Date,BLCN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.24515260732697658,-0.24633879282813997,-0.22047082439892332,-0.29606733883845066,-0.27311921164286695,0.0
2018-09-25,1.0,-0.24504368854516007,-0.24652658955581414,-0.2202222070129811,-0.29623799420527913,-0.27337850477950404,0.0
2018-09-26,1.0,-0.2457841772585172,-0.2474956073294845,-0.221824156264975,-0.29589484973643976,-0.27088515163270427,0.0
2018-09-27,1.0,-0.24783322689535628,-0.24270139585804215,-0.22320043791624852,-0.2961408630599398,-0.2709378706322416,0.0
2018-09-28,1.0,-0.24676094890510947,-0.24375,-0.22338047445255474,-0.2961222627737226,-0.2710082116788321,0.0
2018-10-01,1.0,-0.24755299002943257,-0.24310388099203725,-0.22316274612699352,-0.2966985329348148,-0.27107622806817405,0.0
2018-10-02,1.0,-0.24764403879064462,-0.24278379920136908,-0.22332002281802626,-0.29681688533941814,-0.27123787792355963,0.0
2018-10-03,1.0,-0.24827491660192846,-0.24770369693369285,-0.22391810994836175,-0.29589178814604944,-0.2691130100991637,0.0
2018-10-04,1.0,-0.2503255282695603,-0.24436322101656197,-0.22412335808109654,-0.29864077669902916,-0.26695602512849803,0.0
2018-10-05,1.0,-0.2492074714347618,-0.24263917713868677,-0.22348165210846804,-0.2986521312746596,-0.2666773097361279,0.0
2018-10-08,1.0,-0.2490253744613911,-0.24225429177210858,-0.22328614093883226,-0.2987483756241023,-0.2665344367690308,0.0
2018-10-09,1.0,-0.2500342044055274,-0.24221279700825465,-0.22554385004788616,-0.2976467368997127,-0.2648333105303963,0.0
2018-10-10,1.0,-0.24994869690129282,-0.24219622865221058,-0.2254600177850742,-0.29762637663314867,-0.26488359896937774,0.0
2018-10-11,1.0,-0.2381766638167664,-0.23702920397786076,-0.21322503712370064,-0.2937047203347882,-0.2678081267155649,0.0
2018-10-12,1.0,-0.2382542813592755,-0.23399533757733343,-0.2134627454496548,-0.2912220927104815,-0.2646149018201381,0.0
2018-10-15,1.0,-0.24227937875931413,-0.2279603195978095,-0.21835443037974683,-0.2918125504982494,-0.26395996049914716,0.0
2018-10-16,1.0,-0.24131893784651295,-0.23207110951493792,-0.21525891674709882,-0.29202487037328,-0.2639222464142219,0.0
2018-10-17,1.0,-0.2371917777678691,-0.22158558879921525,-0.21186516252731083,-0.2917465554911491,-0.26706648236500646,0.0
2018-10-18,1.0,-0.23789450206312032,-0.22283929965428792,-0.21121891379502622,-0.29117876658860264,-0.26726887476301997,0.0
2018-10-19,1.0,-0.23706359102244387,-0.22092091200570002,-0.21094584966156038,-0.2910135375846099,-0.2666102600641254,0.0
2018-10-22,1.0,-0.237921360822906,-0.21886271541167565,-0.20846506657167033,-0.29295987887963665,-0.2682682459812085,0.0
2018-10-23,1.0,-0.23926981300089048,-0.21852181656277828,-0.21153161175422974,-0.2901825467497774,-0.26669634906500445,0.0
2018-10-24,1.0,-0.2389073179419819,-0.2189816773159383,-0.21228042834561525,-0.29000155842999303,-0.2661575795355879,0.0
2018-10-25,1.0,-0.23455971715832502,-0.2111147939454204,-0.21268368136117557,-0.29015578389128277,-0.2612087062203071,0.0
2018-10-26,1.0,-0.23020602009630395,-0.20793298300389174,-0.20610804511774147,-0.295002308656362,-0.2594709878850509,0.0
2018-10-29,1.0,-0.22451395129649515,-0.2109243144904982,-0.20228831948797754,-0.29191416610043175,-0.2622142340486158,0.0
2018-10-30,1.0,-0.2282417968064573,-0.21084839445516756,-0.20450956308124232,-0.2914546411651167,-0.25829092823302335,0.0
2018-10-31,1.0,-0.22888348983299406,-0.2069735373300939,-0.20506927572394773,-0.29073915993608684,-0.2571409810230481,0.0
