Date,IWF,IWM,LFUS,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.6921067298314059,1.0,-0.0,-0.0,-0.0,-0.5420440295388045,-0.0,-0.5031698481259579,-0.29155636059634943,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4544726208722307,-0.0,-0.0
2019-01-03,-0.0,-0.684582298842536,1.0,-0.0,-0.0,-0.0,-0.5574710633982586,-0.0,-0.4995279225093541,-0.28132321572192887,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.45889428961079837,-0.015036542294646292,-0.0
2019-01-04,-0.0,-0.6840428511412967,1.0,-0.0,-0.0,-0.0,-0.563156420669374,-0.0,-0.5042711104887271,-0.27849740932642486,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4569037949866965,-0.014038650049012742,-0.0
2019-01-07,-0.0,-0.6505612993482786,1.0,-0.007745589790834954,-0.02101886921213362,-0.0,-0.6347630258982496,-0.0,-0.45234926809294707,-0.23332309687105468,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.39939263657146756,-0.01296618555293957,-0.0
2019-01-08,-0.0,-0.6385200860097615,1.0,-0.00785009727294447,-0.019318065462985087,-0.0,-0.6375985528516332,-0.0,-0.4578313253012049,-0.23424007645312128,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4020956346632991,-0.015597801972763578,-0.0
2019-01-09,-0.0,-0.6344715004761257,1.0,-0.009012379268126786,-0.010304720446197796,-0.0,-0.6456944633383213,-0.0,-0.45986940552305805,-0.22792817303768192,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3933478438307713,-0.02030336008706298,-0.0
2019-01-10,-0.0,-0.6672129468401107,1.0,-0.010823175936358361,-0.012427873945849979,-0.0,-0.6467274403359624,-0.0,-0.44982758032025677,-0.21052272184096418,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3897367612414217,-0.026972583563795286,-0.0
2019-01-11,-0.0,-0.6671103829612943,1.0,-0.011127039388354153,-0.012116868045600382,-0.0,-0.6463239811591235,-0.0,-0.4495187384804424,-0.21045805174414633,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.38917332241108604,-0.02737388217625776,-0.0
2019-01-14,-0.0,-0.6675197925197925,1.0,-0.011909636909636909,-0.012865137865137865,-0.0,-0.6462598962598962,-0.0,-0.4484370734370734,-0.2088110838110838,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3879675129675129,-0.028733278733278734,-0.0
2019-01-15,-0.0,-0.6335222452234703,1.0,-0.006617572199409509,-0.0663114670648522,-0.0,-0.6685444734788069,-0.0,-0.4315335799368785,-0.21614008891302133,-0.0,-0.020158143007432044,-0.0,-0.0,-0.0,-0.0,-0.3382427800590491,-0.012556419045033428,-0.0
2019-01-16,-0.0,-0.6264982731766777,1.0,-0.0,-0.08942236066905938,-0.0,-0.6718697094873705,-0.0,-0.5007787634590641,-0.18141802668111331,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.31594094941423445,-0.0,-0.0
2019-01-17,-0.0,-0.645517053577507,1.0,-0.0,-0.07682619647355164,-0.0,-0.6479678671114439,-0.0,-0.4961535843147934,-0.16369392062087276,-0.0,-0.040234188848798424,-0.0,-0.0,-0.0,-0.0,-0.33351487507658795,-0.0,-0.0
2019-01-18,-0.0,-0.6353514028874966,1.0,-0.0,-0.08689730318714248,-0.0,-0.6487333151729774,-0.0,-0.4546104603650231,-0.18407790792699535,-0.0,-0.05676246254426587,-0.0,-0.0,-0.0,-0.0,-0.33859983655679654,-0.0,-0.0
2019-01-22,-0.0,-0.6480790116752647,1.0,-0.0,-0.05986967146348085,-0.0,-0.642173499864241,-0.0,-0.4523486288351887,-0.1898927504751561,-0.0,-0.05131686125441216,-0.0,-0.0,-0.0,-0.0,-0.350291881618246,-0.0,-0.0
2019-01-23,-0.0,-0.648700967906266,1.0,-0.0,-0.0609611139412464,-0.0,-0.6422142978434369,-0.0,-0.45294617082696553,-0.19171336389879437,-0.0,-0.05009339446425539,-0.0,-0.0,-0.0,-0.0,-0.3495669893020886,-0.0,-0.0
2019-01-24,-0.0,-0.6481456369923384,1.0,-0.0,-0.06491965556986914,-0.0,-0.6249915248491422,-0.0,-0.46216692657129294,-0.19587768662282187,-0.0,-0.04685063394128416,-0.0,-0.0,-0.0,-0.0,-0.34710827852735776,-0.0,-0.0
2019-01-25,-0.0,-0.6868115002898946,1.0,-0.0,-0.025408410354353532,-0.0,-0.5922376453736229,-0.0,-0.4485863374373316,-0.20633675522662936,-0.0,-0.0622420790559667,-0.0,-0.0,-0.0,-0.0,-0.3889021520411991,-0.0,-0.0
2019-01-28,-0.0,-0.6823360361285026,1.0,-0.0,-0.0375312189948339,-0.0,-0.5909199767354341,-0.0,-0.430941872797564,-0.2097916452837935,-0.0,-0.06626980054055903,-0.0,-0.0,-0.0,-0.0,-0.40346915734373395,-0.0,-0.0
2019-01-29,-0.0,-0.6802641935594265,1.0,-0.0,-0.040963690496560685,-0.0,-0.6027856678416207,-0.0,-0.43530337770781286,-0.20040381917114403,-0.0,-0.06584305807467232,-0.0,-0.0,-0.0,-0.0,-0.39663255877622255,-0.0,-0.0
2019-01-30,-0.0,-0.6800315273636955,1.0,-0.0,-0.030122339878688183,-0.0,-0.5952846029950996,-0.0,-0.4091360816969946,-0.22442685308933896,-0.0,-0.08149138137829409,-0.0,-0.0,-0.0,-0.0,-0.4064288406840067,-0.0,-0.0
2019-01-31,-0.0,-0.5835333561930888,1.0,-0.0,-0.3959690631310245,-0.0,-0.6128319426982132,-0.0,-0.35916485693603084,-0.20398521735817426,-0.0,-0.14889320684268678,-0.0,-0.0,-0.0,-0.0,-0.5055815902769841,-0.0,-0.0
2019-02-01,-0.0,-0.5803619149423531,1.0,-0.0,-0.40333664197907915,-0.0,-0.6044132244025349,-0.0,-0.34901122394441475,-0.2193632129495304,-0.0,-0.14705657784225395,-0.0,-0.0,-0.0,-0.0,-0.5141635489043292,-0.0,-0.0
2019-02-04,-0.0,-0.5784117193523516,1.0,-0.0,-0.4069005397070162,-0.0,-0.6495373939861218,-0.0,-0.35269853508095605,-0.19930609097918273,-0.0,-0.159059367771781,-0.0,-0.0,-0.0,-0.0,-0.509136468774094,-0.0,-0.0
2019-02-05,-0.0,-0.5696509746513599,1.0,-0.0,-0.4017258648586178,-0.0,-0.6440788966792512,-0.0,-0.3625857153863934,-0.20093997996764004,-0.0,-0.16106787888126975,-0.0,-0.0,-0.0,-0.0,-0.5122890823638184,-0.0,-0.0
2019-02-06,-0.0,-0.5627869295166082,1.0,-0.0,-0.4064272211720227,-0.0,-0.6436094286485862,-0.0,-0.36873577408279,-0.20763087843833186,-0.0,-0.1546236642104857,-0.0,-0.0,-0.0,-0.0,-0.5140619574862081,-0.0,-0.0
2019-02-07,-0.0,-0.5749122197785237,1.0,-0.0,-0.40336458695065014,-0.0,-0.6511556121464676,-0.0,-0.3657830767449936,-0.19338658023691013,-0.0,-0.1570011961260948,-0.0,-0.0,-0.0,-0.0,-0.5129065864104642,-0.0,-0.0
2019-02-08,-0.0,-0.5626716169702595,1.0,-0.0,-0.37788606566887106,-0.0,-0.6671694318753142,-0.0247128437173686,-0.38256564953397526,-0.19004524886877827,-0.0,-0.16084619252040067,-0.0,-0.0,-0.0,-0.0,-0.5014889585025332,-0.0,-0.0
2019-02-11,-0.0,-0.5601391842257878,1.0,-0.0,-0.3814421032283008,-0.0,-0.6596945679489659,-0.033674850183645855,-0.3812101295186545,-0.1862748888459308,-0.0,-0.1631548424511889,-0.0,-0.0,-0.0,-0.0,-0.5006379277015272,-0.0,-0.0
2019-02-12,-0.0,-0.5560023197370965,1.0,-0.0,-0.38024357239512857,-0.0,-0.6603904890779045,-0.03413879760293833,-0.3817900637927702,-0.18932920935627295,-0.0,-0.16327082930601197,-0.0,-0.0,-0.0,-0.0,-0.5010632128358786,-0.0,-0.0
2019-02-13,-0.0,-0.5599861170028152,1.0,-0.0,-0.3762292237090741,-0.0,-0.6737495661563381,-0.032547915622228224,-0.3662026146311365,-0.1896186032162277,-0.0,-0.16011723419844975,-0.0,-0.0,-0.0,-0.0,-0.497975396243878,-0.0,-0.0
2019-02-14,-0.0,-0.5592194068417601,1.0,-0.0,-0.3783794207258282,-0.0,-0.6739943692390759,-0.03513440549192024,-0.36515098923984723,-0.1887461915230051,-0.0,-0.15935824752207953,-0.0,-0.0,-0.0,-0.0,-0.49674110069806005,-0.0,-0.0
2019-02-15,-0.0,-0.5651470191529538,1.0,-0.0,-0.3730008863540021,-0.0,-0.6714324251416239,-0.0380361478284327,-0.36490808894369725,-0.19010366488111294,-0.0,-0.1527226482716097,-0.0,-0.0,-0.0,-0.0,-0.49836217195267635,-0.0,-0.0
2019-02-19,-0.0,-0.5566313201167973,1.0,-0.0,-0.37202243737513446,-0.0,-0.6665129860150607,-0.04345320424158598,-0.3660673121254034,-0.19978484708775163,-0.0,-0.13865836791147992,-0.0,-0.0,-0.0,-0.0,-0.49892423543875825,-0.0,-0.0
2019-02-20,-0.0,-0.5549281708534992,1.0,-0.0,-0.37500960282707224,-0.0,-0.6781516478451256,-0.03637550894983483,-0.35864638549588995,-0.20208189290927248,-0.0,-0.14350464776830296,-0.0,-0.0,-0.0,-0.0,-0.4924329722670354,-0.0,-0.0
2019-02-21,-0.0,-0.5760361602696699,1.0,-0.0,-0.3894890063586915,-0.0,-0.6885007278020379,-0.0318317628131464,-0.33551673944687044,-0.1956638320692561,-0.0,-0.12556500421359074,-0.0,-0.0,-0.0,-0.0,-0.4879338083199264,-0.0,-0.0
2019-02-22,-0.0,-0.5771489998848236,1.0,-0.0,-0.39179176104733754,-0.0,-0.6921334510692211,-0.006142741966445273,-0.3458363727108688,-0.19960072177218108,-0.0,-0.12803777786309364,-0.0,-0.0,-0.0,-0.0,-0.4985219027143241,-0.0,-0.0
