Date,IWF,IWM,MTUM,SPY,TBI,VLUE,VXX
2018-09-24,-0.4308946353999357,-1.1213058143270156,-0.05673787343398651,-0.7024172823642788,1.0,-0.7040636042402827,0.0
2018-09-25,-0.4336411079887596,-1.118988358089121,-0.061019670814933764,-0.7003613006824569,1.0,-0.7004817342432759,0.0
2018-09-26,-0.4361458375206014,-1.1226434055553323,-0.06495960123809141,-0.7005667885999115,1.0,-0.6955018691964465,0.0
2018-09-27,-0.4423572003218021,-1.1117860016090106,-0.06866452131938858,-0.7028157683024939,1.0,-0.6969428801287209,0.0
2018-09-28,-0.44066773934030573,-1.1129525341914723,-0.06934835076427996,-0.702614641995173,1.0,-0.6969428801287209,0.0
2018-10-01,-0.4409471089741,-1.1219039153097097,-0.07046749363610652,-0.7056850781849772,1.0,-0.7015232938704594,0.0
2018-10-02,-0.44102543366624886,-1.1276939873033844,-0.06942703489547532,-0.704823905220169,1.0,-0.7005377865836399,0.0
2018-10-03,-0.442913306043043,-1.136343371296559,-0.07096826490495683,-0.7045353220119159,1.0,-0.6982936813520852,0.0
2018-10-04,-0.4433729081405243,-1.1347299323311317,-0.07159933546740144,-0.70476923700312,1.0,-0.697516106811459,0.0
2018-10-05,-0.4297817404284504,-1.1298664622584418,-0.05688465728002582,-0.7115423407431315,1.0,-0.7062976560293702,0.0
2018-10-08,-0.42801916804252405,-1.1272097612048484,-0.05452422180163492,-0.7121572101638949,1.0,-0.7049893287158218,0.0
2018-10-09,-0.4258334348479312,-1.1396434807325295,-0.03548950339058757,-0.7316360092581313,1.0,-0.7279814837373615,0.0
2018-10-10,-0.426692644909888,-1.1385371001786004,-0.03649131352492287,-0.7320587757752882,1.0,-0.7253206689397629,0.0
2018-10-11,-0.3514917735967882,-1.135794694166732,-0.0,-0.7086908604266708,1.0,-0.7401401243800677,0.0
2018-10-12,-0.34849898895629183,-1.1294524809457147,-0.0,-0.6901151034375486,1.0,-0.7205630735728729,0.0
2018-10-15,-0.31466304136725576,-1.1634880559331908,-0.0,-0.6839774713536608,1.0,-0.7221596426490581,0.0
2018-10-16,-0.30725235390242,-1.17889658392343,-0.0,-0.6832542214613647,1.0,-0.721344642440277,0.0
2018-10-17,-0.28587812523893263,-1.1396131202691338,-0.0,-0.6736753574432296,1.0,-0.7237556388103066,0.0
2018-10-18,-0.28606936637222286,-1.140759435585637,-0.0,-0.6732438530075331,1.0,-0.7239111315054874,0.0
2018-10-19,-0.27061190403887037,-1.133616762830246,-0.0,-0.670930762222897,1.0,-0.7208092924385059,0.0
2018-10-22,-0.2715055804418799,-1.133133399134462,-0.0,-0.670867815655607,1.0,-0.7207121706780047,0.0
2018-10-23,-0.2840961098398169,-1.1397787948131197,-0.0,-0.6683829138062548,1.0,-0.72162471395881,0.0
2018-10-24,-0.28182649794175946,-1.1400365909437413,-0.0,-0.6679753011129745,1.0,-0.7217182497331911,0.0
2018-10-25,-0.2456004427227449,-1.0923814794318392,-0.0,-0.6651909241837298,1.0,-0.6861833610035049,0.0
2018-10-26,-0.2354833991516747,-1.079603627321925,-0.0,-0.6640339330115548,1.0,-0.6774535615035834,0.0
2018-10-29,-0.2163489522700815,-1.08738358556461,-0.0,-0.6540672293364377,1.0,-0.6801877182770664,0.0
