Date,IWF,IWM,MTUM,SMFG,SPY,VLUE,VXX
2018-09-24,-0.20800947730359154,-0.4968938715363056,-0.03137912103788032,1.0,-0.5508104828223872,-0.6023577682105811,0.0
2018-09-25,-0.20773477469144724,-0.4975286874584502,-0.03072520738792381,1.0,-0.5513483828077579,-0.6030869728589184,0.0
2018-09-26,-0.21601658297325704,-0.511882517809179,-0.038537895597337384,1.0,-0.55669741912881,-0.596432325119701,0.0
2018-09-27,-0.2151338356445513,-0.5219736726377202,-0.0365299481075376,1.0,-0.5592072473540708,-0.5989035152012665,0.0
2018-09-28,-0.21516946170986279,-0.5220182948281928,-0.036853524099917906,1.0,-0.5590477307376568,-0.5987451624252376,0.0
2018-10-01,-0.21652538644296482,-0.5211333704866101,-0.03669374945003373,1.0,-0.5599389904085882,-0.598832604933564,0.0
2018-10-02,-0.21894724481108532,-0.5057393652937205,-0.042480110383700795,1.0,-0.5646889586941843,-0.6038810439479787,0.0
2018-10-03,-0.2186913145539906,-0.5012323943661972,-0.042018779342723,1.0,-0.565962441314554,-0.6063673708920188,0.0
2018-10-04,-0.22275048424018312,-0.495539120737219,-0.042642484005400015,1.0,-0.5711979808651758,-0.6026589188237366,0.0
2018-10-05,-0.20706179808314226,-0.49006291527018286,-0.02531310636796613,1.0,-0.5914623390368672,-0.6260951372964074,0.0
2018-10-08,-0.20562477959327613,-0.4878041612789467,-0.020453743975549547,1.0,-0.5976548724579758,-0.6272187610203361,0.0
2018-10-09,-0.20364705882352938,-0.4890882352941176,-0.014558823529411765,1.0,-0.6015294117647059,-0.6323235294117646,0.0
2018-10-10,-0.20367538959129666,-0.48859159070861513,-0.014672155248456335,1.0,-0.6017053807703616,-0.6316671567186122,0.0
2018-10-11,-0.15141107104012821,-0.47630087583719727,-0.0,1.0,-0.5892724254393497,-0.6452573129543763,0.0
2018-10-12,-0.1474362614275169,-0.4695644767474874,-0.0,1.0,-0.5830162966327864,-0.6391175969564478,0.0
2018-10-15,-0.12325311109221306,-0.4914817019587834,-0.0,1.0,-0.5791592255577288,-0.6408141281855034,0.0
2018-10-16,-0.12267573696145125,-0.4924036281179139,-0.0,1.0,-0.5788832199546485,-0.6405045351473923,0.0
2018-10-17,-0.11043013460946466,-0.4694260207651191,-0.0,1.0,-0.5748747656228137,-0.6438026474127557,0.0
2018-10-18,-0.10953074252435885,-0.46774554821368575,-0.0,1.0,-0.5779482584835928,-0.6446690558853175,0.0
2018-10-19,-0.09981613550256296,-0.461221305995097,-0.0,1.0,-0.5790060173835525,-0.6457265433474482,0.0
2018-10-22,-0.09989411502452074,-0.45315983058403925,-0.0,1.0,-0.583621266161391,-0.6497993758359341,0.0
2018-10-23,-0.09954297179801584,-0.4532382120164976,-0.0,1.0,-0.5839928659012373,-0.6500111470293167,0.0
2018-10-24,-0.0977709668431318,-0.45321816662022846,-0.0,1.0,-0.5845918083031485,-0.6507383672332127,0.0
2018-10-25,-0.0819604838268294,-0.43183186470362867,-0.0,1.0,-0.5842044770401182,-0.6386076295769252,0.0
2018-10-26,-0.08196452485719752,-0.43056656372133706,-0.0,1.0,-0.5835633660389734,-0.6369673945721391,0.0
