Date,AL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23339523705483942,-0.46974000436967445,-0.1333843128686913,-0.4188059864540092,-0.4756936858204064,0.0
2018-09-25,1.0,-0.23235141270752988,-0.4723065561664068,-0.13076775799349033,-0.4210497524684773,-0.4786794671918164,0.0
2018-09-26,1.0,-0.2338032024086492,-0.4743123032708362,-0.13346106473244831,-0.4207472286848227,-0.4747776105104694,0.0
2018-09-27,1.0,-0.23570764265003555,-0.4693637507522293,-0.13488155807210458,-0.42081076645330706,-0.47461567919470427,0.0
2018-09-28,1.0,-0.23653177925524638,-0.46895947905551455,-0.13496949300938466,-0.420941749432269,-0.47465046923308435,0.0
2018-10-01,1.0,-0.23758176195298175,-0.46810257533046884,-0.13481485536002627,-0.42163168121732947,-0.47467089958674297,0.0
2018-10-02,1.0,-0.23738246018038767,-0.47964470762398226,-0.1315897688954684,-0.42015516626915594,-0.4727088302217836,0.0
2018-10-03,1.0,-0.23723608445297503,-0.4711543734576364,-0.13013435700575815,-0.42421168083356176,-0.4792432136002193,0.0
2018-10-04,1.0,-0.23731695277793016,-0.4712883233697143,-0.13031316843086713,-0.42409367630121214,-0.47926835956781666,0.0
2018-10-05,1.0,-0.22845428454284541,-0.4660106601066011,-0.12253655869892033,-0.42946562798961324,-0.4868662019953533,0.0
2018-10-08,1.0,-0.2281521560911625,-0.465841394764169,-0.12212384543914304,-0.42960594632999943,-0.4869377493578182,0.0
2018-10-09,1.0,-0.22834344428048314,-0.46586872164835763,-0.12264305623872768,-0.4293326774881128,-0.48650051921079956,0.0
2018-10-10,1.0,-0.22835145427451847,-0.47861361002262826,-0.11636955681880899,-0.435012969810696,-0.5011865997019703,0.0
2018-10-11,1.0,-0.19884227325597123,-0.4776704806729963,-0.07947199004571397,-0.4310368146284725,-0.5179474695014742,0.0
2018-10-12,1.0,-0.20038096260127705,-0.47322530450179745,-0.07742662445672586,-0.42214412190803235,-0.5096582067929387,0.0
2018-10-15,1.0,-0.18660017694844366,-0.4977613340840237,-0.0576154856698571,-0.42384514330142903,-0.5152416954878146,0.0
2018-10-16,1.0,-0.1847280727643476,-0.5071771618684768,-0.05087065010329748,-0.4247269995438813,-0.5155214509940705,0.0
2018-10-17,1.0,-0.1768080529069613,-0.48883163793790335,-0.04361105946721203,-0.42461023611590665,-0.5221109665081937,0.0
2018-10-18,1.0,-0.17655494768152122,-0.4885802305199979,-0.043660700058426725,-0.424815424656079,-0.5221490412705158,0.0
2018-10-19,1.0,-0.1718898888300688,-0.4859449444150344,-0.039253573319216514,-0.4259661196400211,-0.5238750661725781,0.0
2018-10-22,1.0,-0.1742422236929186,-0.4807941760423561,-0.03330244870946393,-0.43099933818663144,-0.5279417604235606,0.0
2018-10-23,1.0,-0.17342597080842354,-0.4985458070770722,-0.012791511822049873,-0.4592825981580223,-0.5489039694080896,0.0
2018-10-24,1.0,-0.1729335450703846,-0.4980216940758485,-0.010739375016822327,-0.4598821091163567,-0.5499690469141119,0.0
2018-10-25,1.0,-0.16497759761041175,-0.48847877106891396,-0.008320887561339876,-0.46039577554939193,-0.5447781096650309,0.0
2018-10-26,1.0,-0.16358024691358025,-0.48619093231162197,-0.007077479778629204,-0.4609142188165176,-0.5429438058748404,0.0
2018-10-29,1.0,-0.15609083191850595,-0.49058255517826826,-0.0006366723259762308,-0.4581387945670628,-0.5473259762308998,0.0
2018-10-30,1.0,-0.1778735478344665,-0.49587772364687616,-0.010493067080678837,-0.46132019915413025,-0.5312115209593661,0.0
2018-10-31,1.0,-0.17842168513820267,-0.4911737214581386,-0.01110962745359861,-0.4602216584323675,-0.5296835358525838,0.0
2018-11-01,1.0,-0.1765082754938601,-0.4934596903363588,-0.009129738387613454,-0.460464495461826,-0.5299519487453284,0.0
2018-11-02,1.0,-0.17547755364117928,-0.49906362031141316,-0.009845363582856226,-0.4596554122746,-0.5313553427149661,0.0
2018-11-05,1.0,-0.1729210688207131,-0.5062454863990157,-0.009736004493540536,-0.46029368497071177,-0.5255035172653597,0.0
