Date,IWF,IWM,MTUM,SPY,TEN,VLUE,VXX
2018-09-24,-0.36075517476685115,-0.8334597012662066,-0.02850860565622867,-0.7093790279778603,1.0,-0.8588975661536129,0.0
2018-09-25,-0.3598845817988534,-0.8365161927180227,-0.025893162230912332,-0.7120239948365542,1.0,-0.8622954554083297,0.0
2018-09-26,-0.36174532638676066,-0.8440468893656145,-0.016472571253447747,-0.7241035856573705,1.0,-0.884500459699663,0.0
2018-09-27,-0.36394258373205746,-0.8375502392344498,-0.018296650717703353,-0.7239043062200958,1.0,-0.8840191387559809,0.0
2018-09-28,-0.36089188567925834,-0.8418511991418283,-0.01927055398053789,-0.7244655581947744,1.0,-0.8846448548003986,0.0
2018-10-01,-0.36159534117466763,-0.8410405731581164,-0.01942454312095322,-0.7247615033906747,1.0,-0.8844488716907397,0.0
2018-10-02,-0.362177277254271,-0.836359457595955,-0.021527618172067723,-0.7254271048801041,1.0,-0.8850455833907913,0.0
2018-10-03,-0.36253834355828224,-0.8234662576687117,-0.01936349693251534,-0.7327837423312884,1.0,-0.8962039877300614,0.0
2018-10-04,-0.36470588235294116,-0.8189691511783866,-0.020157118221881584,-0.7351983138532285,1.0,-0.8931596091205212,0.0
2018-10-05,-0.3556446991404012,-0.814937917860554,-0.009130850047755493,-0.7397516714422159,1.0,-0.9009360076408788,0.0
2018-10-08,-0.36159802750703085,-0.8275994914666563,-0.01225103055052587,-0.7431136109719921,1.0,-0.9079631698578418,0.0
2018-10-09,-0.35562983403941073,-0.8389366084962493,-0.0,-0.7615531112752147,1.0,-0.9305452990788603,0.0
2018-10-10,-0.3537003821258676,-0.8446931295328705,-0.0,-0.7630819620993528,1.0,-0.9377680729938391,0.0
2018-10-11,-0.2944558677937704,-0.8281547483055364,-0.0,-0.7401188028329905,1.0,-0.945091767572919,0.0
2018-10-12,-0.3015669730299835,-0.820965797800211,-0.0,-0.7190748832303752,1.0,-0.9251544372457435,0.0
2018-10-15,-0.25606988881325166,-0.8757658270932608,-0.0,-0.7162468799636942,1.0,-0.9337795930716285,0.0
2018-10-16,-0.25213675213675213,-0.8821949928144619,-0.0,-0.7150366840632327,1.0,-0.9324937599273884,0.0
2018-10-17,-0.22473841554559043,-0.8380044843049327,-0.0,-0.718423019431988,1.0,-0.9557548579970104,0.0
2018-10-18,-0.2332198259553538,-0.8617858494135453,-0.0,-0.7222474460839955,1.0,-0.9663261445327281,0.0
2018-10-19,-0.22102486812358701,-0.8567068575734739,-0.0,-0.7214393368500376,1.0,-0.9687264506405424,0.0
2018-10-22,-0.22146892655367229,-0.8526177024482108,-0.0,-0.7228625235404896,1.0,-0.9695668549905837,0.0
2018-10-23,-0.23421958322302486,-0.8587421050641051,-0.0,-0.7194886728943686,1.0,-0.9695548579857041,0.0
2018-10-24,-0.23429896593673966,-0.8550410583941606,-0.0,-0.7288625304136254,1.0,-0.9835006082725061,0.0
