Date,AZRE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7328641551836301,-1.5983795611804366,-0.0,-1.3742977112780177,-1.208468862735821,0.0
2018-09-25,1.0,-0.7339715180523548,-1.5961708916858715,-0.0,-1.3726289664953022,-1.2063463924836022,0.0
2018-09-26,1.0,-0.7336454136051197,-1.5991941218298176,-0.0,-1.3771628347949751,-1.2155131547760134,0.0
2018-09-27,1.0,-0.7482309567699352,-1.5885710887792117,-0.0,-1.386573110542903,-1.2229886424451448,0.0
2018-09-28,1.0,-0.7580375283853232,-1.5938209633082348,-0.0,-1.3941675630452972,-1.2298314808174975,0.0
2018-10-01,1.0,-0.7588291631749072,-1.598647192625404,-0.0,-1.3959056626361788,-1.2324913204836587,0.0
2018-10-02,1.0,-0.7597862632084533,-1.6159942363112392,-0.0,-1.3957732949087414,-1.232288664745437,0.0
2018-10-03,1.0,-0.7683472373352677,-1.6392818280739936,-0.0,-1.4023092733647684,-1.235279893604159,0.0
2018-10-04,1.0,-0.8660107450320409,-1.739206421127581,-0.0,-1.550779985759596,-1.3169137160981295,0.0
2018-10-05,1.0,-0.8716480083311638,-1.7550117156990366,-0.0,-1.5598151523040875,-1.3221817235095026,0.0
2018-10-08,1.0,-0.8824378403201468,-1.772551335039034,-0.0,-1.570425769205537,-1.3349734304270813,0.0
2018-10-09,1.0,-0.8817818014826477,-1.7728793544577837,-0.0,-1.5706881847405365,-1.335039034310831,0.0
2018-10-10,1.0,-0.8816471051078617,-1.7716871024850829,-0.0,-1.5704543964330206,-1.3331584814110549,0.0
2018-10-11,1.0,-0.694503568298485,-1.7264930512082133,-0.0,-1.5007512207336924,-1.338362338800551,0.0
2018-10-12,1.0,-0.7248568583520041,-1.7329474732387353,-0.0,-1.470873786407767,-1.2948095593726663,0.0
2018-10-15,1.0,-0.670123579457244,-1.7835806992485872,-0.0,-1.4609079053592497,-1.2953486927901632,0.0
2018-10-16,1.0,-0.6638305800521674,-1.794124953421935,-0.0,-1.4589491988572847,-1.2935039125574463,0.0
2018-10-17,1.0,-0.605915799661263,-1.689329784660053,-0.0,-1.4428986208565207,-1.3107307040890395,0.0
2018-10-18,1.0,-0.6046328777065442,-1.687069069795573,-0.0,-1.4454457481553165,-1.3109955243740172,0.0
2018-10-19,1.0,-0.56516759102966,-1.6702435495538943,-0.0,-1.4685314685314685,-1.3245116952013503,0.0
2018-10-22,1.0,-0.5655950298570481,-1.654321732311961,-0.0,-1.4781349900476508,-1.3336751311900599,0.0
2018-10-23,1.0,-0.5697835654428167,-1.6537649966841503,-0.0,-1.4741062277687347,-1.3312232471212397,0.0
2018-10-24,1.0,-0.5656523049111178,-1.6458571858993674,-0.0,-1.4775534799638446,-1.3368484483278096,0.0
2018-10-25,1.0,-0.47158026233604,-1.503662483674976,-0.0,-1.4660723411504173,-1.236897393674408,0.0
2018-10-26,1.0,-0.4311463590483057,-1.4566025178858633,-0.0,-1.4563806777217014,-1.201930009428207,0.0
2018-10-29,1.0,-0.3919363686231487,-1.4601206801974769,-0.0,-1.4324190894130553,-1.2009873834339002,0.0
2018-10-30,1.0,-0.3724209833187006,-1.4618634767339769,-0.0,-1.4345917471466199,-1.2183933274802456,0.0
