Date,CAL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5092548233961935,-1.3024258525325552,-0.04220199468664257,-0.7492269500457296,-0.7521013893123122,0.0
2018-09-25,1.0,-0.5097091605712295,-1.3014193660745386,-0.043321142459073494,-0.7484326018808778,-0.7510013932427726,0.0
2018-09-26,1.0,-0.5098611171579085,-1.3016674648439202,-0.043711088858896775,-0.7482258696503984,-0.7501850319996517,0.0
2018-09-27,1.0,-0.5246131591636347,-1.2911497830184544,-0.049927672818130014,-0.7589970630780695,-0.7587778897996756,0.0
2018-09-28,1.0,-0.5262696254714498,-1.2902376984475046,-0.050346460836768706,-0.7594947811595474,-0.7592316463468116,0.0
2018-10-01,1.0,-0.5275255516076677,-1.288985392814844,-0.05035750318024301,-0.7603632056849585,-0.7593104355836294,0.0
2018-10-02,1.0,-0.5276728454713169,-1.2989545813933057,-0.04840551699903365,-0.7594219450057103,-0.7581041904594571,0.0
2018-10-03,1.0,-0.5361218418365081,-1.3306247502331157,-0.05235113893699214,-0.7643976732827139,-0.756849163003419,0.0
2018-10-04,1.0,-0.5386902120862543,-1.3242967432780195,-0.05333215014641938,-0.7675037714082882,-0.7531280504037625,0.0
2018-10-05,1.0,-0.5224210293792798,-1.318709962447537,-0.03468080406450188,-0.7769383697813121,-0.765186657830793,0.0
2018-10-08,1.0,-0.5197954325015431,-1.3145666167004673,-0.029494753549069747,-0.7807512565029538,-0.764174235076272,0.0
2018-10-09,1.0,-0.5177523927138006,-1.3160146429674062,-0.02346403210867552,-0.7843249680236405,-0.7689763154412739,0.0
2018-10-10,1.0,-0.5253576648801878,-1.3182442308544093,-0.028613190415024137,-0.792266465872348,-0.7647605970678124,0.0
2018-10-11,1.0,-0.4379308868239627,-1.3110521132188584,-0.0,-0.7590031259367105,-0.7741617779300305,0.0
2018-10-12,1.0,-0.45152143552414403,-1.309280968301663,-0.0,-0.7302890515891489,-0.7410385543188455,0.0
2018-10-15,1.0,-0.4368141144690191,-1.3202346783724466,-0.0,-0.7251392875232147,-0.7386459564409927,0.0
2018-10-16,1.0,-0.4334908845374747,-1.325160364618501,-0.0,-0.7239618501012829,-0.7375084402430789,0.0
2018-10-17,1.0,-0.40276856763925734,-1.2718418435013261,-0.0,-0.7184598806366048,-0.7514920424403183,0.0
2018-10-18,1.0,-0.4045681063122924,-1.277200996677741,-0.0,-0.717857142857143,-0.7531976744186047,0.0
2018-10-19,1.0,-0.38657502675117295,-1.2664005267923286,-0.0,-0.7143386286937197,-0.7482508848464894,0.0
2018-10-22,1.0,-0.39087786101568645,-1.2846322585985679,-0.0,-0.7145813501096809,-0.7488100658085345,0.0
2018-10-23,1.0,-0.40875699140161953,-1.2971032640454128,-0.0,-0.714792553635529,-0.7533600467484766,0.0
2018-10-24,1.0,-0.4062278544332819,-1.2942598691066738,-0.0,-0.7140772854224854,-0.7540122556171579,0.0
2018-10-25,1.0,-0.3537401175755118,-1.2395296979525643,-0.0,-0.7431177782282586,-0.7179404013784715,0.0
2018-10-26,1.0,-0.33364014727068997,-1.2196254202016967,-0.0,-0.7443172722906995,-0.7042980630702738,0.0
2018-10-29,1.0,-0.3130718434242979,-1.2270665924098973,-0.0,-0.7322778263982814,-0.7056249502744849,0.0
