Date,IWF,IWM,MTUM,OSTK,SPY,VLUE,VXX
2018-09-24,-1.5048875391477647,-2.6516086172534874,-0.7903577868463509,1.0,-1.8939925975135237,-1.6494258327797287,0.0
2018-09-25,-1.5085372794536143,-2.6468412066021627,-0.7970024663251755,1.0,-1.8900588123695694,-1.6433314361601215,0.0
2018-09-26,-1.5082107261509254,-2.648030374940674,-0.7933554817275748,1.0,-1.8929283341243472,-1.6497389653535834,0.0
2018-09-27,-1.5226775696491395,-2.6284111438623183,-0.8019397166492346,1.0,-1.9001616430541028,-1.6551297898640296,0.0
2018-09-28,-1.5331362639458377,-2.6317345284638125,-0.8017545532564126,1.0,-1.9075998855726137,-1.6614856488986365,0.0
2018-10-01,-1.5340898254982358,-2.6300181176694952,-0.8021359778773719,1.0,-1.9079813101935728,-1.6613902927433966,0.0
2018-10-02,-1.5429609098728854,-2.592946573640447,-0.8180254229188569,1.0,-1.9246869922584344,-1.6787728185032973,0.0
2018-10-03,-1.547196933397221,-2.613128893148059,-0.8183996166746527,1.0,-1.927264015333014,-1.677144226161955,0.0
2018-10-04,-1.5536825974523514,-2.599176324106886,-0.8202279475146058,1.0,-1.9352552437505985,-1.6692845512881906,0.0
2018-10-05,-1.5262852725164282,-2.6059141863161965,-0.7796675686122922,1.0,-2.004638577502899,-1.7471975260919983,0.0
2018-10-08,-1.5198034113905752,-2.596222414956153,-0.7696829526838199,1.0,-2.008191192059362,-1.7427002023706273,0.0
2018-10-09,-1.5164835164835164,-2.5983227299016773,-0.7600732600732601,1.0,-2.013977250819356,-1.75062656641604,0.0
2018-10-10,-1.5248624118953364,-2.5978565221589265,-0.7677899005503523,1.0,-2.02104856618712,-1.743748189630202,0.0
2018-10-11,-1.3879545241003477,-2.6168373578878135,-0.5688245795358451,1.0,-2.007140843747064,-1.8151836888095463,0.0
2018-10-12,-1.410123296560675,-2.5995179382590154,-0.5582645777324557,1.0,-1.9536479095207195,-1.7488643737832579,0.0
2018-10-15,-1.3923816568047338,-2.6231508875739644,-0.5305103550295858,1.0,-1.9516457100591715,-1.747873520710059,0.0
