Date,IWF,IWM,LB,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.5407704873400491,1.0,-0.0,-0.43520283147291045,-0.0,-1.0880751429349307,-0.10318540702423087,-0.5360059896542336,-0.27988020691532806,-0.0,-0.04839368363735366,-0.0,-0.0,-1.2656547781105365,-0.0,-1.4128777566022324,-0.0,-0.09631091750612578
2019-01-03,-0.0,-0.550685303297598,1.0,-0.0,-0.33003121183335593,-0.0,-0.9316732256751253,-0.21563305740263267,-0.547767675396933,-0.3224318089292984,-0.0,-0.09105713122540371,-0.0,-0.0,-1.3006513773917763,-0.0,-1.4065680553670783,-0.0,-0.08868231781788573
2019-01-04,-0.0,-0.6230269900922446,1.0,-0.0,-0.36214554151007855,-0.0,-0.8773488213187562,-0.22979159549026307,-0.4416125725999317,-0.38510420225486847,-0.0,-0.04509736932012299,-0.0,-0.0,-1.3697300990775538,-0.0,-1.47133583874274,-0.0,-0.027810044414075842
2019-01-07,-0.0,-0.473279979346844,1.0,-0.0,-0.5205886149477217,-0.0,-0.9874790241383762,-0.17580999096424424,-0.2830773202530012,-0.22247321543823417,-0.0,-0.00961662579062863,-0.0,-0.0,-1.2911449593390991,-0.0,-1.2957919194526915,-0.0,-0.19478507809474635
2019-01-08,-0.0,-0.5098990683229814,1.0,-0.0,-0.5150103519668737,-0.0,-0.9753493788819875,-0.18950569358178054,-0.25905797101449274,-0.1973343685300207,-0.0,-0.0,-0.0,-0.0,-1.2879140786749481,-0.0,-1.2976190476190474,-0.0,-0.2384187370600414
2019-01-09,-0.0,-0.38707990061462016,1.0,-0.0,-0.4402380018307833,-0.0,-1.1011507780829084,-0.2893291486857591,-0.24885576042892638,-0.10612004707728523,-0.0,-0.1090623774029031,-0.0,-0.0,-1.3142408787759907,-0.0,-1.2736367202824637,-0.0,-0.2687328364064339
2019-01-10,-0.0,-0.3954931417374265,1.0,-0.0,-0.44454604833442185,-0.0,-1.1010450685826256,-0.301828870019595,-0.24173742651861527,-0.09790986283474852,-0.0,-0.11143043762246896,-0.0,-0.0,-1.296472893533638,-0.0,-1.2726322664924885,-0.0,-0.2685173089483997
2019-01-11,-0.0,-0.3209753504750515,1.0,-0.0,-0.4447545013620357,-0.0,-1.0884991030496312,-0.29160853099461825,-0.17586871304232277,-0.09786725134542555,-0.0,-0.1941399242575244,-0.0,-0.0,-1.3688127034748523,-0.0,-1.275064779748854,-0.0,-0.38641950700950106
2019-01-14,-0.0,-0.32021682393093753,1.0,-0.0,-0.46556916281871114,-0.0,-1.0988422672823397,-0.23255035802716992,-0.1994244796894867,-0.13083048919226395,-0.0,-0.1982868232617279,-0.0,-0.0,-1.356554908652881,-0.0,-1.3093087064177205,-0.0,-0.38044569363581604
2019-01-15,-0.0,-0.24584519631861224,1.0,-0.0,-0.5375091041514931,-0.0,-1.1019002847116468,-0.18698271866516586,-0.1579818579090247,-0.14169370323776734,-0.0,-0.2966298086472886,-0.0,-0.0,-1.396609945044031,-0.0,-1.17599152486261,-0.0,-0.37999073031847974
2019-01-16,-0.0,-0.20751130628563938,1.0,-0.0,-0.558759913482336,-0.0,-1.0635773743199841,-0.26230582683358455,-0.2594219046994822,-0.056433112669594276,-0.0,-0.2409385855672806,-0.0,-0.0,-1.3776627121976797,-0.0,-1.1300386707740708,-0.0,-0.39758799239693254
2019-01-17,-0.0,-0.2005501702908043,1.0,-0.0,-0.5588158239455069,-0.0,-1.0658239455069427,-0.26716007335603875,-0.260544930573749,-0.060256746135708666,-0.0,-0.22576630861933455,-0.0,-0.0,-1.3857086717317264,-0.0,-1.1237228189677757,-0.0,-0.40136232643437253
2019-01-18,-0.0,-0.18900052192066805,1.0,-0.0,-0.5603470772442588,-0.0,-1.0560412317327768,-0.26559237995824636,-0.21568371607515657,-0.07743997912317328,-0.0,-0.2405401878914405,-0.0,-0.0,-1.389874739039666,-0.0,-1.1189979123173277,-0.0,-0.410490605427975
2019-01-22,-0.0,-0.23723196881091618,1.0,-0.0,-0.484535412605588,-0.0,-1.041325536062378,-0.23294346978557504,-0.2018843404808317,-0.12235217673814164,-0.0,-0.22638076673164392,-0.0,-0.0,-1.3683560753736193,-0.0,-1.182456140350877,-0.0,-0.4001949317738791
2019-01-23,-0.0,-0.2375089106344372,1.0,-0.0,-0.47002786598405805,-0.0,-1.0609811418573003,-0.21839154947832287,-0.2014127405871298,-0.10368738254163697,-0.0,-0.23303739226232906,-0.0,-0.0,-1.3513706175879723,-0.0,-1.192145680772471,-0.0,-0.41183332253256427
2019-01-24,-0.0,-0.23727829732344408,1.0,-0.0,-0.4846178652047727,-0.0,-1.036826830054821,-0.22431473718155434,-0.21915511125443407,-0.11505965817478235,-0.0,-0.2265720735246695,-0.0,-0.0,-1.3185424056755886,-0.0,-1.1870364398581104,-0.0,-0.40019348597226706
2019-01-25,-0.0,-0.2638060668913663,1.0,-0.0,-0.46247083225304636,-0.0,-1.0133523463831995,-0.2926497277676951,-0.18874773139745918,-0.1215322789732953,-0.0,-0.2358698470313715,-0.0,-0.0,-1.2473424941664506,-0.0,-1.2613430127041743,-0.0,-0.3946072076743583
2019-01-28,-0.0,-0.26100220693236403,1.0,-0.0,-0.4674802025184993,-0.0,-1.0133714137349086,-0.29228871868103334,-0.17889134103596002,-0.12274438530442684,-0.0,-0.2380890562118655,-0.0,-0.0,-1.2508762819680643,-0.0,-1.2704141243671296,-0.0,-0.39581981046345577
