Date,FRHC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-10-08,1.0,-0.6815493790656416,-1.9503991720875218,-0.0,-2.0666026020106445,-1.6935245416913067,0.0
2018-10-09,1.0,-0.6754878769958604,-1.9502513305736249,-0.0,-2.069337670017741,-1.69692489651094,0.0
2018-10-10,1.0,-0.6803986710963457,-1.9446290143964566,-0.0,-2.0720561092654117,-1.685714285714286,0.0
2018-10-11,1.0,-0.4597512641793085,-1.8155664889982233,-0.0,-1.8916905835725026,-1.6664616646166461,0.0
2018-10-12,1.0,-0.49472295514511866,-1.7554089709762533,-0.0,-1.792018469656992,-1.5541556728232189,0.0
2018-10-15,1.0,-0.4507116153997508,-1.782121072997967,-0.0,-1.7789073260313506,-1.546927264379878,0.0
2018-10-16,1.0,-0.44008657440808036,-1.7986489145405653,-0.0,-1.7762838591198271,-1.5436479307404736,0.0
2018-10-17,1.0,-0.3866574620308773,-1.640830927576252,-0.0,-1.7178988326848246,-1.5304380569850633,0.0
2018-10-18,1.0,-0.38399748980232196,-1.6367743959836838,-0.0,-1.7235644807028554,-1.531095073737057,0.0
2018-10-19,1.0,-0.33760078783775466,-1.5844771342401673,-0.0,-1.7196405490244353,-1.5132639871976363,0.0
2018-10-22,1.0,-0.3371892690130446,-1.5604233325129215,-0.0,-1.7311715481171548,-1.5242431700713759,0.0
2018-10-23,1.0,-0.34286065523388043,-1.5587927961153112,-0.0,-1.7246911303706436,-1.5203761755485892,0.0
2018-10-24,1.0,-0.33594899460519867,-1.5473271211378128,-0.0,-1.725294261893085,-1.5218244237371261,0.0
2018-10-25,1.0,-0.23799642630699175,-1.3813476281053663,-0.0,-1.7551443887255749,-1.389532537898438,0.0
2018-10-26,1.0,-0.1796066840968512,-1.3502898715471183,-0.0,-1.7917471865408663,-1.3621120836648857,0.0
2018-10-29,1.0,-0.13021477566625436,-1.360002248959856,-0.0,-1.764758799055437,-1.3674238164848758,0.0
2018-10-30,1.0,-0.1143643924918512,-1.3598965943576486,-0.0,-1.765314150837361,-1.3802967292345736,0.0
2018-10-31,1.0,-0.13295404330534688,-1.2996575342465753,-0.0,-1.739228899690676,-1.351745470614229,0.0
2018-11-01,1.0,-0.127827430210747,-1.3026591636323512,-0.0,-1.736455919673397,-1.3499393136930375,0.0
2018-11-02,1.0,-0.14669061615501852,-1.2272479860657524,-0.0,-1.74390376660135,-1.325223165686915,0.0
2018-11-05,1.0,-0.142282390039689,-1.2374816506279562,-0.0,-1.7440874245636928,-1.312945142173653,0.0
2018-11-06,1.0,-0.14765319426336376,-1.239135158626684,-0.0,-1.7384832681442852,-1.307149065623642,0.0
2018-11-07,1.0,-0.14721197656758517,-1.2377956172705575,-0.0,-1.7342156650032545,-1.3049468431330007,0.0
2018-11-08,1.0,-0.11072,-1.2239466666666667,-0.0,-1.6997333333333333,-1.29888,0.0
2018-11-09,1.0,-0.1106786799594818,-1.223276643386469,-0.0,-1.6994721970464362,-1.2978621314709176,0.0
2018-11-12,1.0,-0.11124616848113307,-1.189831941655216,-0.0,-1.7005073459465172,-1.2832681534721488,0.0
2018-11-13,1.0,-0.06171363210980555,-1.1693355516273265,-0.0,-1.7040137256940833,-1.264063637308932,0.0
2018-11-14,1.0,-0.06340626786549557,-1.1676108310378879,-0.0,-1.7035497115534537,-1.2627202328361313,0.0
2018-11-15,1.0,-0.06128798091880121,-1.1702271077465518,-0.0,-1.7158560613916831,-1.237737218707871,0.0
2018-11-16,1.0,-0.059430458109781266,-1.152238959966983,-0.0,-1.7055303342963268,-1.241642591828312,0.0
2018-11-19,1.0,-0.06255801959773079,-1.1510056730273337,-0.0,-1.7029912325941208,-1.2406910778751934,0.0
2018-11-20,1.0,-0.0,-1.1319096761009504,-0.0,-1.7099724123837745,-1.2666292020026566,0.0
2018-11-21,1.0,-0.01816357250376317,-1.107375815353738,-0.0,-1.6933266432513798,-1.1986954340190668,0.0
2018-11-23,1.0,-0.02098357371794872,-1.0930989583333333,-0.0,-1.6959635416666667,-1.1979667467948718,0.0
2018-11-26,1.0,-0.019912943413218594,-1.1001651073197578,-0.0,-1.6906489217991694,-1.1924751088207335,0.0
2018-11-27,1.0,-0.012413108242303874,-1.0973187686196624,-0.0,-1.6768619662363458,-1.1786494538232375,0.0
2018-11-28,1.0,-0.01604490586657394,-1.0860861358104417,-0.0,-1.682529432218966,-1.1827529680592122,0.0
2018-11-29,1.0,-0.0,-1.052657240370551,-0.0,-1.6490004875670405,-1.174061433447099,0.0
2018-11-30,1.0,-0.0,-1.0523930207622576,-0.0,-1.6506969490203722,-1.1706794034506287,0.0
2018-12-03,1.0,-0.0,-1.0535174163333008,-0.0,-1.6525026831886036,-1.1725046345984975,0.0
2018-12-04,1.0,-0.0,-1.0544227594912128,-0.0,-1.6372463345955917,-1.1631226332653655,0.0
2018-12-06,1.0,-0.0,-0.9181180623287353,-0.0,-1.6347127397705634,-1.091635316520366,0.0
2018-12-07,1.0,-0.0009286775631500744,-0.9179977711738484,-0.0,-1.6370263744427933,-1.087481426448737,0.0
2018-12-10,1.0,-0.0,-0.9073473674597013,-0.0,-1.6173341248458835,-1.0417370656194347,0.0
2018-12-11,1.0,-0.0,-0.9069820539750674,-0.0,-1.6231791406000275,-1.0362573633499246,0.0
2018-12-12,1.0,-0.0,-0.9076332739481979,-0.0,-1.6261020510712165,-1.0343520168105613,0.0
2018-12-13,1.0,-0.0,-0.9099885714285714,-0.0,-1.62496,-1.0364342857142856,0.0
2018-12-14,1.0,-0.0,-0.8902595029239767,-0.0,-1.6408991228070176,-1.0375091374269005,0.0
2018-12-17,1.0,-0.0,-0.8849464814393077,-0.0,-1.6302892279662948,-1.039489865634252,0.0
2018-12-18,1.0,-0.0,-0.8706845844079453,-0.0,-1.620650649291887,-1.0333921542011673,0.0
2018-12-19,1.0,-0.0,-0.8738203266787659,-0.0,-1.6245009074410164,-1.0388838475499091,0.0
2018-12-20,1.0,-0.0,-0.8450932684509327,-0.0,-1.6365684419212398,-1.0240605569072723,0.0
2018-12-21,1.0,-0.0,-0.8418426966292135,-0.0,-1.6382022471910112,-1.0142921348314606,0.0
2018-12-24,1.0,-0.0,-0.8092820238731516,-0.0,-1.6181631925886337,-1.0265009798681632,0.0
