Date,BANR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.11470310787038217,-0.6921449149733574,-0.02062565331565663,-0.3439818473854626,-0.3780689901333401,0.0
2018-09-25,1.0,-0.1136072872422087,-0.6969448851133514,-0.016580523002916944,-0.3482421575149685,-0.3833734199887416,0.0
2018-09-26,1.0,-0.11341419724653257,-0.6968882747325861,-0.016044833410102873,-0.34845693228926766,-0.3841803572342495,0.0
2018-09-27,1.0,-0.11263052569464044,-0.7029273674218128,-0.014752289811940374,-0.349821689714447,-0.38553505913744,0.0
2018-09-28,1.0,-0.1099889497083237,-0.7071158738724849,-0.015316218230411432,-0.3508082131935343,-0.3866317169069463,0.0
2018-10-01,1.0,-0.11113681937374671,-0.7061802663376009,-0.01516787495501054,-0.3515861998046172,-0.38675510309013317,0.0
2018-10-02,1.0,-0.11144368468584698,-0.7230550896658496,-0.01057928009289124,-0.3503805960521223,-0.3848535672816411,0.0
2018-10-03,1.0,-0.11124293931030925,-0.7180882618451936,-0.00995589486987697,-0.3520672667715561,-0.38786722034510335,0.0
2018-10-04,1.0,-0.11016795631583033,-0.7246965658238659,-0.009808234776532698,-0.3506896819440491,-0.3925623042881913,0.0
2018-10-05,1.0,-0.09693732745052505,-0.7209794359728565,-0.0,-0.35890290786180556,-0.403359393141884,0.0
2018-10-08,1.0,-0.09604723719155299,-0.7205476626356908,-0.0,-0.3588685764381301,-0.40298584431323003,0.0
2018-10-09,1.0,-0.09500360936372074,-0.7205836856759823,-0.0,-0.35905434670516656,-0.40350108280911623,0.0
2018-10-10,1.0,-0.09621629980926853,-0.7199340172173824,-0.0,-0.359812361461931,-0.40148976751378934,0.0
2018-10-11,1.0,-0.05386357915932544,-0.7168638308582935,-0.0,-0.3429901837402467,-0.403272086584445,0.0
2018-10-12,1.0,-0.04800340911939438,-0.719499661594766,-0.0,-0.3391071115233249,-0.4000701877522372,0.0
2018-10-15,1.0,-0.013125409381770545,-0.7623318385650223,-0.0,-0.33730538620446415,-0.4065097999697687,0.0
2018-10-16,1.0,-0.011436632491120235,-0.7649948358818047,-0.0,-0.3367256971559564,-0.4059248809733733,0.0
2018-10-17,1.0,-0.0,-0.7361926559856703,-0.0,-0.33498358045576676,-0.41660861777291275,0.0
2018-10-18,1.0,-0.0,-0.7345247280782536,-0.0,-0.33735719441471484,-0.4171043134131468,0.0
2018-10-19,1.0,-0.0,-0.7335268433065396,-0.0,-0.3330356256822467,-0.4143098144288975,0.0
2018-10-22,1.0,-0.0,-0.7389165009940358,-0.0,-0.33250497017892644,-0.4136679920477137,0.0
2018-10-23,1.0,-0.0,-0.7427913496195435,-0.0,-0.3406587905486584,-0.41955346415698835,0.0
2018-10-24,1.0,-0.0,-0.7414112116817523,-0.0,-0.3394759213882082,-0.4194879231884783,0.0
2018-10-25,1.0,-0.0,-0.7339813529061693,-0.0,-0.334259075580242,-0.41142630430470145,0.0
2018-10-26,1.0,-0.03712517848643503,-0.8435758882324944,-0.0,-0.4132485931069239,-0.5058375563457177,0.0
2018-10-29,1.0,-0.023194223746201666,-0.8498508544506705,-0.0,-0.4062613253045636,-0.5084329960134928,0.0
2018-10-30,1.0,-0.008037957019257606,-0.8516885291655037,-0.0,-0.4086240580519118,-0.5226346636896456,0.0
2018-10-31,1.0,-0.011956612200737925,-0.8356867423086526,-0.0,-0.40744028629289536,-0.5190723222459567,0.0
2018-11-01,1.0,-0.0,-0.85484812272462,-0.0,-0.405080176750132,-0.5191618264180308,0.0
2018-11-02,1.0,-0.0,-0.8444284448382808,-0.0,-0.4077038103677448,-0.5170303500221533,0.0
