Date,AMCX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3369386637458927,-0.7712554764512597,-0.0,-0.6214403066812706,-0.6931818181818182,0.0
2018-09-25,1.0,-0.3371324913577712,-0.7711263990142726,-0.0,-0.6213505835643632,-0.6930211862956498,0.0
2018-09-26,1.0,-0.3400938709787934,-0.774367056082771,-0.0,-0.622117921134674,-0.6893692829490562,0.0
2018-09-27,1.0,-0.3450472667488697,-0.7662351006987258,-0.0,-0.623612823674476,-0.690231538566927,0.0
2018-09-28,1.0,-0.34613539810881183,-0.7657941619843772,-0.0,-0.6238180074003016,-0.6903179388789914,0.0
2018-10-01,1.0,-0.3465807866246403,-0.7652802521584214,-0.0,-0.6239893106756201,-0.6902151569138003,0.0
2018-10-02,1.0,-0.3468338815789474,-0.7661732456140351,-0.0,-0.6237321820175439,-0.6898300438596492,0.0
2018-10-03,1.0,-0.34608928020829766,-0.7567919421699957,-0.0,-0.6271883243687691,-0.6959128438795438,0.0
2018-10-04,1.0,-0.34620656569117947,-0.7573846891919676,-0.0,-0.6269275580837502,-0.6962853813994928,0.0
2018-10-05,1.0,-0.36895104895104897,-0.7903496503496504,-0.0,-0.6365034965034966,-0.7006993006993008,0.0
2018-10-08,1.0,-0.36554973821989534,-0.7863176265270507,-0.0,-0.6389877835951135,-0.6995462478184992,0.0
2018-10-09,1.0,-0.35888197019520046,-0.7879731337018121,-0.0,-0.644021549010005,-0.7073392569789407,0.0
2018-10-10,1.0,-0.36960744786130556,-0.8489535608254224,-0.0,-0.6821463915258585,-0.7645786753656123,0.0
2018-10-11,1.0,-0.31253344750080275,-0.8322451746405509,-0.0,-0.6566770130935817,-0.7662777837240001,0.0
2018-10-12,1.0,-0.3183932346723044,-0.8244890768146582,-0.0,-0.6357293868921776,-0.7449612403100775,0.0
2018-10-15,1.0,-0.3070187776918208,-0.8321963569871299,-0.0,-0.6325690976861945,-0.7446374569238343,0.0
2018-10-16,1.0,-0.2986779481755685,-0.8504847523356249,-0.0,-0.632258064516129,-0.7440155120747399,0.0
2018-10-17,1.0,-0.27468139042261347,-0.8089037052470743,-0.0,-0.6304476160711184,-0.7585165121366809,0.0
2018-10-18,1.0,-0.27375659905529315,-0.8071339260905808,-0.0,-0.6330925257015837,-0.759169213670464,0.0
2018-10-19,1.0,-0.25762641756575094,-0.7956637137637449,-0.0,-0.6337596084243908,-0.7599186515459654,0.0
2018-10-22,1.0,-0.2584141274238227,-0.7814750692520775,-0.0,-0.6490650969529086,-0.7736495844875346,0.0
2018-10-23,1.0,-0.2602900958908852,-0.7813549347457334,-0.0,-0.6474192543358603,-0.7727005227264859,0.0
2018-10-24,1.0,-0.2583122859218766,-0.7807148046915544,-0.0,-0.6473376466110784,-0.7734837214130021,0.0
2018-10-25,1.0,-0.2623179315631751,-0.79071712314447,-0.0,-0.6507422120008363,-0.7807861174994772,0.0
2018-10-26,1.0,-0.2477396645731245,-0.7780040030367866,-0.0,-0.6535647732762786,-0.7715853406032164,0.0
2018-10-29,1.0,-0.23318786296003577,-0.782034981615752,-0.0,-0.6462664513246967,-0.7748530978316897,0.0
2018-10-30,1.0,-0.2197703993950643,-0.7830480511445659,-0.0,-0.6476593111981852,-0.7866570426892143,0.0
