Date,IWF,IWM,MTUM,PLAY,SPY,VLUE,VXX
2018-09-24,-0.5535756154747948,-1.3442907385697538,-0.0,1.0,-0.8966471277842907,-0.8948651817116061,0.0
2018-09-25,-0.5598535348793541,-1.342737771101305,-0.006102713360247864,1.0,-0.8951741620505117,-0.8905736550558633,0.0
2018-09-26,-0.5620712339065878,-1.3459261347617704,-0.009820505591579737,1.0,-0.8952166149797951,-0.8857720139084673,0.0
2018-09-27,-0.5671270199173243,-1.3346956031567079,-0.013340849304772641,1.0,-0.8961856444945508,-0.8861330326944757,0.0
2018-09-28,-0.5683206465557749,-1.333897190113711,-0.013861479184287191,1.0,-0.8963913166055821,-0.886335870688845,0.0
2018-10-01,-0.568165797264909,-1.3341792377461346,-0.014427369707223083,1.0,-0.896282720052634,-0.8864138352366183,0.0
2018-10-02,-0.5685960533132388,-1.3495973249187585,-0.011397353176658975,1.0,-0.8951631893750294,-0.8848961522158904,0.0
2018-10-03,-0.5683615819209039,-1.3469868173258004,-0.01167608286252354,1.0,-0.8953389830508475,-0.8856873822975518,0.0
2018-10-04,-0.5695601035050577,-1.342931075041167,-0.012608797929898849,1.0,-0.8964008468595626,-0.8832745236414962,0.0
2018-10-05,-0.5497938916994566,-1.3348791455874087,-0.0,1.0,-0.9048154393854225,-0.8947910811317219,0.0
2018-10-08,-0.545535255361899,-1.329610765852063,-0.0,1.0,-0.905378253352647,-0.8921078454277838,0.0
2018-10-09,-0.5436153810213521,-1.3295799654254077,-0.0,1.0,-0.9058543194879223,-0.8931925431014344,0.0
2018-10-10,-0.5457560611015089,-1.3284439669267063,-0.0,1.0,-0.9072266081188396,-0.8898958284673237,0.0
2018-10-11,-0.4599251274187001,-1.304632177168373,-0.0,1.0,-0.864327274367417,-0.8815569888593209,0.0
2018-10-12,-0.4669305697638216,-1.2969354623493308,-0.0,1.0,-0.835164346395054,-0.8487746297202331,0.0
2018-10-15,-0.44674057649667404,-1.312150776053215,-0.0,1.0,-0.8290465631929047,-0.8466518847006652,0.0
2018-10-16,-0.4473124002128792,-1.311513216249778,-0.0,1.0,-0.829297498669505,-0.8468600319318786,0.0
2018-10-17,-0.41871085594989554,-1.2600469728601253,-0.0,1.0,-0.8184151009046624,-0.8521659707724425,0.0
2018-10-18,-0.4200601019119376,-1.2641870998649882,-0.0,1.0,-0.817690867122512,-0.8533164931840947,0.0
2018-10-19,-0.4021598272138229,-1.2536501079913605,-0.0,1.0,-0.8147732181425485,-0.8491144708423326,0.0
2018-10-22,-0.40861573307779425,-1.2800331039289137,-0.0,1.0,-0.8162296367279379,-0.8509016464848854,0.0
2018-10-23,-0.417910447761194,-1.283451165226499,-0.0,1.0,-0.8126909313083703,-0.8500916470280178,0.0
2018-10-24,-0.4152209920669514,-1.2804027547729055,-0.0,1.0,-0.8122221253596025,-0.8509720163891552,0.0
