Date,IWF,IWM,MTUM,NESR,SPY,VLUE,VXX
2018-09-24,-0.48954683255246273,-0.9809441316587267,-0.0,1.0,-0.801921335485649,-0.6647899523603291,0.0
2018-09-25,-0.4888652398407631,-0.982696779787947,-0.0,1.0,-0.8032793346734461,-0.6667060817468764,0.0
2018-09-26,-0.48939219042311827,-0.9912828881901047,-0.0,1.0,-0.8139951438920511,-0.6857063248815826,0.0
2018-09-27,-0.4949671772428884,-0.9814999005370996,-0.0,1.0,-0.8154764272926198,-0.6865327232942112,0.0
2018-09-28,-0.49277439388510685,-0.9848321987340259,-0.0,1.0,-0.8160356702098013,-0.6874079382141007,0.0
2018-10-01,-0.4949189016857291,-0.9841788546606625,-0.0,1.0,-0.8178774957159367,-0.6881998963854462,0.0
2018-10-02,-0.4947951980217764,-0.9889921429426075,-0.0,1.0,-0.8170542017309456,-0.6875124636062697,0.0
2018-10-03,-0.49370417596429705,-0.9796381893528849,-0.0,1.0,-0.8191743704175964,-0.6922218680267772,0.0
2018-10-04,-0.5045625550308173,-0.9736252301288721,-0.0,1.0,-0.8345873689265989,-0.6894260786040183,0.0
2018-10-05,-0.4900174992045816,-0.9636493795736557,-0.0,1.0,-0.8342348075087497,-0.6891902640789055,0.0
2018-10-08,-0.48915116833571776,-0.9624860912414561,-0.0,1.0,-0.8338896836750915,-0.6884040693053569,0.0
2018-10-09,-0.49722831505483556,-0.9680957128614158,-0.0,1.0,-0.8356131605184447,-0.6871385842472584,0.0
2018-10-10,-0.4989095315024233,-0.9872778675282715,-0.0,1.0,-0.8463651050080776,-0.7061793214862683,0.0
2018-10-11,-0.39703434124433773,-0.9601223431027139,-0.0,1.0,-0.8055286693251771,-0.7089318208215571,0.0
2018-10-12,-0.3957724564532655,-0.9409130583279571,-0.0,1.0,-0.779249364350499,-0.6789875147053243,0.0
2018-10-15,-0.3983807822418184,-0.9404006233608271,-0.0,1.0,-0.7820897791630241,-0.6801094682428067,0.0
2018-10-16,-0.40019015021867277,-0.9386955694999048,-0.0,1.0,-0.7830386004943906,-0.6810800532420612,0.0
2018-10-17,-0.36856662306111004,-0.8839843019996262,-0.0,1.0,-0.7829190805456924,-0.7021491310035507,0.0
2018-10-18,-0.37072985781990525,-0.8945971563981043,-0.0,1.0,-0.8077345971563982,-0.7184454976303317,0.0
2018-10-19,-0.3517096737949889,-0.8754728287330061,-0.0,1.0,-0.805587805700161,-0.7124077749897006,0.0
