Date,ABG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.23654459368054884,-0.8103520468966404,-0.0,-0.4954101845588946,-0.6786162914291235,0.0
2018-09-25,1.0,-0.2350798000967274,-0.8119297114299533,-0.0,-0.49669514750926974,-0.6805416733838466,0.0
2018-09-26,1.0,-0.23322890087529471,-0.8116339911501567,-0.0,-0.4983689157326959,-0.6866380284874519,0.0
2018-09-27,1.0,-0.23616176612981313,-0.8058290030016461,-0.0,-0.49888648613755937,-0.686731433366685,0.0
2018-09-28,1.0,-0.235573199070488,-0.8064162148205525,-0.0,-0.4988703847146915,-0.6866124451329719,0.0
2018-10-01,1.0,-0.24006606431555425,-0.8063084944460637,-0.0,-0.5034489458855532,-0.6886233362479355,0.0
2018-10-02,1.0,-0.24056741263723808,-0.8060692424782201,-0.0,-0.5035787155487903,-0.688441234575898,0.0
2018-10-03,1.0,-0.24213326412768443,-0.8127554661649257,-0.0,-0.503049373905145,-0.6861091286576267,0.0
2018-10-04,1.0,-0.25268747149651444,-0.8051338849436446,-0.0,-0.5178513258192716,-0.6818359502247704,0.0
2018-10-05,1.0,-0.24738846041198867,-0.8065670864655536,-0.0,-0.5169709395034007,-0.6833609945003092,0.0
2018-10-08,1.0,-0.2464951371043815,-0.8061672575870931,-0.0,-0.5168981556777152,-0.6832124386039099,0.0
2018-10-09,1.0,-0.24249129543457745,-0.8061891900686602,-0.0,-0.5187270183202629,-0.6866356447886498,0.0
2018-10-10,1.0,-0.2423867777199375,-0.8061231129619989,-0.0,-0.5187077043206663,-0.6862961998958875,0.0
2018-10-11,1.0,-0.1806287710384249,-0.7998094633216893,-0.0,-0.4966020959034614,-0.6985709749126707,0.0
2018-10-12,1.0,-0.17886357915932544,-0.7962811477472942,-0.0,-0.4829788572866851,-0.6880820538635791,0.0
2018-10-15,1.0,-0.154841546530984,-0.8185558591664311,-0.0,-0.4779672728414837,-0.6894060743113791,0.0
2018-10-16,1.0,-0.14997643362136687,-0.8272113118617439,-0.0,-0.4768578161822467,-0.6881382560879812,0.0
2018-10-17,1.0,-0.13261604291339804,-0.7974636445381538,-0.0,-0.47375275185265575,-0.6968466094074601,0.0
